Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Fabricio Bustos,ar ARG,DF,26.0,27.8,68,48,38,19,11,39,58,67.2,19,35,11,24,16,84,70,0,Matches
Alan Patrick,br BRA,"MF,FW",31.0,27.2,23,8,8,11,4,14,44,31.8,30,20,2,18,9,32,7,0,Matches
Wanderson,br BRA,"FW,MF",28.0,26.0,35,24,12,14,9,15,41,36.6,26,19,3,16,16,51,13,0,Matches
Gabriel Mercado,ar ARG,DF,35.0,24.2,32,18,22,9,1,18,33,54.5,15,21,12,9,23,55,87,0,Matches
Vitão,br BRA,DF,22.0,22.7,16,14,10,6,0,9,23,39.1,14,26,16,10,16,32,104,0,Matches
Renê,br BRA,DF,30.0,25.4,53,33,28,24,1,33,58,56.9,25,30,5,25,36,89,90,1,Matches
Mauricio,br BRA,"FW,MF",21.0,19.6,19,11,7,10,2,12,36,33.3,24,14,2,12,10,29,9,0,Matches
Johnny Cardoso,us USA,MF,21.0,17.9,38,23,14,18,6,19,28,67.9,9,30,14,16,31,69,44,1,Matches
Sergio Rochet,uy URU,GK,29.0,19.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,3,5,Matches
Enner Valencia,ec ECU,FW,33.0,16.0,4,3,1,3,0,0,4,0.0,4,7,2,5,2,6,10,0,Matches
Luiz Adriano,br BRA,FW,35.0,14.8,12,7,0,6,6,2,7,28.6,5,9,2,7,9,21,18,0,Matches
Carlos de Pena,uy URU,"MF,FW",30.0,15.8,26,13,5,17,4,12,36,33.3,24,13,2,11,21,47,20,0,Matches
Charles Aránguiz,cl CHI,MF,33.0,14.1,33,16,13,14,6,18,39,46.2,21,12,2,10,10,43,10,0,Matches
Igor Gomes,br BRA,DF,21.0,16.3,34,25,23,11,0,22,40,55.0,18,18,7,11,15,49,63,0,Matches
Pedro Henrique,br BRA,"FW,MF",32.0,14.1,27,20,15,6,6,8,16,50.0,8,11,0,11,5,32,8,0,Matches
Nicolás Hernández,co COL,DF,25.0,14.4,16,6,12,3,1,13,18,72.2,5,18,7,11,9,25,67,2,Matches
Romulo,br BRA,"MF,DF",22.0,13.5,26,17,8,13,5,15,24,62.5,9,18,4,14,17,43,31,0,Matches
Bruno Henrique,br BRA,MF,33.0,11.7,15,7,3,11,1,5,19,26.3,14,12,0,12,5,20,12,0,Matches
Keiller,br BRA,GK,26.0,10.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,1,Matches
John,br BRA,GK,26.0,9.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,7,0,Matches
Gabriel,br BRA,MF,30.0,8.5,18,13,9,8,1,11,31,35.5,20,11,3,8,12,30,7,0,Matches
Gustavo Campanharo,br BRA,MF,30.0,7.7,26,16,12,10,4,12,32,37.5,20,10,1,9,12,38,16,0,Matches
Dalbert Henrique,br BRA,DF,29.0,5.5,18,12,10,5,3,13,15,86.7,2,5,0,5,6,24,8,0,Matches
Matheus Dias,br BRA,"MF,FW",25.0,4.5,17,8,10,6,1,11,19,57.9,8,10,0,10,7,24,8,0,Matches
Rodrigo Moledo,br BRA,DF,35.0,5.3,2,2,1,1,0,0,3,0.0,3,10,8,2,3,5,35,0,Matches
Lucca Holanda,br BRA,FW,19.0,6.1,11,5,1,6,4,5,17,29.4,12,5,2,3,4,15,2,0,Matches
Alexandre Alemão,br BRA,FW,24.0,3.8,5,5,1,3,1,1,5,20.0,4,5,1,4,1,6,2,0,Matches
Thauan Lara,br BRA,"DF,MF",19.0,3.7,7,6,4,2,1,4,9,44.4,5,4,2,2,4,11,9,0,Matches
Hugo Mallo,es ESP,DF,31.0,3.6,7,3,7,0,0,4,8,50.0,4,8,3,5,6,13,10,0,Matches
Gabriel Baralhas,br BRA,MF,24.0,2.6,7,5,3,4,0,5,8,62.5,3,4,1,3,5,12,2,0,Matches
Gabriel Barros,br BRA,"FW,MF",21.0,2.0,2,1,1,1,0,0,0,,0,0,0,0,2,4,2,0,Matches
Jean Dias,br BRA,"FW,MF",32.0,3.6,1,1,1,0,0,1,6,16.7,5,2,0,2,2,3,3,0,Matches
João Dalla Corte,br BRA,DF,16.0,0.2,1,0,0,0,1,0,0,,0,0,0,0,1,2,0,0,Matches
Estevão,br BRA,MF,20.0,0.1,2,1,2,0,0,2,2,100.0,0,0,0,0,0,2,0,0,Matches
Lucas Ramos,br BRA,FW,22.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,28.5,38.0,601,371,281,241,79,323,681,47.4,358,387,112,275,316,917,779,10,
Opponent Total,,,27.6,38.0,564,344,244,257,63,271,627,43.2,356,411,114,297,320,884,639,5,
