Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Fabricio Bustos,ar ARG,DF,26.0,27.8,66,2.38,54,3,1,5,2,1,6,0.22,6,0,0,0,0,0,Matches
Alan Patrick,br BRA,"MF,FW",31.0,27.2,112,4.11,81,17,6,2,3,3,11,0.4,8,1,0,1,1,0,Matches
Wanderson,br BRA,"FW,MF",28.0,26.0,70,2.7,50,5,9,3,2,1,9,0.35,8,0,1,0,0,0,Matches
Gabriel Mercado,ar ARG,DF,35.0,24.2,8,0.33,6,0,0,1,1,0,1,0.04,1,0,0,0,0,0,Matches
Vitão,br BRA,DF,22.0,22.7,16,0.71,13,0,0,3,0,0,0,0.0,0,0,0,0,0,0,Matches
Renê,br BRA,DF,30.0,25.4,68,2.68,58,5,2,1,0,2,8,0.32,6,1,0,0,0,1,Matches
Mauricio,br BRA,"FW,MF",21.0,19.6,65,3.31,52,1,4,4,4,0,10,0.51,8,0,0,1,1,0,Matches
Johnny Cardoso,us USA,MF,21.0,17.9,34,1.91,29,0,1,2,0,2,7,0.39,4,0,0,2,0,1,Matches
Sergio Rochet,uy URU,GK,29.0,19.0,2,0.11,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Enner Valencia,ec ECU,FW,33.0,16.0,39,2.44,21,0,4,9,5,0,5,0.31,2,0,0,2,1,0,Matches
Luiz Adriano,br BRA,FW,35.0,14.8,23,1.56,17,0,0,4,2,0,2,0.14,1,0,0,1,0,0,Matches
Carlos de Pena,uy URU,"MF,FW",30.0,15.8,37,2.34,24,6,0,7,0,0,1,0.06,1,0,0,0,0,0,Matches
Charles Aránguiz,cl CHI,MF,33.0,14.1,30,2.13,26,1,0,1,1,1,2,0.14,2,0,0,0,0,0,Matches
Igor Gomes,br BRA,DF,21.0,16.3,15,0.92,11,0,1,2,1,0,1,0.06,1,0,0,0,0,0,Matches
Pedro Henrique,br BRA,"FW,MF",32.0,14.1,47,3.33,27,1,5,6,7,1,6,0.43,3,0,1,0,1,1,Matches
Nicolás Hernández,co COL,DF,25.0,14.4,12,0.83,10,0,0,1,1,0,3,0.21,3,0,0,0,0,0,Matches
Romulo,br BRA,"MF,DF",22.0,13.5,14,1.04,11,0,0,0,2,1,0,0.0,0,0,0,0,0,0,Matches
Bruno Henrique,br BRA,MF,33.0,11.7,44,3.77,32,6,0,2,4,0,2,0.17,2,0,0,0,0,0,Matches
Keiller,br BRA,GK,26.0,10.0,1,0.1,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
John,br BRA,GK,26.0,9.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel,br BRA,MF,30.0,8.5,17,2.0,15,1,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Gustavo Campanharo,br BRA,MF,30.0,7.7,13,1.68,10,0,1,0,1,1,0,0.0,0,0,0,0,0,0,Matches
Dalbert Henrique,br BRA,DF,29.0,5.5,9,1.63,6,2,0,0,1,0,1,0.18,0,1,0,0,0,0,Matches
Matheus Dias,br BRA,"MF,FW",25.0,4.5,9,2.0,9,0,0,0,0,0,1,0.22,1,0,0,0,0,0,Matches
Rodrigo Moledo,br BRA,DF,35.0,5.3,5,0.94,4,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucca Holanda,br BRA,FW,19.0,6.1,19,3.1,13,0,1,2,2,1,1,0.16,1,0,0,0,0,0,Matches
Alexandre Alemão,br BRA,FW,24.0,3.8,14,3.7,10,0,0,0,4,0,1,0.26,1,0,0,0,0,0,Matches
Thauan Lara,br BRA,"DF,MF",19.0,3.7,10,2.68,8,0,1,1,0,0,1,0.27,1,0,0,0,0,0,Matches
Hugo Mallo,es ESP,DF,31.0,3.6,3,0.83,2,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Baralhas,br BRA,MF,24.0,2.6,3,1.15,3,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Gabriel Barros,br BRA,"FW,MF",21.0,2.0,6,3.07,6,0,0,0,0,0,1,0.51,1,0,0,0,0,0,Matches
Jean Dias,br BRA,"FW,MF",32.0,3.6,5,1.4,1,2,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
João Dalla Corte,br BRA,DF,16.0,0.2,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Estevão,br BRA,MF,20.0,0.1,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Lucas Ramos,br BRA,FW,22.0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,28.5,38.0,816,21.47,610,53,37,58,43,15,80,2.11,61,3,2,7,4,3,
Opponent Total,,,27.6,38.0,833,21.92,565,81,52,60,60,15,74,1.95,47,3,6,8,9,1,
