Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Fabricio Bustos,ar ARG,DF,26.0,27.8,4,0,0,34,26,1,56,16,48,0,0,0,140,16,35,31.4,Matches
Alan Patrick,br BRA,"MF,FW",31.0,27.2,6,0,0,31,56,6,107,9,8,0,0,0,115,5,31,13.9,Matches
Wanderson,br BRA,"FW,MF",28.0,26.0,3,0,0,27,25,1,74,16,24,0,0,0,129,6,21,22.2,Matches
Gabriel Mercado,ar ARG,DF,35.0,24.2,13,1,1,35,9,0,1,23,18,0,1,0,94,40,38,51.3,Matches
Vitão,br BRA,DF,22.0,22.7,5,1,0,14,7,0,2,16,14,0,0,0,95,42,33,56.0,Matches
Renê,br BRA,DF,30.0,25.4,5,0,0,21,33,1,30,36,33,0,0,0,194,34,34,50.0,Matches
Mauricio,br BRA,"FW,MF",21.0,19.6,4,0,0,17,32,4,34,10,11,1,0,0,97,11,13,45.8,Matches
Johnny Cardoso,us USA,MF,21.0,17.9,7,0,0,26,26,2,4,31,23,0,1,0,89,27,24,52.9,Matches
Sergio Rochet,uy URU,GK,29.0,19.0,4,0,0,0,10,0,0,0,0,0,0,0,16,5,0,100.0,Matches
Enner Valencia,ec ECU,FW,33.0,16.0,4,0,0,24,32,22,19,2,3,1,0,0,26,24,60,28.6,Matches
Luiz Adriano,br BRA,FW,35.0,14.8,1,1,0,14,21,3,0,9,7,0,0,0,30,25,33,43.1,Matches
Carlos de Pena,uy URU,"MF,FW",30.0,15.8,6,1,1,22,15,0,55,21,13,0,1,0,82,18,13,58.1,Matches
Charles Aránguiz,cl CHI,MF,33.0,14.1,3,0,0,19,18,0,7,10,16,0,0,0,72,14,7,66.7,Matches
Igor Gomes,br BRA,DF,21.0,16.3,4,0,0,14,12,0,28,15,25,0,1,0,103,20,20,50.0,Matches
Pedro Henrique,br BRA,"FW,MF",32.0,14.1,4,0,0,40,20,16,45,5,20,1,0,0,44,29,34,46.0,Matches
Nicolás Hernández,co COL,DF,25.0,14.4,6,0,0,14,8,0,5,9,6,1,0,1,68,16,22,42.1,Matches
Romulo,br BRA,"MF,DF",22.0,13.5,2,0,0,18,27,1,10,17,17,0,0,0,59,23,17,57.5,Matches
Bruno Henrique,br BRA,MF,33.0,11.7,3,0,0,29,24,0,37,5,7,0,0,0,65,10,16,38.5,Matches
Keiller,br BRA,GK,26.0,10.0,2,0,0,1,2,0,0,0,0,0,1,0,4,4,0,100.0,Matches
John,br BRA,GK,26.0,9.0,1,0,0,0,3,0,0,1,0,0,0,0,8,5,1,83.3,Matches
Gabriel,br BRA,MF,30.0,8.5,2,0,0,12,6,0,2,12,13,0,0,0,50,7,9,43.8,Matches
Gustavo Campanharo,br BRA,MF,30.0,7.7,6,0,0,24,9,0,2,12,16,0,0,0,44,7,7,50.0,Matches
Dalbert Henrique,br BRA,DF,29.0,5.5,0,0,0,12,7,0,14,6,12,0,1,0,35,8,4,66.7,Matches
Matheus Dias,br BRA,"MF,FW",25.0,4.5,5,0,0,16,4,0,10,7,8,0,0,0,24,14,7,66.7,Matches
Rodrigo Moledo,br BRA,DF,35.0,5.3,3,0,0,2,3,1,1,3,2,0,0,0,13,7,8,46.7,Matches
Lucca Holanda,br BRA,FW,19.0,6.1,2,1,0,12,13,0,6,4,5,0,0,0,17,9,32,22.0,Matches
Alexandre Alemão,br BRA,FW,24.0,3.8,2,0,0,12,14,1,2,1,5,0,0,0,17,6,18,25.0,Matches
Thauan Lara,br BRA,"DF,MF",19.0,3.7,1,0,0,5,14,0,21,4,6,0,0,0,23,4,4,50.0,Matches
Hugo Mallo,es ESP,DF,31.0,3.6,1,1,0,5,5,0,6,6,3,0,0,0,16,7,7,50.0,Matches
Gabriel Baralhas,br BRA,MF,24.0,2.6,0,0,0,5,3,0,1,5,5,0,0,0,20,2,2,50.0,Matches
Gabriel Barros,br BRA,"FW,MF",21.0,2.0,1,0,0,4,0,0,3,2,1,0,0,0,10,2,2,50.0,Matches
Jean Dias,br BRA,"FW,MF",32.0,3.6,1,0,0,6,12,1,22,2,1,0,0,0,16,2,10,16.7,Matches
João Dalla Corte,br BRA,DF,16.0,0.2,0,0,0,2,0,0,3,1,0,0,1,0,1,0,0,,Matches
Estevão,br BRA,MF,20.0,0.1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,,Matches
Lucas Ramos,br BRA,FW,22.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Squad Total,,,28.5,38.0,111,6,2,518,497,60,607,316,371,4,7,1,1816,449,562,44.4,
Opponent Total,,,27.6,38.0,99,8,6,526,485,61,778,320,344,6,4,1,1889,561,448,55.6,
