Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Fabricio Bustos,ar ARG,DF,26.0,27.8,3,17,6,35.3,0.61,0.22,0.18,0.5,23.6,0,0,0,1.0,1.0,0.06,2.0,2.0,Matches
Alan Patrick,br BRA,"MF,FW",31.0,27.2,4,47,12,25.5,1.73,0.44,0.06,0.25,23.3,7,1,1,4.4,3.6,0.08,-0.4,-0.6,Matches
Wanderson,br BRA,"FW,MF",28.0,26.0,7,38,20,52.6,1.46,0.77,0.18,0.35,20.6,0,0,0,4.1,4.1,0.11,2.9,2.9,Matches
Gabriel Mercado,ar ARG,DF,35.0,24.2,0,9,1,11.1,0.37,0.04,0.0,0.0,10.3,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Vitão,br BRA,DF,22.0,22.7,0,12,3,25.0,0.53,0.13,0.0,0.0,12.2,0,0,0,0.7,0.7,0.06,-0.7,-0.7,Matches
Renê,br BRA,DF,30.0,25.4,1,9,2,22.2,0.35,0.08,0.11,0.5,20.2,1,0,0,0.6,0.6,0.06,0.4,0.4,Matches
Mauricio,br BRA,"FW,MF",21.0,19.6,6,45,13,28.9,2.29,0.66,0.13,0.46,20.8,1,0,0,4.8,4.8,0.11,1.2,1.2,Matches
Johnny Cardoso,us USA,MF,21.0,17.9,2,15,8,53.3,0.84,0.45,0.13,0.25,18.6,0,0,0,1.1,1.1,0.08,0.9,0.9,Matches
Sergio Rochet,uy URU,GK,29.0,19.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Enner Valencia,ec ECU,FW,33.0,16.0,9,52,24,46.2,3.25,1.5,0.15,0.33,15.0,3,1,2,9.0,7.3,0.15,0.0,0.7,Matches
Luiz Adriano,br BRA,FW,35.0,14.8,3,24,11,45.8,1.62,0.74,0.13,0.27,14.4,0,0,0,2.6,2.6,0.11,0.4,0.4,Matches
Carlos de Pena,uy URU,"MF,FW",30.0,15.8,2,31,9,29.0,1.96,0.57,0.06,0.22,23.6,4,0,0,1.4,1.4,0.04,0.6,0.6,Matches
Charles Aránguiz,cl CHI,MF,33.0,14.1,0,15,1,6.7,1.07,0.07,0.0,0.0,21.4,1,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
Igor Gomes,br BRA,DF,21.0,16.3,0,11,2,18.2,0.68,0.12,0.0,0.0,19.6,0,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Pedro Henrique,br BRA,"FW,MF",32.0,14.1,3,36,9,25.0,2.55,0.64,0.06,0.22,17.2,0,1,1,4.4,3.6,0.1,-1.4,-1.6,Matches
Nicolás Hernández,co COL,DF,25.0,14.4,0,4,0,0.0,0.28,0.0,0.0,,10.0,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Romulo,br BRA,"MF,DF",22.0,13.5,1,13,3,23.1,0.96,0.22,0.08,0.33,23.5,0,0,0,1.0,1.0,0.08,0.0,0.0,Matches
Bruno Henrique,br BRA,MF,33.0,11.7,2,19,7,36.8,1.63,0.6,0.11,0.29,25.0,3,0,0,1.2,1.2,0.06,0.8,0.8,Matches
Keiller,br BRA,GK,26.0,10.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
John,br BRA,GK,26.0,9.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Gabriel,br BRA,MF,30.0,8.5,0,4,0,0.0,0.47,0.0,0.0,,30.7,0,0,0,0.0,0.0,0.01,0.0,0.0,Matches
Gustavo Campanharo,br BRA,MF,30.0,7.7,0,4,3,75.0,0.52,0.39,0.0,0.0,28.5,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Dalbert Henrique,br BRA,DF,29.0,5.5,0,2,0,0.0,0.36,0.0,0.0,,23.2,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Matheus Dias,br BRA,"MF,FW",25.0,4.5,0,1,0,0.0,0.22,0.0,0.0,,12.9,0,0,0,0.1,0.1,0.15,-0.1,-0.1,Matches
Rodrigo Moledo,br BRA,DF,35.0,5.3,0,1,1,100.0,0.19,0.19,0.0,0.0,14.7,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
Lucca Holanda,br BRA,FW,19.0,6.1,0,12,3,25.0,1.96,0.49,0.0,0.0,17.2,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Alexandre Alemão,br BRA,FW,24.0,3.8,1,14,3,21.4,3.71,0.79,0.07,0.33,14.6,0,0,0,1.2,1.2,0.09,-0.2,-0.2,Matches
Thauan Lara,br BRA,"DF,MF",19.0,3.7,0,5,1,20.0,1.34,0.27,0.0,0.0,27.6,1,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Hugo Mallo,es ESP,DF,31.0,3.6,0,5,0,0.0,1.38,0.0,0.0,,11.5,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Gabriel Baralhas,br BRA,MF,24.0,2.6,0,4,1,25.0,1.53,0.38,0.0,0.0,28.6,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Gabriel Barros,br BRA,"FW,MF",21.0,2.0,0,2,0,0.0,1.02,0.0,0.0,,16.7,0,0,0,0.2,0.2,0.11,-0.2,-0.2,Matches
Jean Dias,br BRA,"FW,MF",32.0,3.6,1,7,2,28.6,1.96,0.56,0.14,0.5,20.3,2,0,0,1.0,1.0,0.14,0.0,0.0,Matches
João Dalla Corte,br BRA,DF,16.0,0.2,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Estevão,br BRA,MF,20.0,0.1,0,1,1,100.0,8.18,8.18,0.0,0.0,26.5,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Lucas Ramos,br BRA,FW,22.0,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,28.5,38.0,45,459,146,31.8,12.08,3.84,0.09,0.29,19.6,23,3,4,42.1,38.9,0.09,2.9,3.1,
Opponent Total,,,27.6,38.0,44,480,157,32.7,12.63,4.13,0.08,0.24,18.2,32,6,7,47.1,41.4,0.09,-3.1,-3.4,
