Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Fabricio Bustos,ar ARG,DF,26.0,29,28,2499.0,27.8,3.0,3.0,6.0,3.0,0.0,0.0,4.0,0.0,1.0,1.0,2.9,3.9,39.0,103.0,151.0,0.11,0.11,0.22,0.11,0.22,0.04,0.1,0.14,0.04,0.14,Matches
Alan Patrick,br BRA,"MF,FW",31.0,34,28,2452.0,27.2,4.0,5.0,9.0,3.0,1.0,1.0,6.0,0.0,4.4,3.6,5.2,8.8,62.0,159.0,130.0,0.15,0.18,0.33,0.11,0.29,0.16,0.19,0.35,0.13,0.32,Matches
Wanderson,br BRA,"FW,MF",28.0,32,26,2336.0,26.0,7.0,3.0,10.0,7.0,0.0,0.0,3.0,0.0,4.1,4.1,2.6,6.7,97.0,71.0,169.0,0.27,0.12,0.39,0.27,0.39,0.16,0.1,0.26,0.16,0.26,Matches
Gabriel Mercado,ar ARG,DF,35.0,26,25,2180.0,24.2,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,0.6,0.6,0.3,0.8,1.0,39.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Vitão,br BRA,DF,22.0,26,25,2041.0,22.7,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.7,0.7,0.5,1.2,13.0,60.0,4.0,0.0,0.0,0.0,0.0,0.0,0.03,0.02,0.06,0.03,0.06,Matches
Renê,br BRA,DF,30.0,28,24,2283.0,25.4,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.6,0.6,1.9,2.5,55.0,159.0,55.0,0.04,0.04,0.08,0.04,0.08,0.02,0.08,0.1,0.02,0.1,Matches
Mauricio,br BRA,"FW,MF",21.0,26,22,1766.0,19.6,6.0,6.0,12.0,6.0,0.0,0.0,4.0,0.0,4.8,4.8,3.8,8.5,35.0,75.0,118.0,0.31,0.31,0.61,0.31,0.61,0.24,0.19,0.43,0.24,0.43,Matches
Johnny Cardoso,us USA,MF,21.0,22,20,1607.0,17.9,2.0,2.0,4.0,2.0,0.0,0.0,7.0,0.0,1.1,1.1,1.0,2.2,18.0,70.0,24.0,0.11,0.11,0.22,0.11,0.22,0.06,0.06,0.12,0.06,0.12,Matches
Sergio Rochet,uy URU,GK,29.0,19,19,1710.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Enner Valencia,ec ECU,FW,33.0,22,18,1442.0,16.0,9.0,1.0,10.0,8.0,1.0,2.0,4.0,0.0,9.0,7.3,1.0,8.3,44.0,16.0,147.0,0.56,0.06,0.62,0.5,0.56,0.56,0.06,0.63,0.46,0.52,Matches
