Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-04-05,20:30,Libertadores,Group stage,Wed,Away,L,1,3,bo Bolívar,0.8,1.8,45,,Luan Garcia,4-3-3,Alexis Herrera,Match Report,
2023-04-15,16:00,Série A,Matchweek 1,Sat,Home,W,2,1,Cuiabá,3.0,1.0,52,35835.0,Gustavo Gómez,4-2-3-1,Paulo Cesar Zanovelli da Silva,Match Report,
2023-04-20,21:00,Libertadores,Group stage,Thu,Home,W,2,1,py Cerro Porteño,2.3,1.8,51,,Gustavo Gómez,4-2-3-1,Fernando Rapallini,Match Report,
2023-04-23,16:00,Série A,Matchweek 2,Sun,Away,D,2,2,Vasco da Gama,0.7,1.4,64,59867.0,Gustavo Gómez,4-2-3-1,Rafael Rodrigo Klein,Match Report,
2023-04-29,18:30,Série A,Matchweek 3,Sat,Home,W,2,1,Corinthians,1.4,0.5,54,41457.0,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Match Report,
2023-05-03,19:30,Libertadores,Group stage,Wed,Away,W,2,0,ec Barcelona SC,2.7,1.0,51,,Gustavo Gómez,4-2-3-1,Andrés Rojas,Match Report,
2023-05-07,18:30,Série A,Matchweek 4,Sun,Away,W,5,0,Goiás,2.0,0.7,57,13789.0,Gustavo Gómez,3-4-3,Wagner do Nascimento Magalhães,Match Report,
2023-05-10,21:30,Série A,Matchweek 5,Wed,Home,W,4,1,Grêmio,3.8,0.1,59,37532.0,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Match Report,
2023-05-13,18:30,Série A,Matchweek 6,Sat,Home,D,1,1,Bragantino,1.6,1.0,58,39488.0,Gustavo Gómez,4-2-3-1,Savio Pereira,Match Report,
2023-05-20,21:00,Série A,Matchweek 7,Sat,Away,D,0,0,Santos,0.4,0.4,61,12641.0,Gustavo Gómez,4-2-3-1,Raphael Claus,Match Report,
2023-05-24,18:00,Libertadores,Group stage,Wed,Away,W,3,0,py Cerro Porteño,2.9,0.7,56,,Gustavo Gómez,4-2-3-1,Andrés Matonte,Match Report,
2023-05-28,18:30,Série A,Matchweek 8,Sun,Away,D,1,1,Atlético Mineiro,1.1,0.8,43,53236.0,Gustavo Gómez,4-2-3-1,Braulio da Silva Machado,Match Report,
2023-06-04,18:30,Série A,Matchweek 9,Sun,Home,W,3,1,Coritiba,2.5,0.6,51,33570.0,Gustavo Gómez,4-2-3-1,Felipe Fernandes de Lima,Match Report,
2023-06-07,21:30,Libertadores,Group stage,Wed,Home,W,4,2,ec Barcelona SC,2.9,1.6,54,,Gustavo Gómez,4-2-3-1,Andrés Rojas,Match Report,
2023-06-11,16:00,Série A,Matchweek 10,Sun,Away,W,2,0,São Paulo,0.7,1.4,35,56871.0,Luan Garcia,4-2-3-1,Raphael Claus,Match Report,
2023-06-21,21:30,Série A,Matchweek 11,Wed,Away,L,0,1,Bahia,0.8,1.1,54,31013.0,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Match Report,
2023-06-25,16:00,Série A,Matchweek 12,Sun,Home,L,0,1,Botafogo (RJ),2.6,0.8,64,38877.0,Gustavo Gómez,4-2-3-1,Anderson Daronco,Match Report,
2023-06-29,21:00,Libertadores,Group stage,Thu,Home,W,4,0,bo Bolívar,4.1,0.2,58,33250.0,Gustavo Gómez,4-2-3-1,Jesús Valenzuela,Match Report,
2023-07-02,16:00,Série A,Matchweek 13,Sun,Away,D,2,2,Ath Paranaense,1.6,3.5,46,33118.0,Gustavo Gómez,3-5-2,Jean Pierre Goncalves Lima,Match Report,
2023-07-08,21:00,Série A,Matchweek 14,Sat,Home,D,1,1,Flamengo,1.1,0.8,44,40229.0,Gustavo Gómez,4-2-3-1,Ramon Abatti,Match Report,
2023-07-16,18:30,Série A,Matchweek 15,Sun,Away,D,0,0,Internacional,1.4,0.5,53,41823.0,Gustavo Gómez,4-3-3,Rodrigo José Pereira de Lima,Match Report,
2023-07-22,16:00,Série A,Matchweek 16,Sat,Home,W,3,1,Fortaleza,1.4,1.5,63,39699.0,Gustavo Gómez,4-2-3-1,Rafael Rodrigo Klein,Match Report,
2023-07-30,16:00,Série A,Matchweek 17,Sun,Away,W,4,1,América (MG),0.9,1.4,51,5928.0,Gustavo Gómez,4-2-3-1,Braulio Machado,Match Report,
2023-08-02,21:30,Libertadores,Round of 16,Wed,Away,W,1,0,br Atlético Mineiro,0.2,0.6,49,52587.0,Gustavo Gómez,4-2-3-1,Facundo Tello,Match Report,Leg 1 of 2
2023-08-05,21:00,Série A,Matchweek 18,Sat,Away,L,1,2,Fluminense,1.0,2.6,45,77973.0,Gustavo Gómez,4-2-3-1,Ramon Abatti Abel,Match Report,
2023-08-09,21:30,Libertadores,Round of 16,Wed,Home,D,0,0,br Atlético Mineiro,1.4,0.8,45,,Gustavo Gómez,4-2-3-1,Fernando Rapallini,Match Report,Leg 2 of 2; Palmeiras won
2023-08-14,19:00,Série A,Matchweek 19,Mon,Home,W,1,0,Cruzeiro,1.4,0.6,52,38555.0,Gustavo Gómez,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,
2023-08-19,17:30,Série A,Matchweek 20,Sat,Away,W,2,0,Cuiabá,1.7,0.7,47,19115.0,Marcos Rocha,4-2-3-1,André Luiz Skettino Policarpo Bento,Match Report,
2023-08-23,19:30,Libertadores,Quarter-finals,Wed,Away,W,4,0,co Pereira,3.2,0.5,59,22789.0,Gustavo Gómez,4-2-3-1,Facundo Tello,Match Report,Leg 1 of 2
2023-08-27,18:30,Série A,Matchweek 21,Sun,Home,W,1,0,Vasco da Gama,0.7,0.1,55,40292.0,Gustavo Gómez,4-2-3-1,Wilton Sampaio,Match Report,
2023-08-30,21:30,Libertadores,Quarter-finals,Wed,Home,D,0,0,co Pereira,1.1,0.4,60,37785.0,Gustavo Gómez,3-5-2,Cristián Garay,Match Report,Leg 2 of 2; Palmeiras won
2023-09-03,16:00,Série A,Matchweek 22,Sun,Away,D,0,0,Corinthians,0.7,0.8,57,44371.0,Gustavo Gómez,4-2-3-1,Anderson Daronco,Match Report,
2023-09-15,21:30,Série A,Matchweek 23,Fri,Home,W,1,0,Goiás,1.0,0.4,67,38146.0,Gustavo Gómez,4-2-3-1,Savio Pereira,Match Report,
2023-09-21,21:30,Série A,Matchweek 24,Thu,Away,L,0,1,Grêmio,1.0,0.4,65,29057.0,Gustavo Gómez,4-2-3-1,Bruno Arleu,Match Report,
2023-09-28,21:30,Libertadores,Semi-finals,Thu,Away,D,0,0,ar Boca Juniors,0.4,1.6,44,53615.0,Gustavo Gómez,4-3-1-2,Wilmar Roldán,Match Report,Leg 1 of 2
2023-10-01,18:30,Série A,Matchweek 25,Sun,Away,L,1,2,Bragantino,1.5,2.9,34,9093.0,Luan Garcia,4-2-3-1,Wagner do Nascimento Magalhães,Match Report,
2023-10-05,21:30,Libertadores,Semi-finals,Thu,Home,D,1 (2),1 (4),ar Boca Juniors,1.4,0.9,68,,Gustavo Gómez,3-4-3,Andrés Matonte,Match Report,Leg 2 of 2; Boca Juniors won; Boca Juniors won on penalty kicks following extra time
2023-10-08,16:00,Série A,Matchweek 26,Sun,Home,L,1,2,Santos,2.1,1.4,69,17049.0,Gustavo Gómez,4-2-3-1,Flavio de Souza,Match Report,
2023-10-19,19:00,Série A,Matchweek 27,Thu,Home,L,0,2,Atlético Mineiro,0.7,1.1,56,27718.0,Gustavo Gómez,4-2-3-1,Bruno Arleu,Match Report,
2023-10-22,18:30,Série A,Matchweek 28,Sun,Away,W,2,0,Coritiba,1.1,0.6,54,19387.0,Gustavo Gómez,3-4-1-2,Rafael Rodrigo Klein,Match Report,
2023-10-25,20:00,Série A,Matchweek 29,Wed,Home,W,5,0,São Paulo,2.4,0.1,46,32618.0,Gustavo Gómez,4-3-1-2,Raphael Claus,Match Report,
2023-10-28,19:00,Série A,Matchweek 30,Sat,Home,W,1,0,Bahia,1.7,0.1,63,33747.0,Gustavo Gómez,4-3-1-2,Rodrigo José Pereira de Lima,Match Report,
2023-11-01,21:30,Série A,Matchweek 31,Wed,Away,W,4,3,Botafogo (RJ),1.7,3.5,60,34913.0,Gustavo Gómez,3-4-1-2,Braulio da Silva Machado,Match Report,
2023-11-04,21:30,Série A,Matchweek 32,Sat,Home,W,1,0,Ath Paranaense,1.5,0.6,47,17301.0,Marcos Rocha,3-4-1-2,Wilton Pereira Sampaio,Match Report,
2023-11-08,21:30,Série A,Matchweek 33,Wed,Away,L,0,3,Flamengo,1.0,1.4,49,64590.0,Gustavo Gómez,3-4-1-2,Rodrigo José Pereira de Lima,Match Report,
2023-11-11,21:00,Série A,Matchweek 34,Sat,Home,W,3,0,Internacional,1.7,0.7,39,19358.0,Marcos Rocha,3-4-1-2,Paulo Zanovelli,Match Report,
2023-11-26,18:30,Série A,Matchweek 35,Sun,Away,D,2,2,Fortaleza,0.8,1.8,62,39504.0,Gustavo Gómez,3-4-1-2,André Luiz Skettino Policarpo Bento,Match Report,
2023-11-29,21:30,Série A,Matchweek 36,Wed,Home,W,4,0,América (MG),3.2,0.1,46,29717.0,Marcos Rocha,4-2-3-1,Wilton Pereira Sampaio,Match Report,
2023-12-03,16:00,Série A,Matchweek 37,Sun,Home,W,1,0,Fluminense,2.0,0.3,37,29986.0,Gustavo Gómez,3-4-1-2,Braulio Machado,Match Report,
2023-12-06,21:30,Série A,Matchweek 38,Wed,Away,D,1,1,Cruzeiro,1.4,1.6,44,44190.0,Gustavo Gómez,3-4-1-2,Anderson Daronco,Match Report,
