Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Wéverton,br BRA,GK,35.0,35.0,938.0,1193.0,78.6,25326.0,17027.0,163.0,163.0,100.0,475.0,479.0,99.2,294.0,539.0,54.5,0,0.1,0.1,-0.1,2.0,18.0,1.0,0.0,0.0,Matches
Gustavo Gómez,py PAR,DF,29.0,30.7,1393.0,1676.0,83.1,27579.0,10408.0,404.0,463.0,87.3,816.0,909.0,89.8,151.0,260.0,58.1,3,2.8,1.9,0.2,12.0,84.0,3.0,3.0,86.0,Matches
Zé Rafael,br BRA,MF,29.0,28.5,1034.0,1194.0,86.6,19731.0,4514.0,385.0,427.0,90.2,489.0,535.0,91.4,133.0,174.0,76.4,3,1.9,0.9,1.1,19.0,114.0,5.0,0.0,142.0,Matches
Raphael Veiga,br BRA,MF,27.0,27.3,895.0,1211.0,73.9,17382.0,5818.0,387.0,438.0,88.4,345.0,435.0,79.3,145.0,272.0,53.3,7,7.1,8.0,-0.1,83.0,129.0,33.0,14.0,186.0,Matches
Joaquín Piquerez,uy URU,DF,24.0,28.1,1225.0,1530.0,80.1,21285.0,6523.0,593.0,659.0,90.0,510.0,618.0,82.5,108.0,185.0,58.4,5,3.7,3.3,1.3,28.0,105.0,33.0,19.0,128.0,Matches
Mayke,br BRA,"DF,FW",30.0,27.8,1361.0,1656.0,82.2,23911.0,8170.0,625.0,676.0,92.5,569.0,686.0,82.9,142.0,208.0,68.3,6,4.3,4.1,1.7,41.0,103.0,39.0,25.0,144.0,Matches
Murilo Cerqueira,br BRA,DF,25.0,24.1,1141.0,1278.0,89.3,23588.0,8939.0,319.0,347.0,91.9,668.0,713.0,93.7,147.0,196.0,75.0,2,1.7,1.1,0.3,11.0,80.0,1.0,0.0,81.0,Matches
Artur,br BRA,FW,24.0,21.1,604.0,820.0,73.7,9910.0,2326.0,301.0,352.0,85.5,241.0,311.0,77.5,47.0,97.0,48.5,2,3.4,4.1,-1.4,45.0,46.0,27.0,10.0,81.0,Matches
Luan Garcia,br BRA,DF,29.0,20.2,880.0,1036.0,84.9,21298.0,7748.0,140.0,151.0,92.7,528.0,567.0,93.1,209.0,297.0,70.4,1,0.6,0.6,0.4,6.0,87.0,4.0,2.0,80.0,Matches
Gabriel Menino,br BRA,MF,22.0,17.7,940.0,1153.0,81.5,18930.0,5110.0,335.0,382.0,87.7,442.0,498.0,88.8,154.0,227.0,67.8,3,1.3,1.4,1.7,31.0,117.0,16.0,5.0,137.0,Matches
Richard Ríos,co COL,MF,22.0,20.6,634.0,792.0,80.1,11147.0,2057.0,287.0,334.0,85.9,275.0,321.0,85.7,60.0,81.0,74.1,1,1.0,1.2,0.0,10.0,53.0,9.0,4.0,63.0,Matches
Rony,br BRA,FW,27.0,18.2,179.0,253.0,70.8,2564.0,452.0,114.0,146.0,78.1,44.0,62.0,71.0,13.0,19.0,68.4,0,1.6,1.0,-1.6,22.0,3.0,10.0,5.0,11.0,Matches
Endrick,br BRA,FW,16.0,17.3,255.0,359.0,71.0,4292.0,1051.0,130.0,164.0,79.3,86.0,113.0,76.1,29.0,41.0,70.7,0,1.8,2.2,-1.8,15.0,27.0,18.0,4.0,45.0,Matches
Marcos Rocha,br BRA,DF,34.0,14.0,863.0,1081.0,79.8,18449.0,8068.0,262.0,292.0,89.7,422.0,489.0,86.3,169.0,261.0,64.8,1,0.9,1.4,0.1,19.0,104.0,21.0,8.0,95.0,Matches
