Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
João Paulo,br BRA,GK,27.0,35.7,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,15,1,Matches
Joaquim,br BRA,DF,24.0,30.3,61,45,46,14,1,38,51,74.5,13,39,24,15,46,107,183,1,Matches
Marcos Leonardo,br BRA,FW,19.0,28.8,7,3,1,4,2,2,6,33.3,4,11,5,6,2,9,24,0,Matches
Lucas Lima,br BRA,"MF,FW",32.0,24.5,60,41,19,35,6,26,72,36.1,46,27,4,23,3,63,9,0,Matches
Messias,br BRA,DF,28.0,26.6,22,15,16,6,0,16,21,76.2,5,32,23,9,36,58,164,1,Matches
Rodrigo Fernández,uy URU,MF,27.0,22.4,57,29,26,25,6,38,98,38.8,60,40,11,29,17,74,28,0,Matches
Lucas Braga,br BRA,"DF,FW",26.0,22.1,29,21,19,8,2,17,40,42.5,23,22,4,18,11,40,23,0,Matches
Jean Lucas,br BRA,MF,24.0,20.1,32,22,15,12,5,16,41,39.0,25,16,2,14,14,46,16,1,Matches
Dodi,br BRA,MF,26.0,19.1,43,25,17,24,2,15,34,44.1,19,25,7,18,22,65,28,0,Matches
Stiven Mendoza,co COL,"FW,MF",30.0,18.6,25,13,5,13,7,13,26,50.0,13,20,0,20,11,36,5,0,Matches
Dodô,br BRA,DF,30.0,15.8,20,15,11,7,2,12,23,52.2,11,18,5,13,29,49,44,1,Matches
Yeferson Soteldo,ve VEN,"FW,MF",25.0,17.3,16,9,5,9,2,5,16,31.3,11,10,0,10,6,22,7,0,Matches
Tomás Rincón,ve VEN,MF,35.0,13.2,31,16,8,19,4,14,34,41.2,20,16,1,15,25,56,26,0,Matches
João Othavio Basso,br BRA,DF,26.0,12.8,20,10,14,4,2,11,23,47.8,12,9,6,3,23,43,57,0,Matches
Gabriel Inocêncio,br BRA,DF,28.0,14.2,52,31,30,13,9,28,48,58.3,20,26,8,18,15,67,40,1,Matches
Kevyson,br BRA,DF,18.0,10.8,30,23,18,11,1,13,22,59.1,9,8,3,5,22,52,22,1,Matches
João Lucas,br BRA,DF,24.0,9.0,21,15,9,10,2,11,19,57.9,8,16,3,13,15,36,22,0,Matches
Nonato,br BRA,MF,24.0,7.3,21,15,6,13,2,10,22,45.5,12,14,3,11,14,35,3,0,Matches
Lucas,br BRA,DF,21.0,6.8,14,8,10,4,0,7,20,35.0,13,11,3,8,6,20,20,0,Matches
Nathan,br BRA,DF,21.0,5.5,14,13,10,3,1,10,19,52.6,9,4,0,4,8,22,8,0,Matches
Julio Furch,ar ARG,"FW,MF",33.0,6.8,7,5,2,3,2,1,6,16.7,5,3,0,3,2,9,9,0,Matches
Ângelo Borges,br BRA,"FW,MF",18.0,6.0,10,8,2,5,3,5,10,50.0,5,11,0,11,5,15,1,0,Matches
Alex,br BRA,DF,23.0,5.1,9,7,8,0,1,2,4,50.0,2,3,2,1,7,16,10,0,Matches
Deivid Washington,br BRA,FW,17.0,4.7,4,1,0,1,3,2,8,25.0,6,4,0,4,1,5,3,0,Matches
Guilherme Camacho,br BRA,MF,32.0,5.0,15,9,7,7,1,6,16,37.5,10,14,4,10,5,20,11,0,Matches
Maximiliano Silvera,uy URU,"MF,FW",25.0,5.0,10,8,2,8,0,3,8,37.5,5,8,0,8,1,11,2,0,Matches
Eduardo Gabriel,br BRA,DF,26.0,3.0,1,0,1,0,0,1,1,100.0,0,5,4,1,6,7,20,0,Matches
Daniel Ruiz Rivera,co COL,"FW,MF",21.0,2.7,7,3,3,2,2,4,8,50.0,4,4,0,4,1,8,1,0,Matches
Vladimir,br BRA,GK,33.0,2.3,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,1,Matches
Sandry,br BRA,MF,20.0,2.1,6,3,4,1,1,2,6,33.3,4,4,3,1,2,8,0,0,Matches
Alison,br BRA,MF,29.0,1.5,3,1,1,2,0,1,4,25.0,3,5,2,3,3,6,5,0,Matches
Luan Dias,br BRA,"MF,FW",25.0,2.1,8,6,2,5,1,1,8,12.5,7,3,1,2,1,9,0,0,Matches
Júnior Caiçara,br BRA,DF,33.0,1.9,5,3,3,1,1,3,7,42.9,4,2,1,1,2,7,8,0,Matches
Lucas Barbosa,br BRA,"FW,MF",21.0,1.1,12,5,3,9,0,6,11,54.5,5,8,3,5,2,14,3,0,Matches
Felipe Jonatan,br BRA,DF,24.0,1.0,0,0,0,0,0,0,1,0.0,1,2,0,2,0,0,0,0,Matches
Alfredo Morelos,co COL,"FW,MF",26.0,0.9,1,1,1,0,0,0,0,,0,0,0,0,1,2,0,0,Matches
Bruno Mezenga,br BRA,"FW,MF",34.0,1.9,3,1,0,2,1,1,2,50.0,1,3,0,3,0,3,3,0,Matches
Weslley Patati,br BRA,"FW,MF",19.0,1.5,5,2,1,3,1,3,9,33.3,6,3,0,3,4,9,1,0,Matches
Maicon,br BRA,DF,34.0,0.5,0,0,0,0,0,0,0,,0,0,0,0,1,1,6,0,Matches
Ed Carlos,br BRA,"MF,FW",21.0,0.4,1,1,1,0,0,0,1,0.0,1,0,0,0,0,1,1,0,Matches
Miguel Terceros,bo BOL,"MF,FW",18.0,0.4,0,0,0,0,0,0,0,,0,1,0,1,1,1,0,0,Matches
Jair Paula,br BRA,DF,17.0,0.4,0,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,Matches
Vinicius,br BRA,MF,23.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Cadu,br BRA,DF,20.0,0.2,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Ivonei,br BRA,MF,20.0,0.0,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Luiz Felipe,br BRA,DF,29.0,0.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,26.5,38.0,683,434,327,283,73,344,748,46.0,404,447,132,315,370,1053,830,8,
Opponent Total,,,27.6,38.0,683,407,305,305,73,349,737,47.4,388,400,113,287,305,988,692,5,
