Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Rafael Pires,br BRA,GK,33.0,33.0,1056,952,1055,1,0,0,1056,0,0,,0,,569,2372,1180,0,0,0,0,0,494,0,Matches
Pablo Maia,br BRA,MF,21.0,28.7,1974,83,426,1253,311,12,1974,25,17,68.0,6,24.0,1192,4758,1954,16,33,0,22,17,1418,32,Matches
Alisson,br BRA,"MF,FW",29.0,23.9,1552,36,241,878,446,30,1552,40,22,55.0,13,32.5,917,4596,2290,40,43,5,15,33,1137,105,Matches
Lucas Beraldo,br BRA,DF,19.0,24.0,1908,200,804,1055,59,17,1908,4,0,0.0,0,0.0,1228,6041,3870,16,10,0,8,5,1402,3,Matches
Luciano,br BRA,"MF,FW",29.0,23.5,1119,11,105,610,420,74,1116,53,32,60.4,19,35.8,765,3755,1426,31,36,3,36,32,903,140,Matches
Caio Paulista,br BRA,DF,24.0,23.1,1654,47,369,813,506,59,1654,119,67,56.3,39,32.8,1017,6617,3715,112,67,18,44,32,1086,166,Matches
Rafinha,br BRA,DF,37.0,22.5,1953,64,546,1122,297,6,1953,7,7,100.0,0,0.0,1169,4743,2836,40,38,0,6,2,1372,46,Matches
Wellington Rato,br BRA,"FW,MF",30.0,19.6,1179,41,163,506,520,48,1178,59,31,52.5,26,44.1,713,4312,1844,46,31,10,33,21,829,186,Matches
Diego,br BRA,DF,23.0,19.4,1497,197,773,702,25,10,1497,7,5,71.4,2,28.6,941,4678,2519,2,4,0,7,2,1119,1,Matches
Michel Araujo,uy URU,"FW,MF",26.0,19.6,1249,26,197,613,462,61,1249,110,63,57.3,40,36.4,786,5025,2564,71,51,15,48,35,923,157,Matches
