Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-04-15,21:00,Série A,Matchweek 1,Sat,Away,W,2,1,Atlético Mineiro,1.5,1.5,26,34980.0,Léo Pelé,4-3-3,Raphael Claus,Match Report,
2023-04-23,16:00,Série A,Matchweek 2,Sun,Home,D,2,2,Palmeiras,1.4,0.7,36,59867.0,Léo Pelé,4-3-3,Rafael Rodrigo Klein,Match Report,
2023-05-01,20:00,Série A,Matchweek 3,Mon,Home,L,0,1,Bahia,0.9,1.1,55,19223.0,Léo Pelé,4-3-3,Flavio Rodrigues de Souza,Match Report,
2023-05-06,21:00,Série A,Matchweek 4,Sat,Away,D,1,1,Fluminense,0.7,1.8,21,39850.0,Léo Pelé,4-3-3,Wilton Sampaio,Match Report,
2023-05-11,19:00,Série A,Matchweek 5,Thu,Away,D,1,1,Coritiba,0.8,1.0,64,20880.0,Léo Pelé,4-3-3,Ramon Abatti Abel,Match Report,
2023-05-14,16:00,Série A,Matchweek 6,Sun,Home,L,0,1,Santos,1.7,0.6,68,18476.0,Léo Pelé,4-3-3,Rodrigo José Pereira de Lima,Match Report,
2023-05-20,18:30,Série A,Matchweek 7,Sat,Away,L,2,4,São Paulo,1.1,2.3,48,57399.0,Léo Pelé,4-3-3,Leandro Pedro Vuaden,Match Report,
2023-05-27,16:00,Série A,Matchweek 8,Sat,Away,L,0,2,Fortaleza,0.7,1.5,51,37625.0,Léo Pelé,4-3-3,Edina Alves Batista,Match Report,
2023-06-05,20:00,Série A,Matchweek 9,Mon,Home,L,1,4,Flamengo,1.5,1.1,45,46423.0,Léo Pelé,3-4-3,Braulio Machado,Match Report,
2023-06-11,16:00,Série A,Matchweek 10,Sun,Away,L,1,2,Internacional,0.9,1.6,53,18044.0,Léo Pelé,4-1-2-1-2◆,Edina Alves Batista,Match Report,
2023-06-22,20:00,Série A,Matchweek 11,Thu,Home,L,0,1,Goiás,1.7,0.4,59,17647.0,Léo Pelé,4-3-1-2,Jean Pierre Goncalves Lima,Match Report,
2023-06-26,21:00,Série A,Matchweek 12,Mon,Home,W,1,0,Cuiabá,1.7,0.6,45,,Léo Pelé,4-3-3,Rafael Rodrigo Klein,Match Report,
2023-07-02,16:00,Série A,Matchweek 13,Sun,Away,L,0,2,Botafogo (RJ),0.9,1.7,40,38798.0,Léo Pelé,4-2-3-1,Raphael Claus,Match Report,
2023-07-08,16:00,Série A,Matchweek 14,Sat,Home,L,0,1,Cruzeiro,1.3,0.7,55,,Léo Pelé,3-4-3,Savio Pereira,Match Report,
2023-07-23,18:30,Série A,Matchweek 16,Sun,Home,L,0,2,Ath Paranaense,1.5,1.3,56,,Gary Medel,4-3-3,Paulo Zanovelli,Match Report,
2023-07-29,18:30,Série A,Matchweek 17,Sat,Away,L,1,3,Corinthians,1.7,1.3,45,,Gary Medel,3-5-2,Leandro Pedro Vuaden,Match Report,
2023-08-06,16:00,Série A,Matchweek 18,Sun,Home,W,1,0,Grêmio,1.8,1.5,52,,Gary Medel,4-1-4-1,Luiz Flávio de Oliveira,Match Report,
2023-08-14,21:00,Série A,Matchweek 19,Mon,Away,D,1,1,Bragantino,1.5,1.6,36,5553.0,Gary Medel,4-1-4-1,Anderson Daronco,Match Report,
2023-08-20,11:00,Série A,Matchweek 20,Sun,Home,W,1,0,Atlético Mineiro,1.9,0.7,42,53540.0,Gary Medel,4-1-4-1,Braulio da Silva Machado,Match Report,
