Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Léo Jardim,br BRA,GK,27.0,38.0,2,0,0,0,2,0,0,0,0,0.0,0.0,0,28.0,6.0,0.0,100.0,Matches
Lucas Piton,br BRA,DF,22.0,36.5,5,0,0,48,9,2,222,40,25,0.0,0.0,0,168.0,28.0,45.0,38.4,Matches
Léo Pelé,br BRA,DF,26.0,30.2,6,0,0,25,17,0,7,14,17,0.0,1.0,0,150.0,27.0,12.0,69.2,Matches
Gabriel Chaves,br BRA,"FW,MF",21.0,29.0,6,0,0,33,52,6,92,13,26,0.0,0.0,0,126.0,13.0,36.0,26.5,Matches
Zé Gabriel,br BRA,MF,24.0,21.5,5,0,0,36,19,0,1,18,20,0.0,0.0,0,121.0,19.0,20.0,48.7,Matches
José Luis Rodríguez Bebanz,uy URU,DF,25.0,22.2,2,0,0,18,12,3,140,30,31,0.0,1.0,0,139.0,30.0,21.0,58.8,Matches
Pablo Vegetti,ar ARG,FW,34.0,19.9,4,1,1,33,48,15,21,4,5,1.0,0.0,0,40.0,111.0,107.0,50.9,Matches
Gary Medel,cl CHI,"DF,MF",35.0,19.2,5,1,0,11,6,0,3,20,5,0.0,0.0,0,107.0,15.0,11.0,57.7,Matches
Paulinho,br BRA,MF,26.0,18.2,7,1,1,55,51,1,35,16,23,0.0,0.0,0,115.0,14.0,9.0,60.9,Matches
Bruno Praxedes,br BRA,MF,20.0,14.9,2,0,0,20,19,2,15,12,26,0.0,0.0,0,96.0,11.0,21.0,34.4,Matches
Jair,br BRA,MF,28.0,17.7,6,1,0,37,52,0,8,15,24,1.0,0.0,0,117.0,19.0,15.0,55.9,Matches
Robson Bambu,br BRA,DF,25.0,14.2,6,0,0,18,19,2,11,12,13,0.0,0.0,0,88.0,27.0,24.0,52.9,Matches
Maicon,br BRA,DF,34.0,13.9,3,0,0,9,6,0,7,17,13,0.0,0.0,0,66.0,27.0,13.0,67.5,Matches
Marlon Gomes,br BRA,MF,19.0,12.7,4,0,0,27,26,2,11,33,31,,,0,,,,,Matches
Alex Teixeira,br BRA,"FW,MF",33.0,12.6,1,0,0,26,23,10,22,1,6,0.0,0.0,0,43.0,22.0,34.0,39.3,Matches
Paulo Henrique,br BRA,DF,26.0,9.5,3,0,0,14,5,1,36,9,21,0.0,0.0,0,65.0,10.0,11.0,47.6,Matches
Pedro Raul,br BRA,FW,26.0,9.3,3,0,0,13,10,9,3,5,2,0.0,0.0,0,25.0,31.0,44.0,41.3,Matches
Dimitri Payet,fr FRA,"MF,FW",35.0,8.9,0,0,0,3,19,0,70,2,5,0.0,0.0,0,32.0,2.0,6.0,25.0,Matches
Figueiredo,br BRA,"FW,MF",21.0,7.3,2,0,0,17,15,5,21,6,5,1.0,0.0,0,27.0,21.0,16.0,56.8,Matches
Luca Orellano,ar ARG,"FW,MF",22.0,6.9,2,0,0,9,22,0,39,3,7,0.0,0.0,0,37.0,7.0,6.0,53.8,Matches
Manuel Capasso,ar ARG,DF,26.0,6.2,4,0,0,6,0,1,0,8,4,0.0,0.0,0,37.0,18.0,8.0,69.2,Matches
Andrey Santos,br BRA,MF,18.0,4.7,3,0,0,13,4,1,1,11,7,0.0,0.0,0,16.0,7.0,9.0,43.8,Matches
Sergio Antonio De Luiz Junior,br BRA,"MF,DF",27.0,4.0,2,0,0,5,9,1,9,0,5,0.0,0.0,0,25.0,4.0,3.0,57.1,Matches
Matías Galarza,py PAR,MF,20.0,4.5,1,0,0,7,4,0,10,6,7,0.0,0.0,0,31.0,5.0,9.0,35.7,Matches
Rossi,br BRA,"MF,FW",29.0,4.4,0,1,0,10,12,1,39,4,2,0.0,1.0,0,15.0,8.0,8.0,50.0,Matches
Miranda,br BRA,DF,23.0,4.3,0,0,0,7,2,0,2,4,3,0.0,0.0,0,24.0,9.0,10.0,47.4,Matches
Rodrigo Alves,br BRA,MF,20.0,3.9,1,0,0,4,2,0,0,3,5,0.0,0.0,0,14.0,3.0,4.0,42.9,Matches
Sebastián Ferreira,py PAR,"FW,MF",24.0,4.9,2,0,0,6,15,4,2,0,3,0.0,0.0,0,19.0,5.0,14.0,26.3,Matches
Erick Marcus,br BRA,"MF,FW",18.0,4.4,3,1,1,9,8,1,27,4,5,0.0,0.0,0,19.0,12.0,6.0,66.7,Matches
Mateus Cocão,br BRA,MF,20.0,3.9,3,0,0,14,6,0,7,3,7,0.0,0.0,0,28.0,2.0,3.0,40.0,Matches
Rayan Vitor,br BRA,"FW,MF",16.0,2.9,2,0,0,3,3,0,1,0,1,0.0,0.0,0,4.0,5.0,11.0,31.3,Matches
Cauan Barros,br BRA,MF,18.0,2.6,2,0,0,8,3,0,1,1,3,0.0,0.0,0,10.0,4.0,9.0,30.8,Matches
José Vitor,br BRA,DF,20.0,1.2,1,0,0,3,0,0,2,0,0,0.0,1.0,0,3.0,2.0,6.0,25.0,Matches
Gabriel Carabajal,ar ARG,MF,31.0,1.4,0,0,0,3,2,0,20,2,1,0.0,0.0,0,11.0,2.0,4.0,33.3,Matches
Eguinaldo,br BRA,"FW,MF",18.0,0.7,2,0,0,3,2,0,0,0,1,0.0,0.0,0,1.0,4.0,7.0,36.4,Matches
Paulinho,br BRA,DF,17.0,0.5,0,0,0,1,3,0,3,0,0,,,0,,,,,Matches
Rwan,br BRA,"MF,FW",21.0,0.4,0,0,0,2,3,0,1,0,1,0.0,0.0,0,3.0,1.0,6.0,14.3,Matches
Gabriel Dias,br BRA,DF,28.0,0.1,1,0,0,0,0,0,0,0,1,0.0,0.0,0,2.0,0.0,0.0,,Matches
Paulo Victor,br BRA,DF,21.0,0.1,0,0,0,1,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches
Squad Total,,,26.2,38.0,101,6,3,557,510,67,889,316,361,3.0,4.0,0,1853.0,531.0,568.0,48.3,
Opponent Total,,,27.4,38.0,89,6,0,545,529,49,746,309,415,2.0,4.0,0,1869.0,579.0,542.0,51.7,
