Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Léo Jardim,br BRA,GK,27.0,38.0,1049.0,912.0,1043.0,6.0,0.0,0.0,1049.0,0.0,0.0,,0.0,,491.0,2760.0,1706.0,0.0,0.0,0.0,0.0,0.0,339.0,0.0,Matches
Lucas Piton,br BRA,DF,22.0,36.5,2287.0,113.0,663.0,935.0,715.0,36.0,2287.0,63.0,24.0,38.1,36.0,57.1,1134.0,5720.0,3168.0,88.0,65.0,6.0,33.0,10.0,1304.0,220.0,Matches
Léo Pelé,br BRA,DF,26.0,30.2,1872.0,225.0,802.0,963.0,117.0,7.0,1872.0,20.0,17.0,85.0,2.0,10.0,1151.0,7113.0,4662.0,55.0,34.0,0.0,13.0,7.0,1294.0,9.0,Matches
Gabriel Chaves,br BRA,"FW,MF",21.0,29.0,990.0,15.0,141.0,375.0,518.0,109.0,990.0,130.0,57.0,43.8,62.0,47.7,619.0,5588.0,2612.0,92.0,73.0,35.0,88.0,37.0,629.0,204.0,Matches
Zé Gabriel,br BRA,MF,24.0,21.5,1263.0,87.0,420.0,764.0,95.0,8.0,1263.0,18.0,8.0,44.4,8.0,44.4,766.0,4094.0,2263.0,24.0,16.0,2.0,15.0,12.0,861.0,12.0,Matches
José Luis Rodríguez Bebanz,uy URU,DF,25.0,22.2,1452.0,88.0,438.0,596.0,441.0,51.0,1452.0,40.0,17.0,42.5,21.0,52.5,683.0,3506.0,2130.0,56.0,42.0,7.0,23.0,9.0,741.0,95.0,Matches
Pablo Vegetti,ar ARG,FW,34.0,19.9,579.0,39.0,67.0,276.0,238.0,110.0,577.0,13.0,6.0,46.2,7.0,53.8,261.0,992.0,255.0,10.0,2.0,3.0,41.0,22.0,413.0,70.0,Matches
Gary Medel,cl CHI,"DF,MF",35.0,19.2,1257.0,192.0,650.0,581.0,31.0,0.0,1257.0,5.0,3.0,60.0,2.0,40.0,717.0,2722.0,1354.0,5.0,7.0,0.0,17.0,3.0,853.0,7.0,Matches
Paulinho,br BRA,MF,26.0,18.2,1139.0,15.0,168.0,685.0,306.0,22.0,1139.0,68.0,33.0,48.5,32.0,47.1,734.0,4385.0,2180.0,47.0,39.0,8.0,28.0,29.0,814.0,55.0,Matches
Bruno Praxedes,br BRA,MF,20.0,14.9,813.0,28.0,152.0,493.0,178.0,29.0,813.0,30.0,19.0,63.3,9.0,30.0,499.0,3141.0,1433.0,39.0,21.0,2.0,19.0,11.0,569.0,36.0,Matches
Jair,br BRA,MF,28.0,17.7,1147.0,34.0,210.0,725.0,226.0,21.0,1145.0,34.0,17.0,50.0,11.0,32.4,739.0,3955.0,2188.0,32.0,27.0,4.0,25.0,5.0,798.0,32.0,Matches
Robson Bambu,br BRA,DF,25.0,14.2,858.0,115.0,394.0,402.0,67.0,9.0,858.0,17.0,7.0,41.2,9.0,52.9,486.0,2649.0,1397.0,5.0,6.0,0.0,15.0,13.0,523.0,13.0,Matches
Maicon,br BRA,DF,34.0,13.9,843.0,146.0,487.0,330.0,32.0,7.0,843.0,6.0,4.0,66.7,1.0,16.7,463.0,2076.0,1048.0,1.0,7.0,1.0,3.0,1.0,515.0,2.0,Matches
Marlon Gomes,br BRA,MF,19.0,12.7,,,,,,,,,,,,,,,,,,,,,,,Matches
Alex Teixeira,br BRA,"FW,MF",33.0,12.6,427.0,5.0,47.0,211.0,178.0,45.0,427.0,43.0,20.0,46.5,20.0,46.5,286.0,1958.0,957.0,27.0,24.0,10.0,24.0,9.0,322.0,59.0,Matches
Paulo Henrique,br BRA,DF,26.0,9.5,593.0,32.0,162.0,256.0,185.0,11.0,593.0,28.0,18.0,64.3,6.0,21.4,294.0,1705.0,948.0,22.0,17.0,6.0,14.0,8.0,298.0,39.0,Matches
Pedro Raul,br BRA,FW,26.0,9.3,281.0,15.0,27.0,139.0,118.0,46.0,281.0,12.0,9.0,75.0,3.0,25.0,136.0,574.0,149.0,5.0,4.0,1.0,26.0,15.0,197.0,40.0,Matches
Dimitri Payet,fr FRA,"MF,FW",35.0,8.9,513.0,7.0,48.0,234.0,237.0,21.0,513.0,20.0,14.0,70.0,5.0,25.0,310.0,1591.0,772.0,27.0,21.0,7.0,18.0,9.0,372.0,57.0,Matches
Figueiredo,br BRA,"FW,MF",21.0,7.3,360.0,9.0,56.0,140.0,172.0,31.0,360.0,42.0,21.0,50.0,19.0,45.2,218.0,1327.0,500.0,15.0,17.0,2.0,16.0,13.0,255.0,65.0,Matches
Luca Orellano,ar ARG,"FW,MF",22.0,6.9,373.0,3.0,42.0,153.0,194.0,15.0,373.0,46.0,23.0,50.0,19.0,41.3,250.0,1966.0,897.0,23.0,25.0,3.0,17.0,19.0,260.0,47.0,Matches
Manuel Capasso,ar ARG,DF,26.0,6.2,399.0,58.0,208.0,190.0,4.0,3.0,399.0,1.0,1.0,100.0,0.0,0.0,257.0,1121.0,640.0,1.0,2.0,1.0,2.0,1.0,279.0,1.0,Matches
Andrey Santos,br BRA,MF,18.0,4.7,197.0,10.0,59.0,104.0,35.0,9.0,197.0,4.0,1.0,25.0,2.0,50.0,89.0,430.0,189.0,4.0,1.0,0.0,6.0,1.0,106.0,12.0,Matches
Sergio Antonio De Luiz Junior,br BRA,"MF,DF",27.0,4.0,177.0,4.0,26.0,77.0,78.0,15.0,177.0,12.0,6.0,50.0,6.0,50.0,112.0,531.0,199.0,4.0,1.0,1.0,11.0,2.0,113.0,32.0,Matches
Matías Galarza,py PAR,MF,20.0,4.5,192.0,10.0,42.0,97.0,56.0,4.0,192.0,10.0,7.0,70.0,2.0,20.0,93.0,507.0,259.0,4.0,6.0,0.0,8.0,0.0,102.0,19.0,Matches
Rossi,br BRA,"MF,FW",29.0,4.4,219.0,1.0,24.0,84.0,112.0,10.0,219.0,7.0,2.0,28.6,3.0,42.9,116.0,482.0,199.0,6.0,3.0,3.0,13.0,3.0,152.0,48.0,Matches
