Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Léo Jardim,br BRA,GK,27.0,38.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Lucas Piton,br BRA,DF,22.0,36.5,0,25,4,16.0,0.69,0.11,0.0,0.0,22.4,4.0,0,0,1.0,1.0,0.04,-1.0,-1.0,Matches
Léo Pelé,br BRA,DF,26.0,30.2,0,6,2,33.3,0.2,0.07,0.0,0.0,15.9,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Gabriel Chaves,br BRA,"FW,MF",21.0,29.0,8,66,24,36.4,2.27,0.83,0.12,0.33,17.8,5.0,0,0,9.1,9.1,0.14,-1.1,-1.1,Matches
Zé Gabriel,br BRA,MF,24.0,21.5,1,13,3,23.1,0.6,0.14,0.08,0.33,28.3,0.0,0,0,0.5,0.5,0.04,0.5,0.5,Matches
José Luis Rodríguez Bebanz,uy URU,DF,25.0,22.2,2,38,13,34.2,1.71,0.59,0.05,0.15,18.7,5.0,0,0,2.8,2.8,0.08,-0.8,-0.8,Matches
Pablo Vegetti,ar ARG,FW,34.0,19.9,10,78,29,37.2,3.92,1.46,0.1,0.28,12.2,0.0,2,2,11.4,9.8,0.13,-1.4,-1.8,Matches
Gary Medel,cl CHI,"DF,MF",35.0,19.2,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Paulinho,br BRA,MF,26.0,18.2,1,10,2,20.0,0.55,0.11,0.1,0.5,22.3,2.0,0,0,0.6,0.6,0.05,0.4,0.4,Matches
Bruno Praxedes,br BRA,MF,20.0,14.9,1,23,7,30.4,1.54,0.47,0.04,0.14,17.7,0.0,0,0,1.8,1.8,0.08,-0.8,-0.8,Matches
Jair,br BRA,MF,28.0,17.7,3,13,4,30.8,0.74,0.23,0.08,0.25,18.5,0.0,2,2,2.2,0.6,0.05,0.8,0.4,Matches
Robson Bambu,br BRA,DF,25.0,14.2,0,4,1,25.0,0.28,0.07,0.0,0.0,8.8,0.0,0,0,0.5,0.5,0.12,-0.5,-0.5,Matches
Maicon,br BRA,DF,34.0,13.9,0,4,1,25.0,0.29,0.07,0.0,0.0,16.0,1.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Marlon Gomes,br BRA,MF,19.0,12.7,0,11,0,0.0,0.87,0.0,0.0,,,,0,0,,,,,,Matches
Alex Teixeira,br BRA,"FW,MF",33.0,12.6,1,24,7,29.2,1.91,0.56,0.04,0.14,15.2,0.0,0,0,3.1,3.1,0.13,-2.1,-2.1,Matches
Paulo Henrique,br BRA,DF,26.0,9.5,1,10,6,60.0,1.06,0.63,0.1,0.17,24.1,0.0,0,0,0.3,0.3,0.03,0.7,0.7,Matches
Pedro Raul,br BRA,FW,26.0,9.3,2,22,9,40.9,2.37,0.97,0.09,0.22,14.1,1.0,0,0,2.6,2.6,0.12,-0.6,-0.6,Matches
Dimitri Payet,fr FRA,"MF,FW",35.0,8.9,2,11,5,45.5,1.24,0.56,0.18,0.4,22.0,4.0,0,0,0.7,0.7,0.06,1.3,1.3,Matches
Figueiredo,br BRA,"FW,MF",21.0,7.3,0,28,8,28.6,3.84,1.1,0.0,0.0,22.2,4.0,0,0,1.8,1.8,0.06,-1.8,-1.8,Matches
Luca Orellano,ar ARG,"FW,MF",22.0,6.9,1,17,5,29.4,2.46,0.72,0.06,0.2,23.1,3.0,0,0,1.1,1.1,0.07,-0.1,-0.1,Matches
Manuel Capasso,ar ARG,DF,26.0,6.2,0,1,0,0.0,0.16,0.0,0.0,,10.4,0.0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
Andrey Santos,br BRA,MF,18.0,4.7,1,5,2,40.0,1.07,0.43,0.2,0.5,8.0,0.0,0,0,1.2,1.2,0.24,-0.2,-0.2,Matches
Sergio Antonio De Luiz Junior,br BRA,"MF,DF",27.0,4.0,2,6,3,50.0,1.5,0.75,0.33,0.67,9.6,0.0,0,0,1.4,1.4,0.23,0.6,0.6,Matches
Matías Galarza,py PAR,MF,20.0,4.5,1,9,2,22.2,2.02,0.45,0.11,0.5,21.2,0.0,0,0,0.6,0.6,0.07,0.4,0.4,Matches
Rossi,br BRA,"MF,FW",29.0,4.4,1,2,1,50.0,0.45,0.23,0.5,1.0,9.3,0.0,0,0,1.0,1.0,0.5,0.0,0.0,Matches
Miranda,br BRA,DF,23.0,4.3,0,4,1,25.0,0.93,0.23,0.0,0.0,11.4,0.0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
Rodrigo Alves,br BRA,MF,20.0,3.9,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Sebastián Ferreira,py PAR,"FW,MF",24.0,4.9,0,10,2,20.0,2.05,0.41,0.0,0.0,10.2,0.0,0,0,1.7,1.7,0.17,-1.7,-1.7,Matches
Erick Marcus,br BRA,"MF,FW",18.0,4.4,1,8,2,25.0,1.8,0.45,0.13,0.5,16.2,0.0,0,0,0.6,0.6,0.08,0.4,0.4,Matches
Mateus Cocão,br BRA,MF,20.0,3.9,0,2,0,0.0,0.52,0.0,0.0,,8.9,0.0,0,0,0.4,0.4,0.19,-0.4,-0.4,Matches
Rayan Vitor,br BRA,"FW,MF",16.0,2.9,1,11,3,27.3,3.74,1.02,0.09,0.33,15.5,0.0,0,0,0.8,0.8,0.07,0.2,0.2,Matches
Cauan Barros,br BRA,MF,18.0,2.6,1,5,1,20.0,1.9,0.38,0.2,1.0,13.3,0.0,0,0,0.3,0.3,0.07,0.7,0.7,Matches
José Vitor,br BRA,DF,20.0,1.2,0,1,1,100.0,0.82,0.82,0.0,0.0,15.7,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Gabriel Carabajal,ar ARG,MF,31.0,1.4,0,4,0,0.0,2.95,0.0,0.0,,23.5,1.0,0,0,0.2,0.2,0.04,-0.2,-0.2,Matches
Eguinaldo,br BRA,"FW,MF",18.0,0.7,0,2,0,0.0,2.69,0.0,0.0,,22.3,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Paulinho,br BRA,DF,17.0,0.5,0,2,0,0.0,4.0,0.0,0.0,,,,0,0,,,,,,Matches
Rwan,br BRA,"MF,FW",21.0,0.4,0,1,0,0.0,2.65,0.0,0.0,,21.7,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Gabriel Dias,br BRA,DF,28.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Paulo Victor,br BRA,DF,21.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.2,38.0,41,476,148,31.1,12.53,3.89,0.08,0.25,17.0,30.0,4,4,47.7,44.6,0.1,-6.7,-7.6,
Opponent Total,,,27.4,38.0,51,504,177,35.1,13.26,4.66,0.09,0.27,19.3,34.0,4,5,46.2,42.2,0.09,4.8,4.8,
