Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Lucas Villalba,ar ARG,DF,28.0,23.8,33,1.38,22,2,4,3,1,1,3,0.13,2,0,0,0,0,1,Matches
Gabriel Ávalos,py PAR,FW,32.0,19.7,67,3.4,53,0,2,6,5,1,4,0.2,3,0,0,0,1,0,Matches
Kevin Mac Allister,ar ARG,DF,25.0,19.2,37,1.93,25,4,0,4,1,3,0,0.0,0,0,0,0,0,0,Matches
Francisco González,ar ARG,MF,25.0,17.6,57,3.24,38,7,4,3,3,2,9,0.51,7,0,0,0,2,0,Matches
Javier Cabrera,uy URU,"DF,MF",30.0,17.3,74,4.28,45,15,3,5,5,1,3,0.17,3,0,0,0,0,0,Matches
Santiago Gabriel,ar ARG,"DF,MF",22.0,18.0,48,2.67,23,12,3,7,3,0,4,0.22,3,0,1,0,0,0,Matches
Franco Moyano,ar ARG,MF,25.0,17.4,37,2.12,23,13,0,0,0,1,3,0.17,3,0,0,0,0,0,Matches
Miguel Ángel Torrén,ar ARG,DF,34.0,13.8,25,1.82,16,6,0,1,1,1,2,0.15,1,1,0,0,0,0,Matches
Gastón Verón,ar ARG,"FW,MF",21.0,14.5,48,3.3,33,0,4,6,4,1,3,0.21,1,0,0,0,2,0,Matches
Federico Lanzillota,ar ARG,GK,30.0,14.0,3,0.21,2,1,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Federico Redondo,ar ARG,MF,20.0,14.2,22,1.54,19,1,0,1,1,0,1,0.07,1,0,0,0,0,0,Matches
Alexis Martin Arias,ar ARG,GK,30.0,13.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alan Rodríguez,uy URU,MF,23.0,12.9,28,2.16,21,0,2,3,2,0,3,0.23,2,0,0,1,0,0,Matches
Marco Di Cesare,ar ARG,DF,22.0,12.1,7,0.58,6,0,0,1,0,0,1,0.08,0,0,0,1,0,0,Matches
Thiago Nuss,ar ARG,"FW,MF",21.0,10.1,23,2.27,11,0,1,5,5,1,0,0.0,0,0,0,0,0,0,Matches
Luciano Sánchez,ar ARG,"DF,FW",29.0,9.5,13,1.37,10,3,0,0,0,0,1,0.11,0,1,0,0,0,0,Matches
Rodrigo Cabral,ar ARG,"DF,MF",22.0,8.7,25,2.88,18,0,2,3,2,0,2,0.23,1,0,0,1,0,0,Matches
Fabricio Domínguez,uy URU,"MF,DF",24.0,8.6,40,4.68,28,4,5,1,2,0,5,0.58,4,0,1,0,0,0,Matches
Leonardo Heredia,ar ARG,"FW,MF",27.0,7.3,25,3.43,21,1,0,2,1,0,2,0.27,1,0,0,1,0,0,Matches
Matías Vera,ar ARG,MF,27.0,5.8,7,1.22,7,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Leonel González,ar ARG,DF,28.0,4.3,5,1.17,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Mariano Bíttolo,ar ARG,"DF,MF",32.0,3.9,11,2.83,11,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Pablo Minissale,ar ARG,DF,22.0,4.1,4,0.98,4,0,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches
José Herrera,ar ARG,"DF,FW",17.0,3.5,14,4.03,11,1,0,0,2,0,0,0.0,0,0,0,0,0,0,Matches
Facundo Ferreyra,ar ARG,"FW,MF",31.0,2.1,5,2.32,2,0,0,2,1,0,3,1.39,1,0,0,1,1,0,Matches
Román Riquelme,ar ARG,DF,20.0,0.5,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,26.5,27.0,658,24.37,454,70,30,53,39,12,51,1.89,35,2,2,5,6,1,
Opponent Total,,,27.0,27.0,420,15.56,248,67,36,22,36,11,33,1.22,18,2,5,1,5,2,
