Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Alejandro Medina,ar ARG,GK,35.0,27.0,,1,,,,,,,,,,,0,,,,Matches
Adrián Sporle,ar ARG,DF,27.0,22.8,62.0,35,34.0,20.0,8.0,31.0,58.0,53.4,27.0,38.0,7.0,31.0,34,96.0,54.0,0.0,Matches
Felipe Peña,ar ARG,MF,21.0,21.2,36.0,29,18.0,17.0,1.0,13.0,48.0,27.1,35.0,32.0,9.0,23.0,25,61.0,42.0,1.0,Matches
Lautaro Guzmán,ar ARG,"FW,MF",23.0,20.8,23.0,12,13.0,6.0,4.0,9.0,41.0,22.0,32.0,18.0,2.0,16.0,12,35.0,8.0,0.0,Matches
Lucas Souto,ar ARG,DF,24.0,20.7,53.0,38,29.0,17.0,7.0,29.0,39.0,74.4,10.0,18.0,4.0,14.0,19,72.0,64.0,0.0,Matches
Joaquín Pombo,ar ARG,DF,21.0,18.9,44.0,28,36.0,8.0,0.0,22.0,44.0,50.0,22.0,23.0,9.0,14.0,41,85.0,85.0,0.0,Matches
Maximiliano Centurión,ar ARG,DF,23.0,19.6,26.0,18,18.0,8.0,0.0,19.0,29.0,65.5,10.0,32.0,15.0,17.0,26,52.0,118.0,2.0,Matches
Santiago Toloza,ar ARG,"MF,FW",20.0,18.3,15.0,9,3.0,10.0,2.0,2.0,20.0,10.0,18.0,12.0,1.0,11.0,6,21.0,5.0,0.0,Matches
Néstor Breitenbruch,ar ARG,DF,27.0,16.9,43.0,22,30.0,11.0,2.0,23.0,45.0,51.1,22.0,29.0,13.0,16.0,12,55.0,50.0,0.0,Matches
Flabián Londoño,co COL,"FW,MF",22.0,12.8,13.0,9,2.0,8.0,3.0,2.0,17.0,11.8,15.0,14.0,0.0,14.0,3,16.0,17.0,0.0,Matches
Gonzalo Muscia,ar ARG,MF,23.0,12.7,35.0,22,22.0,11.0,2.0,16.0,37.0,43.2,21.0,21.0,5.0,16.0,17,52.0,21.0,0.0,Matches
Tiago Banega,ar ARG,MF,23.0,10.9,34.0,24,7.0,26.0,1.0,6.0,28.0,21.4,22.0,20.0,4.0,16.0,11,45.0,9.0,0.0,Matches
Lucas Brochero,ar ARG,"FW,MF",24.0,10.3,17.0,8,10.0,4.0,3.0,6.0,13.0,46.2,7.0,15.0,0.0,15.0,7,24.0,9.0,0.0,Matches
Facundo Pons,ar ARG,FW,27.0,10.1,7.0,5,3.0,2.0,2.0,0.0,8.0,0.0,8.0,10.0,1.0,9.0,1,8.0,12.0,0.0,Matches
Braian Rivero,ar ARG,MF,26.0,9.6,25.0,10,9.0,14.0,2.0,13.0,35.0,37.1,22.0,10.0,4.0,6.0,13,38.0,3.0,0.0,Matches
Luís Leal,st STP,FW,35.0,9.6,1.0,1,0.0,0.0,1.0,0.0,4.0,0.0,4.0,8.0,4.0,4.0,0,1.0,13.0,0.0,Matches
Ignacio Gariglio,ar ARG,DF,24.0,8.2,19.0,10,14.0,4.0,1.0,9.0,15.0,60.0,6.0,8.0,4.0,4.0,13,32.0,45.0,0.0,Matches
Facundo Cardozo,ar ARG,DF,27.0,7.1,15.0,9,10.0,5.0,0.0,8.0,15.0,53.3,7.0,9.0,2.0,7.0,7,22.0,33.0,1.0,Matches
Franco Vega,ar ARG,"MF,FW",21.0,4.2,9.0,4,3.0,4.0,2.0,7.0,13.0,53.8,6.0,6.0,1.0,5.0,1,10.0,0.0,0.0,Matches
Juan Cuesta,co COL,"MF,FW",20.0,3.8,4.0,3,1.0,1.0,2.0,2.0,5.0,40.0,3.0,3.0,0.0,3.0,3,7.0,7.0,0.0,Matches
Santiago Paiva,uy URU,"FW,MF",24.0,2.7,5.0,3,0.0,3.0,2.0,3.0,4.0,75.0,1.0,0.0,0.0,0.0,1,6.0,2.0,0.0,Matches
Daniel Lucero,ar ARG,"FW,MF",20.0,2.5,5.0,3,1.0,3.0,1.0,3.0,5.0,60.0,2.0,8.0,1.0,7.0,0,5.0,0.0,0.0,Matches
Leonardo Marchi,ar ARG,DF,26.0,1.6,2.0,1,2.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,1.0,0.0,1,3.0,3.0,0.0,Matches
Tomás Sives,ar ARG,FW,20.0,1.2,,3,,,,,,,,,,,1,,,,Matches
Juan Peinipil,ar ARG,"FW,MF",21.0,1.1,1.0,1,0.0,1.0,0.0,0.0,3.0,0.0,3.0,2.0,0.0,2.0,0,1.0,0.0,0.0,Matches
Tobías Zarate,ar ARG,"MF,FW",22.0,0.6,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,1.0,0,0.0,0.0,0.0,Matches
Emiliano Viveros,ar ARG,MF,20.0,0.2,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,Matches
Squad Total,,,25.4,27.0,494.0,308,265.0,183.0,46.0,223.0,528.0,42.2,305.0,338.0,87.0,251.0,254,748.0,600.0,4.0,
Opponent Total,,,27.2,27.0,483.0,312,201.0,223.0,59.0,232.0,513.0,45.2,281.0,278.0,49.0,229.0,249,732.0,492.0,2.0,
