Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Alejandro Medina,ar ARG,GK,35.0,27.0,4,0,0,2,6,0,0,0,1,,,0,,,,,Matches
Adrián Sporle,ar ARG,DF,27.0,22.8,4,1,0,28,4,0,78,34,35,0.0,0.0,0,170.0,30.0,28.0,51.7,Matches
Felipe Peña,ar ARG,MF,21.0,21.2,4,0,0,12,11,0,2,25,29,0.0,0.0,1,185.0,24.0,17.0,58.5,Matches
Lautaro Guzmán,ar ARG,"FW,MF",23.0,20.8,2,0,0,14,54,6,133,12,12,0.0,0.0,0,125.0,6.0,27.0,18.2,Matches
Lucas Souto,ar ARG,DF,24.0,20.7,7,0,0,30,9,7,33,19,38,0.0,0.0,0,120.0,52.0,29.0,64.2,Matches
Joaquín Pombo,ar ARG,DF,21.0,18.9,7,1,0,31,4,0,0,41,28,0.0,0.0,0,106.0,41.0,26.0,61.2,Matches
Maximiliano Centurión,ar ARG,DF,23.0,19.6,3,0,0,19,4,0,0,26,18,0.0,1.0,0,112.0,73.0,37.0,66.4,Matches
Santiago Toloza,ar ARG,"MF,FW",20.0,18.3,7,0,0,17,44,1,61,6,9,0.0,0.0,0,125.0,1.0,8.0,11.1,Matches
Néstor Breitenbruch,ar ARG,DF,27.0,16.9,0,0,0,13,5,1,21,12,22,0.0,0.0,0,121.0,29.0,29.0,50.0,Matches
Flabián Londoño,co COL,"FW,MF",22.0,12.8,5,1,1,24,15,12,2,3,9,0.0,0.0,0,34.0,45.0,49.0,47.9,Matches
Gonzalo Muscia,ar ARG,MF,23.0,12.7,3,0,0,20,8,0,6,17,22,0.0,0.0,0,84.0,8.0,12.0,40.0,Matches
Tiago Banega,ar ARG,MF,23.0,10.9,2,0,0,18,9,0,5,11,24,0.0,1.0,0,73.0,10.0,20.0,33.3,Matches
Lucas Brochero,ar ARG,"FW,MF",24.0,10.3,0,0,0,12,14,2,68,7,8,1.0,0.0,0,69.0,7.0,20.0,25.9,Matches
Facundo Pons,ar ARG,FW,27.0,10.1,7,0,0,35,11,4,10,1,5,0.0,1.0,0,39.0,36.0,48.0,42.9,Matches
Braian Rivero,ar ARG,MF,26.0,9.6,0,0,0,8,8,0,7,13,10,0.0,0.0,0,90.0,6.0,11.0,35.3,Matches
Luís Leal,st STP,FW,35.0,9.6,0,0,0,6,7,8,13,0,1,0.0,0.0,0,18.0,17.0,44.0,27.9,Matches
Ignacio Gariglio,ar ARG,DF,24.0,8.2,5,0,0,12,2,0,2,13,10,0.0,0.0,0,38.0,15.0,16.0,48.4,Matches
Facundo Cardozo,ar ARG,DF,27.0,7.1,2,0,0,9,7,0,5,7,9,0.0,0.0,0,49.0,22.0,10.0,68.8,Matches
Franco Vega,ar ARG,"MF,FW",21.0,4.2,0,0,0,8,15,0,4,1,4,0.0,0.0,0,36.0,2.0,3.0,40.0,Matches
Juan Cuesta,co COL,"MF,FW",20.0,3.8,0,0,0,6,9,2,15,3,3,0.0,0.0,0,21.0,5.0,1.0,83.3,Matches
Santiago Paiva,uy URU,"FW,MF",24.0,2.7,1,0,0,8,7,2,1,1,3,1.0,0.0,0,2.0,4.0,11.0,26.7,Matches
Daniel Lucero,ar ARG,"FW,MF",20.0,2.5,3,0,0,5,5,0,7,0,3,0.0,0.0,0,21.0,0.0,5.0,0.0,Matches
Leonardo Marchi,ar ARG,DF,26.0,1.6,0,0,0,2,0,0,10,1,1,0.0,0.0,0,7.0,0.0,2.0,0.0,Matches
Tomás Sives,ar ARG,FW,20.0,1.2,1,0,0,1,0,0,2,1,3,,,0,,,,,Matches
Juan Peinipil,ar ARG,"FW,MF",21.0,1.1,0,0,0,3,1,1,0,0,1,0.0,0.0,0,7.0,4.0,10.0,28.6,Matches
Tobías Zarate,ar ARG,"MF,FW",22.0,0.6,0,0,0,1,1,0,1,0,0,0.0,0.0,0,5.0,1.0,1.0,50.0,Matches
Emiliano Viveros,ar ARG,MF,20.0,0.2,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,1.0,0.0,100.0,Matches
Squad Total,,,25.4,27.0,68,3,1,344,261,46,486,254,308,2.0,3.0,1,1657.0,439.0,464.0,48.6,
Opponent Total,,,27.2,27.0,47,2,0,279,330,32,585,249,312,4.0,3.0,2,1678.0,436.0,415.0,51.2,
