Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Alejandro Medina,ar ARG,GK,35.0,27,2430.0,90.0,100.0,27.0,27,90.0,27,0,,0,0.81,18.0,34.0,-16.0,-0.59,,,,,,,Matches
Adrián Sporle,ar ARG,DF,27.0,25,2056.0,82.0,84.6,22.8,24,84.0,19,1,33.0,0,0.88,17.0,26.0,-9.0,-0.39,1.29,20.3,29.5,-9.2,-0.4,0.18,Matches
Felipe Peña,ar ARG,MF,21.0,25,1912.0,76.0,78.7,21.2,22,83.0,12,3,32.0,0,0.72,14.0,29.0,-15.0,-0.71,-0.53,17.2,28.2,-11.1,-0.52,-0.42,Matches
Lautaro Guzmán,ar ARG,"FW,MF",23.0,27,1874.0,69.0,77.1,20.8,22,81.0,10,5,20.0,0,0.81,15.0,26.0,-11.0,-0.53,0.28,17.4,27.4,-10.1,-0.48,-0.24,Matches
Lucas Souto,ar ARG,DF,24.0,22,1862.0,85.0,76.6,20.7,21,88.0,18,1,13.0,0,0.73,12.0,25.0,-13.0,-0.63,-0.15,16.0,24.5,-8.5,-0.41,0.08,Matches
Joaquín Pombo,ar ARG,DF,21.0,20,1705.0,85.0,70.2,18.9,20,85.0,18,0,,3,1.05,15.0,18.0,-3.0,-0.16,1.46,17.8,22.9,-5.1,-0.27,0.54,Matches
Maximiliano Centurión,ar ARG,DF,23.0,22,1763.0,80.0,72.6,19.6,18,88.0,17,4,47.0,2,0.82,15.0,26.0,-11.0,-0.56,0.11,18.5,24.9,-6.4,-0.33,0.39,Matches
Santiago Toloza,ar ARG,"MF,FW",20.0,23,1649.0,72.0,67.9,18.3,18,82.0,6,5,34.0,0,0.83,11.0,19.0,-8.0,-0.44,0.49,15.0,19.7,-4.7,-0.26,0.54,Matches
Néstor Breitenbruch,ar ARG,DF,27.0,19,1521.0,80.0,62.6,16.9,16,89.0,14,3,33.0,8,0.89,10.0,18.0,-8.0,-0.47,0.32,15.8,20.3,-4.4,-0.26,0.45,Matches
Flabián Londoño,co COL,"FW,MF",22.0,22,1151.0,52.0,47.4,12.8,15,67.0,3,7,20.0,2,0.82,5.0,13.0,-8.0,-0.63,-0.06,10.5,13.2,-2.7,-0.21,0.42,Matches
Gonzalo Muscia,ar ARG,MF,23.0,19,1146.0,60.0,47.2,12.7,13,78.0,7,6,22.0,8,1.0,8.0,17.0,-9.0,-0.71,-0.22,8.7,15.1,-6.5,-0.51,-0.14,Matches
Tiago Banega,ar ARG,MF,23.0,15,978.0,65.0,40.2,10.9,12,79.0,5,3,10.0,7,0.93,12.0,16.0,-4.0,-0.37,0.38,10.5,15.4,-4.9,-0.45,-0.03,Matches
Lucas Brochero,ar ARG,"FW,MF",24.0,20,931.0,47.0,38.3,10.3,12,67.0,1,8,17.0,7,0.9,10.0,13.0,-3.0,-0.29,0.49,8.9,12.0,-3.0,-0.29,0.22,Matches
Facundo Pons,ar ARG,FW,27.0,16,912.0,57.0,37.5,10.1,10,74.0,2,6,29.0,5,0.88,7.0,11.0,-4.0,-0.39,0.32,8.4,11.4,-3.0,-0.3,0.21,Matches
Braian Rivero,ar ARG,MF,26.0,16,861.0,54.0,35.4,9.6,10,75.0,4,6,18.0,7,1.13,4.0,9.0,-5.0,-0.52,0.11,8.2,12.7,-4.5,-0.47,-0.06,Matches
Luís Leal,st STP,FW,35.0,17,862.0,51.0,35.5,9.6,9,69.0,1,8,30.0,1,0.65,9.0,16.0,-7.0,-0.73,-0.21,8.9,13.5,-4.6,-0.48,-0.08,Matches
