Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Facundo Cambeses,ar ARG,GK,25.0,27.0,2,0.07,0,2,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Juan Bisanz,ar ARG,"MF,FW",21.0,22.5,30,2.01,13,6,4,3,4,0,1,0.07,0,0,0,0,1,0,Matches
Brahian Alemán,uy URU,MF,33.0,20.7,78,3.77,32,35,3,3,4,1,8,0.39,3,4,1,0,0,0,Matches
Alejandro Cabrera,ar ARG,MF,30.0,19.9,34,1.71,27,1,0,4,1,1,2,0.1,1,0,0,0,1,0,Matches
Alejandro Maciel,ar ARG,DF,25.0,20.6,18,0.88,17,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Emanuel Coronel,ar ARG,DF,25.0,19.7,37,1.87,26,5,2,1,2,1,3,0.15,2,0,0,0,1,0,Matches
Eric Remedi,ar ARG,MF,27.0,19.5,30,1.54,18,2,0,3,6,1,0,0.0,0,0,0,0,0,0,Matches
Emanuel Insúa,ar ARG,DF,31.0,18.8,34,1.81,18,7,3,2,2,2,0,0.0,0,0,0,0,0,0,Matches
Milton Giménez,ar ARG,FW,26.0,17.2,37,2.15,20,1,5,3,5,3,3,0.17,0,0,0,0,1,2,Matches
Aaron Quirós,ar ARG,DF,21.0,15.1,8,0.53,4,4,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches
Emanuel Olivera,ar ARG,DF,32.0,15.0,9,0.6,8,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolás Sosa,uy URU,"MF,FW",26.0,11.9,30,2.54,15,0,7,3,5,0,5,0.42,2,0,2,1,0,0,Matches
Andrés Chávez,ar ARG,FW,31.0,11.1,26,2.33,10,0,7,6,3,0,2,0.18,1,0,0,1,0,0,Matches
Sebastián Sosa,uy URU,FW,28.0,9.8,20,2.04,18,0,1,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Matías Romero,ar ARG,"DF,MF",26.0,10.6,16,1.51,11,2,1,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Ignacio Rodríguez,ar ARG,MF,20.0,8.0,18,2.25,10,3,4,0,1,0,2,0.25,1,0,0,0,1,0,Matches
Pedro Souto,ar ARG,DF,22.0,6.7,4,0.6,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Luis Mago,ve VEN,DF,28.0,5.2,6,1.16,3,2,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Mateo Pérez,ar ARG,DF,22.0,3.4,2,0.6,1,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Nicolás Bertolo,ar ARG,MF,37.0,2.0,5,2.46,2,0,0,0,3,0,0,0.0,0,0,0,0,0,0,Matches
Alan Di Pippa,ar ARG,MF,22.0,2.6,5,1.91,5,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Alejandro Piedrahita,co COL,"MF,FW",20.0,1.8,5,2.78,4,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Horacio Tijanovich,ar ARG,MF,26.0,1.5,4,2.67,4,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Agustín Urzi,ar ARG,MF,22.0,0.7,7,9.4,4,0,1,1,0,1,0,0.0,0,0,0,0,0,0,Matches
Lautaro Ríos,ar ARG,"MF,FW",22.0,1.7,7,4.12,3,1,0,2,0,1,0,0.0,0,0,0,0,0,0,Matches
Geronimo Rivera,ar ARG,"MF,FW",19.0,1.5,9,5.87,3,0,4,0,2,0,2,1.3,1,0,1,0,0,0,Matches
Matías González,ar ARG,MF,20.0,0.6,2,3.53,2,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Tomás Adoryán,ar ARG,MF,21.0,0.4,2,4.62,1,1,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Squad Total,,,27.1,27.0,485,17.96,283,72,42,36,38,14,29,1.07,12,4,4,2,5,2,
Opponent Total,,,27.3,27.0,531,19.67,373,53,31,30,34,10,53,1.96,35,6,4,3,4,1,
