Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Facundo Cambeses,ar ARG,GK,25.0,27.0,1,0,0,1,2,0,0,0,0,0,1,1,15,9,1,90.0,Matches
Juan Bisanz,ar ARG,"MF,FW",21.0,22.5,4,0,0,34,26,10,77,13,25,2,0,0,93,16,37,30.2,Matches
Brahian Alemán,uy URU,MF,33.0,20.7,7,0,0,11,56,0,205,18,22,0,1,0,124,28,22,56.0,Matches
Alejandro Cabrera,ar ARG,MF,30.0,19.9,7,2,2,32,24,0,9,42,53,0,1,0,198,44,30,59.5,Matches
Alejandro Maciel,ar ARG,DF,25.0,20.6,4,0,0,18,8,1,6,25,28,0,0,0,103,69,27,71.9,Matches
Emanuel Coronel,ar ARG,DF,25.0,19.7,4,1,0,22,18,1,61,29,37,0,0,0,143,34,22,60.7,Matches
Eric Remedi,ar ARG,MF,27.0,19.5,7,0,0,34,83,0,9,24,26,0,0,0,176,16,22,42.1,Matches
Emanuel Insúa,ar ARG,DF,31.0,18.8,7,1,0,31,25,3,48,27,42,0,0,0,162,31,19,62.0,Matches
Milton Giménez,ar ARG,FW,26.0,17.2,4,0,0,32,23,10,14,3,27,1,0,0,50,50,86,36.8,Matches
Aaron Quirós,ar ARG,DF,21.0,15.1,3,0,0,21,8,1,2,15,11,0,0,0,87,34,24,58.6,Matches
Emanuel Olivera,ar ARG,DF,32.0,15.0,5,0,0,16,2,1,2,15,19,0,0,0,76,34,24,58.6,Matches
Nicolás Sosa,uy URU,"MF,FW",26.0,11.9,2,0,0,13,17,3,9,6,16,0,0,0,54,51,61,45.5,Matches
Andrés Chávez,ar ARG,FW,31.0,11.1,4,0,0,11,13,9,17,0,3,0,0,0,20,55,51,51.9,Matches
Sebastián Sosa,uy URU,FW,28.0,9.8,1,1,0,8,6,2,3,6,5,0,0,0,35,55,52,51.4,Matches
Matías Romero,ar ARG,"DF,MF",26.0,10.6,0,0,0,6,10,2,27,13,11,0,0,0,74,15,15,50.0,Matches
Ignacio Rodríguez,ar ARG,MF,20.0,8.0,0,0,0,7,12,2,41,5,4,1,0,0,49,18,25,41.9,Matches
Pedro Souto,ar ARG,DF,22.0,6.7,1,0,0,5,3,0,11,14,11,0,0,0,50,10,3,76.9,Matches
Luis Mago,ve VEN,DF,28.0,5.2,2,1,1,6,0,1,8,8,9,0,0,0,29,7,3,70.0,Matches
Mateo Pérez,ar ARG,DF,22.0,3.4,2,0,0,3,0,1,0,3,3,0,0,0,14,4,5,44.4,Matches
Nicolás Bertolo,ar ARG,MF,37.0,2.0,2,0,0,2,11,2,2,0,2,0,0,0,9,3,5,37.5,Matches
Alan Di Pippa,ar ARG,MF,22.0,2.6,1,0,0,3,5,0,1,4,7,0,0,0,19,7,7,50.0,Matches
Alejandro Piedrahita,co COL,"MF,FW",20.0,1.8,0,0,0,1,0,0,9,1,0,0,0,0,16,1,2,33.3,Matches
Horacio Tijanovich,ar ARG,MF,26.0,1.5,1,0,0,2,5,1,10,0,0,0,0,0,8,2,8,20.0,Matches
Agustín Urzi,ar ARG,MF,22.0,0.7,0,0,0,0,3,0,2,2,1,0,0,0,6,0,1,0.0,Matches
Lautaro Ríos,ar ARG,"MF,FW",22.0,1.7,1,0,0,5,2,0,7,4,4,0,0,0,16,2,4,33.3,Matches
Geronimo Rivera,ar ARG,"MF,FW",19.0,1.5,3,0,0,7,10,1,3,0,1,0,0,0,7,5,4,55.6,Matches
Matías González,ar ARG,MF,20.0,0.6,0,0,0,0,2,0,4,0,2,0,0,0,5,0,3,0.0,Matches
Tomás Adoryán,ar ARG,MF,21.0,0.4,0,0,0,0,3,0,2,0,0,0,0,0,2,2,1,66.7,Matches
Squad Total,,,27.1,27.0,73,6,3,331,377,51,589,277,369,4,3,1,1640,602,564,51.6,
Opponent Total,,,27.3,27.0,74,5,4,396,305,27,500,230,303,3,6,3,1525,549,583,48.5,
