Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Iván Tapia,ar ARG,MF,24.0,26.8,1540.0,19.0,236.0,862.0,459.0,22.0,1537.0,24.0,5.0,20.8,16.0,66.7,741.0,2411.0,1016.0,7.0,17.0,2.0,31.0,22.0,937.0,69.0,Matches
Francisco Álvarez,ar ARG,DF,22.0,25.0,1282.0,163.0,731.0,511.0,55.0,30.0,1282.0,13.0,6.0,46.2,3.0,23.1,584.0,3557.0,2248.0,18.0,12.0,2.0,15.0,4.0,543.0,3.0,Matches
Andrés Desábato,ar ARG,GK,32.0,24.0,830.0,681.0,827.0,3.0,0.0,0.0,830.0,2.0,1.0,50.0,0.0,0.0,411.0,2467.0,1560.0,0.0,0.0,0.0,2.0,0.0,226.0,0.0,Matches
Bruno Sepúlveda,ar ARG,FW,30.0,21.9,768.0,37.0,59.0,313.0,402.0,73.0,767.0,45.0,15.0,33.3,27.0,60.0,437.0,1846.0,588.0,15.0,12.0,8.0,88.0,42.0,569.0,155.0,Matches
Facundo Mater,ar ARG,"MF,DF",24.0,20.9,1031.0,43.0,257.0,500.0,294.0,34.0,1031.0,87.0,45.0,51.7,35.0,40.2,500.0,2694.0,1347.0,37.0,36.0,7.0,46.0,39.0,554.0,72.0,Matches
Mauro Peinipil,ar ARG,"DF,MF",23.0,19.9,1044.0,57.0,270.0,531.0,257.0,20.0,1044.0,27.0,13.0,48.1,13.0,48.1,445.0,2451.0,1313.0,38.0,30.0,3.0,19.0,6.0,505.0,76.0,Matches
Juan Ignacio Díaz,ar ARG,DF,24.0,19.4,1164.0,88.0,499.0,548.0,131.0,11.0,1164.0,25.0,14.0,56.0,9.0,36.0,494.0,2340.0,1406.0,16.0,11.0,2.0,14.0,17.0,503.0,19.0,Matches
Carlos Arce,ar ARG,MF,32.0,16.5,881.0,63.0,232.0,569.0,88.0,12.0,881.0,9.0,3.0,33.3,6.0,66.7,346.0,1145.0,562.0,2.0,5.0,0.0,10.0,10.0,396.0,8.0,Matches
Brian Calderara,ar ARG,"DF,MF",24.0,15.9,,,,,,,,,,,,,,,,,,,,,,,Matches
Nicolás Capraro,ar ARG,DF,24.0,16.8,884.0,75.0,442.0,409.0,40.0,9.0,884.0,21.0,12.0,57.1,7.0,33.3,378.0,1742.0,1030.0,10.0,4.0,0.0,22.0,5.0,388.0,6.0,Matches
Rodrigo Insúa,ar ARG,DF,25.0,15.6,877.0,53.0,221.0,408.0,262.0,18.0,877.0,53.0,24.0,45.3,21.0,39.6,397.0,2288.0,1229.0,39.0,29.0,7.0,26.0,10.0,404.0,60.0,Matches
Rodrigo Herrera,ar ARG,MF,22.0,12.8,706.0,29.0,186.0,460.0,68.0,6.0,706.0,16.0,7.0,43.8,6.0,37.5,304.0,1341.0,592.0,9.0,7.0,0.0,22.0,13.0,364.0,5.0,Matches
Lucas Colitto,ar ARG,MF,28.0,9.0,443.0,6.0,55.0,201.0,194.0,28.0,443.0,31.0,13.0,41.9,14.0,45.2,288.0,1589.0,715.0,22.0,10.0,6.0,26.0,12.0,310.0,92.0,Matches
Alexis Dominguez,ar ARG,FW,26.0,8.4,295.0,13.0,22.0,139.0,141.0,26.0,295.0,21.0,9.0,42.9,10.0,47.6,162.0,554.0,184.0,5.0,3.0,2.0,38.0,16.0,223.0,43.0,Matches
Ricardo Centurión,ar ARG,"FW,MF",30.0,6.2,308.0,0.0,22.0,178.0,111.0,18.0,308.0,25.0,12.0,48.0,10.0,40.0,212.0,1212.0,547.0,21.0,8.0,4.0,21.0,16.0,253.0,25.0,Matches
Fernando Prado,uy URU,DF,21.0,4.6,223.0,24.0,110.0,105.0,10.0,0.0,223.0,1.0,1.0,100.0,0.0,0.0,97.0,822.0,625.0,8.0,1.0,0.0,4.0,0.0,115.0,3.0,Matches
