Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Sergio Romero,ar ARG,GK,35.0,23.0,1,1,1,0,0,1,2,50.0,1,0,0,0,2,3,6,0,Matches
Jorge Figal,ar ARG,DF,28.0,22.1,35,27,26,8,1,20,29,69.0,9,29,18,11,15,50,63,2,Matches
Guillermo Matías Fernández,ar ARG,MF,31.0,19.5,42,26,18,21,3,21,53,39.6,32,27,8,19,20,62,18,1,Matches
Alan Varela,ar ARG,MF,21.0,19.0,47,21,19,28,0,23,48,47.9,25,34,13,21,28,75,21,0,Matches
Luis Advíncula,pe PER,"DF,FW",32.0,16.0,35,20,17,17,1,21,27,77.8,6,20,4,16,6,41,16,0,Matches
Bruno Valdez,py PAR,DF,30.0,14.8,22,14,11,10,1,12,17,70.6,5,21,11,10,24,46,52,0,Matches
Frank Fabra,co COL,DF,31.0,15.5,28,21,17,7,4,15,27,55.6,12,13,5,8,21,49,27,0,Matches
Sebastián Villa,co COL,"FW,MF",26.0,14.9,15,11,4,9,2,7,16,43.8,9,11,0,11,8,23,3,0,Matches
Marcelo Weigandt,ar ARG,DF,23.0,13.5,24,17,15,7,2,16,28,57.1,12,21,3,18,11,35,35,1,Matches
Cristian Medina,ar ARG,"MF,FW",20.0,14.7,33,19,12,15,6,18,37,48.6,19,14,1,13,5,38,9,0,Matches
Miguel Merentiel,uy URU,FW,26.0,13.7,7,6,0,4,3,2,7,28.6,5,6,0,6,1,8,6,1,Matches
Óscar Romero,py PAR,"MF,FW",30.0,11.9,18,13,3,12,3,10,28,35.7,18,9,0,9,7,25,4,0,Matches
Darío Benedetto,ar ARG,FW,32.0,9.9,3,0,0,2,1,1,7,14.3,6,6,1,5,1,4,4,0,Matches
Nicolás Valentini,ar ARG,DF,21.0,11.2,16,11,8,8,0,12,16,75.0,4,8,5,3,9,25,53,0,Matches
Valentín Barco,ar ARG,"DF,FW",18.0,9.2,19,15,9,8,2,7,17,41.2,10,7,1,6,8,27,9,1,Matches
Ignacio Fernández,ar ARG,MF,20.0,10.8,36,23,10,23,3,14,29,48.3,15,25,2,23,18,54,3,1,Matches
Facundo Roncaglia,ar ARG,DF,35.0,10.8,23,14,15,8,0,14,20,70.0,6,15,9,6,17,40,36,1,Matches
Luca Langoni,ar ARG,"FW,MF",20.0,7.9,8,4,3,5,0,4,11,36.4,7,3,0,3,2,10,1,0,Matches
Juan Ramírez,ar ARG,"MF,FW",29.0,6.2,16,9,5,7,4,5,11,45.5,6,10,0,10,4,20,1,0,Matches
Martín Payero,ar ARG,MF,24.0,5.6,14,11,2,11,1,5,11,45.5,6,7,0,7,1,15,3,0,Matches
Felicia Karlsson,ar ARG,DF,29.0,5.1,8,8,5,3,0,5,10,50.0,5,5,0,5,4,12,11,2,Matches
Luis Vázquez,ar ARG,FW,22.0,4.8,5,4,1,4,0,1,6,16.7,5,2,1,1,0,5,3,0,Matches
Javier Hernán García,ar ARG,GK,36.0,4.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Nicolás Orsini,ar ARG,FW,28.0,2.3,1,1,0,0,1,0,0,,0,4,1,3,1,2,1,0,Matches
Norberto Briasco,am ARM,"FW,MF",26.0,3.8,6,5,0,5,1,0,5,0.0,5,6,0,6,0,6,0,0,Matches
Esteban Rolón,ar ARG,MF,27.0,1.6,11,3,5,5,1,8,10,80.0,2,4,0,4,0,11,2,0,Matches
Nahuel Génez,ar ARG,DF,19.0,1.0,1,1,1,0,0,1,2,50.0,1,1,0,1,0,1,1,0,Matches
Exequiel Zeballos,ar ARG,"MF,FW",20.0,1.2,3,1,0,2,1,0,0,,0,4,0,4,0,3,0,0,Matches
Aaron Anselmino,ar ARG,DF,17.0,0.5,2,1,1,1,0,2,2,100.0,0,0,0,0,1,3,2,0,Matches
Diego González,ar ARG,MF,34.0,0.4,0,0,0,0,0,0,1,0.0,1,2,1,1,2,2,0,0,Matches
Brandon Cortés,cl CHI,FW,21.0,0.2,0,0,0,0,0,0,1,0.0,1,2,0,2,1,1,0,0,Matches
Javier Morales,ar ARG,FW,19.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,27.8,27.0,479,307,208,230,41,245,478,51.3,233,316,84,232,217,696,390,10,
Opponent Total,,,27.2,27.0,565,378,243,252,70,282,637,44.3,355,315,71,244,263,828,473,4,
