Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Sergio Romero,ar ARG,GK,35.0,23.0,1,0,0,1,2,0,0,2,1,0,1,0,18,4,1,80.0,Matches
Jorge Figal,ar ARG,DF,28.0,22.1,7,1,1,24,25,0,5,15,27,0,0,0,131,47,31,60.3,Matches
Guillermo Matías Fernández,ar ARG,MF,31.0,19.5,10,0,0,31,13,0,20,20,26,0,0,1,169,10,13,43.5,Matches
Alan Varela,ar ARG,MF,21.0,19.0,10,0,0,26,14,0,4,28,21,0,0,0,136,11,15,42.3,Matches
Luis Advíncula,pe PER,"DF,FW",32.0,16.0,3,0,0,20,18,2,38,6,20,0,0,0,78,7,8,46.7,Matches
Bruno Valdez,py PAR,DF,30.0,14.8,5,0,0,19,7,0,1,24,14,0,1,0,79,49,23,68.1,Matches
Frank Fabra,co COL,DF,31.0,15.5,4,0,0,10,15,1,44,21,21,0,0,0,104,20,16,55.6,Matches
Sebastián Villa,co COL,"FW,MF",26.0,14.9,1,1,0,9,41,7,113,8,11,0,0,0,74,6,16,27.3,Matches
Marcelo Weigandt,ar ARG,DF,23.0,13.5,2,1,0,23,11,1,32,11,17,0,1,0,74,26,16,61.9,Matches
Cristian Medina,ar ARG,"MF,FW",20.0,14.7,4,0,0,13,28,3,14,5,19,0,0,0,95,5,7,41.7,Matches
Miguel Merentiel,uy URU,FW,26.0,13.7,3,1,0,8,16,2,5,1,6,0,0,0,33,10,35,22.2,Matches
Óscar Romero,py PAR,"MF,FW",30.0,11.9,2,0,0,10,44,0,68,7,13,0,0,0,77,7,13,35.0,Matches
Darío Benedetto,ar ARG,FW,32.0,9.9,2,0,0,14,11,4,11,1,0,0,1,0,20,10,22,31.3,Matches
Nicolás Valentini,ar ARG,DF,21.0,11.2,4,1,0,13,8,0,4,9,11,0,0,0,55,39,23,62.9,Matches
Valentín Barco,ar ARG,"DF,FW",18.0,9.2,3,0,0,10,27,1,48,8,15,0,0,0,50,1,11,8.3,Matches
Ignacio Fernández,ar ARG,MF,20.0,10.8,4,2,0,15,41,0,1,18,23,0,1,1,87,6,5,54.5,Matches
Facundo Roncaglia,ar ARG,DF,35.0,10.8,3,0,0,14,4,0,4,17,14,0,0,0,77,29,13,69.0,Matches
Luca Langoni,ar ARG,"FW,MF",20.0,7.9,0,0,0,4,14,2,18,2,4,0,0,0,19,2,5,28.6,Matches
Juan Ramírez,ar ARG,"MF,FW",29.0,6.2,1,0,0,7,26,0,10,4,9,0,0,0,44,6,5,54.5,Matches
Martín Payero,ar ARG,MF,24.0,5.6,2,1,0,12,11,2,13,1,11,0,0,0,28,7,4,63.6,Matches
Felicia Karlsson,ar ARG,DF,29.0,5.1,2,0,0,11,4,0,23,4,8,0,1,0,27,4,6,40.0,Matches
Luis Vázquez,ar ARG,FW,22.0,4.8,0,0,0,7,4,2,4,0,4,0,0,0,14,14,8,63.6,Matches
Javier Hernán García,ar ARG,GK,36.0,4.0,0,0,0,0,1,0,0,0,0,0,0,0,3,3,0,100.0,Matches
Nicolás Orsini,ar ARG,FW,28.0,2.3,0,0,0,1,3,0,2,1,1,0,0,0,6,8,7,53.3,Matches
Norberto Briasco,am ARM,"FW,MF",26.0,3.8,0,0,0,11,12,2,14,0,5,0,0,0,16,3,14,17.6,Matches
Esteban Rolón,ar ARG,MF,27.0,1.6,0,1,0,6,1,0,0,0,3,0,0,0,15,5,2,71.4,Matches
Nahuel Génez,ar ARG,DF,19.0,1.0,0,0,0,0,0,0,5,0,1,0,0,0,1,0,3,0.0,Matches
Exequiel Zeballos,ar ARG,"MF,FW",20.0,1.2,0,0,0,1,5,0,10,0,1,0,0,0,5,0,2,0.0,Matches
Aaron Anselmino,ar ARG,DF,17.0,0.5,0,0,0,0,0,0,0,1,1,0,0,0,7,1,2,33.3,Matches
Diego González,ar ARG,MF,34.0,0.4,0,0,0,1,0,0,0,2,0,0,0,0,9,0,0,,Matches
Brandon Cortés,cl CHI,FW,21.0,0.2,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,,Matches
Javier Morales,ar ARG,FW,19.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0.0,Matches
Squad Total,,,27.8,27.0,73,9,1,321,406,29,512,217,307,0,6,2,1554,340,328,50.9,
Opponent Total,,,27.2,27.0,80,5,0,428,303,44,401,263,378,1,0,1,1495,311,322,49.1,
