Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Sergio Romero,ar ARG,GK,35.0,23.0,622,393,229,66,0,0,0,0,0,0,0,0,465,0,1,Matches
Jorge Figal,ar ARG,DF,28.0,22.1,1235,1136,96,60,0,13,5,32,0,0,0,0,1013,3,16,Matches
Guillermo Matías Fernández,ar ARG,MF,31.0,19.5,1129,1071,56,32,2,13,20,10,12,1,8,0,948,2,26,Matches
Alan Varela,ar ARG,MF,21.0,19.0,1155,1110,43,42,1,8,4,1,0,0,0,0,1022,2,18,Matches
Luis Advíncula,pe PER,"DF,FW",32.0,16.0,819,690,128,8,1,6,38,118,2,0,2,0,669,1,20,Matches
Bruno Valdez,py PAR,DF,30.0,14.8,924,867,56,43,0,5,1,7,0,0,0,0,797,1,7,Matches
Frank Fabra,co COL,DF,31.0,15.5,990,841,149,9,2,5,44,140,0,0,0,0,812,0,15,Matches
Sebastián Villa,co COL,"FW,MF",26.0,14.9,620,544,75,26,4,11,113,7,42,16,19,0,418,1,32,Matches
Marcelo Weigandt,ar ARG,DF,23.0,13.5,757,648,105,2,1,3,32,103,0,0,0,0,579,4,20,Matches
Cristian Medina,ar ARG,"MF,FW",20.0,14.7,739,718,20,13,1,3,14,4,3,1,1,0,644,1,16,Matches
Miguel Merentiel,uy URU,FW,26.0,13.7,265,250,15,1,3,0,5,1,0,0,0,0,200,0,6,Matches
Óscar Romero,py PAR,"MF,FW",30.0,11.9,816,735,78,33,4,16,68,8,36,15,17,0,636,3,27,Matches
Darío Benedetto,ar ARG,FW,32.0,9.9,176,154,21,0,1,3,11,0,0,0,0,0,116,1,5,Matches
Nicolás Valentini,ar ARG,DF,21.0,11.2,689,649,38,28,0,10,4,10,0,0,0,0,557,2,11,Matches
Valentín Barco,ar ARG,"DF,FW",18.0,9.2,463,393,68,11,2,4,48,51,6,0,6,0,348,2,14,Matches
Ignacio Fernández,ar ARG,MF,20.0,10.8,802,771,30,23,7,6,1,6,1,0,0,0,694,1,13,Matches
Facundo Roncaglia,ar ARG,DF,35.0,10.8,560,528,30,13,0,5,4,17,0,0,0,0,455,2,4,Matches
Luca Langoni,ar ARG,"FW,MF",20.0,7.9,173,160,12,2,0,2,18,4,5,0,3,0,131,1,7,Matches
Juan Ramírez,ar ARG,"MF,FW",29.0,6.2,289,274,15,8,0,0,10,6,1,0,1,0,244,0,5,Matches
Martín Payero,ar ARG,MF,24.0,5.6,234,220,14,5,0,3,13,2,6,1,4,0,174,0,7,Matches
Felicia Karlsson,ar ARG,DF,29.0,5.1,301,237,64,1,1,0,23,63,0,0,0,0,234,0,12,Matches
Luis Vázquez,ar ARG,FW,22.0,4.8,108,98,9,0,0,0,4,1,0,0,0,0,71,1,8,Matches
Javier Hernán García,ar ARG,GK,36.0,4.0,111,77,34,11,0,0,0,0,0,0,0,0,78,0,0,Matches
Nicolás Orsini,ar ARG,FW,28.0,2.3,45,41,3,0,0,0,2,0,0,0,0,0,33,1,1,Matches
Norberto Briasco,am ARM,"FW,MF",26.0,3.8,127,121,6,1,0,0,14,3,2,0,1,0,97,0,4,Matches
Esteban Rolón,ar ARG,MF,27.0,1.6,112,108,4,4,0,0,0,0,0,0,0,0,99,0,1,Matches
Nahuel Génez,ar ARG,DF,19.0,1.0,61,55,6,0,0,0,5,6,0,0,0,0,49,0,0,Matches
Exequiel Zeballos,ar ARG,"MF,FW",20.0,1.2,29,23,6,2,0,1,10,0,4,1,2,0,20,0,1,Matches
Aaron Anselmino,ar ARG,DF,17.0,0.5,40,39,1,0,0,0,0,1,0,0,0,0,39,0,0,Matches
Diego González,ar ARG,MF,34.0,0.4,39,39,0,0,0,0,0,0,0,0,0,0,32,0,1,Matches
Brandon Cortés,cl CHI,FW,21.0,0.2,21,21,0,0,0,2,1,0,0,0,0,0,15,0,2,Matches
Javier Morales,ar ARG,FW,19.0,0.1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches
Squad Total,,,27.8,27.0,14452,13012,1411,444,30,119,512,601,120,35,64,0,11690,29,300,
Opponent Total,,,27.2,27.0,9448,8211,1194,308,11,56,401,519,99,37,51,3,6828,43,245,
