Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-01-27,21:30,Primera Div,Matchweek 1,Fri,Away,W,4,2,Defensa y Just,1.6,0.8,38,,Lucas Merolla,4-2-3-1,Sebastían Zunino,Match Report,
2023-02-06,21:30,Primera Div,Matchweek 2,Mon,Home,W,3,2,Banfield,1.3,0.8,38,,Santiago Hezze,4-4-2,Pablo Echavarría,Match Report,
2023-02-12,21:30,Primera Div,Matchweek 3,Sun,Away,D,0,0,Instituto Atlético Central Córdoba,0.7,0.4,53,,Santiago Hezze,4-4-2,Luis Lobo Medina,Match Report,
2023-02-17,21:30,Primera Div,Matchweek 4,Fri,Home,W,2,0,Barracas Central,1.1,0.5,42,,Santiago Hezze,4-4-2,Andrés Merlos,Match Report,
2023-02-22,21:00,Libertadores,Second qualifying stage,Wed,Away,D,0,0,uy Boston River,0.9,0.5,52,,Santiago Hezze,4-4-2,Wilmar Roldán,Match Report,Leg 1 of 2
2023-02-26,17:00,Primera Div,Matchweek 5,Sun,Away,D,1,1,Colón,1.7,1.1,44,,Fernando Godoy,4-4-2,Nazareno Arasa,Match Report,
2023-03-01,19:00,Libertadores,Second qualifying stage,Wed,Home,W,1,0,uy Boston River,2.6,0.6,50,,Santiago Hezze,4-4-2,Wilton Sampaio,Match Report,Leg 2 of 2; CA Huracán won
2023-03-05,19:15,Primera Div,Matchweek 6,Sun,Home,D,1,1,San Lorenzo,1.2,0.4,59,,Santiago Hezze,4-4-2,Facundo Tello,Match Report,
2023-03-09,21:00,Libertadores,Third qualifying stage,Thu,Home,D,0,0,pe Sporting Cristal,1.2,0.5,59,,Santiago Hezze,4-4-2,Andrés Matonte,Match Report,Leg 1 of 2
2023-03-12,19:15,Primera Div,Matchweek 7,Sun,Away,L,1,2,Estudiantes,1.1,2.0,48,,Fernando Godoy,4-4-2,Leandro Rey Hilfer,Match Report,
2023-03-16,19:00,Libertadores,Third qualifying stage,Thu,Away,L,0,1,pe Sporting Cristal,1.0,0.7,40,,Santiago Hezze,4-4-2,Raphael Claus,Match Report,Leg 2 of 2; Sporting Cristal won
2023-03-20,21:00,Primera Div,Matchweek 8,Mon,Home,L,0,2,Rosario Cent,0.4,1.0,72,,Santiago Hezze,4-4-2,Yael Falcón,Match Report,
2023-04-01,19:30,Primera Div,Matchweek 9,Sat,Away,L,1,2,Racing Club,0.5,1.1,39,,Santiago Hezze,4-4-2,Darío Herrera,Match Report,
2023-04-06,19:00,Sudamericana,Group stage,Thu,Home,W,4,1,py Guaraní,,,50,,Santiago Hezze,4-2-3-1,Kevin Ortega,Match Report,
2023-04-09,19:00,Primera Div,Matchweek 10,Sun,Home,L,0,3,River Plate,0.5,3.2,38,,Santiago Hezze,4-2-3-1,Facundo Tello,Match Report,
2023-04-12,19:00,Primera Div,Matchweek 11,Wed,Away,L,0,2,Club Atlético Belgrano,0.1,0.7,46,,Federico Fattori,4-4-2,Luis Lobo Medina,Match Report,
2023-04-15,21:30,Primera Div,Matchweek 12,Sat,Home,D,0,0,Argentinos Jun,0.6,0.4,48,,Santiago Hezze,4-2-3-1,Leandro Rey Hilfer,Match Report,
2023-04-20,21:00,Sudamericana,Group stage,Thu,Away,L,0,1,ec CS Emelec,,,54,,Santiago Hezze,4-2-3-1,Bruno Arleu de Araujo,Match Report,
2023-04-25,19:30,Primera Div,Matchweek 13,Tue,Away,L,0,1,Tigre,1.0,1.3,49,,Santiago Hezze,4-2-3-1,Fernando Echenique,Match Report,
2023-04-28,19:00,Primera Div,Matchweek 14,Fri,Home,W,2,1,Arsenal,0.9,1.4,43,,Santiago Hezze,4-2-3-1,Carlos Gareano,Match Report,
2023-05-02,19:00,Sudamericana,Group stage,Tue,Home,D,1,1,uy Danubio,,,51,,Santiago Hezze,4-2-3-1,Braulio da Silva Machado,Match Report,
2023-05-06,15:30,Primera Div,Matchweek 15,Sat,Away,L,0,1,Lanús,0.6,0.8,53,,Santiago Hezze,4-2-3-1,Fernando Rapallini,Match Report,
2023-05-12,20:00,Primera Div,Matchweek 16,Fri,Home,D,0,0,Godoy Cruz,0.4,0.7,50,,Fernando Tobio,4-2-3-1,Nicolás Lamolina,Match Report,
2023-05-21,18:00,Primera Div,Matchweek 17,Sun,Away,D,0,0,Sarmiento,1.5,1.2,72,,Lucas Chávez,4-2-3-1,Facundo Tello,Match Report,
2023-05-25,21:00,Sudamericana,Group stage,Thu,Home,D,2,2,ec CS Emelec,,,52,,Fernando Tobio,4-2-3-1,Andrés Rojas,Match Report,
2023-05-29,19:00,Primera Div,Matchweek 18,Mon,Home,L,0,1,CA Unión,1.6,0.7,69,,Lucas Chávez,4-2-3-1,Leandro Rey Hilfer,Match Report,
2023-06-03,19:00,Primera Div,Matchweek 19,Sat,Away,L,0,2,CC Córdoba,0.6,1.4,63,,Lucas Chávez,4-4-2,Pablo Echavarría,Match Report,
2023-06-08,19:00,Sudamericana,Group stage,Thu,Away,L,0,1,uy Danubio,,,53,,Lucas Chávez,5-3-2,Carlos Ortega,Match Report,
2023-06-13,20:30,Primera Div,Matchweek 20,Tue,Away,L,0,1,Gimnasia ELP,0.5,0.6,54,,Lucas Chávez,5-3-2,Nicolás Ramírez,Match Report,
2023-06-23,19:00,Primera Div,Matchweek 21,Fri,Home,D,1,1,Newell's OB,2.3,0.8,51,,Lucas Chávez,5-3-2,Luis Lobo Medina,Match Report,
2023-06-28,20:00,Sudamericana,Group stage,Wed,Away,L,0,2,py Guaraní,,,54,1360.0,Fernando Tobio,4-3-3,Bruno Arleu de Araujo,Match Report,
2023-07-02,15:00,Primera Div,Matchweek 22,Sun,Away,L,0,1,Independiente,0.3,0.3,58,,Fernando Tobio,4-4-2,Fernando Rapallini,Match Report,
2023-07-06,21:30,Primera Div,Matchweek 23,Thu,Home,L,0,1,Tucumán,1.7,0.1,61,,Fernando Tobio,4-1-3-2,Jorge Baliño,Match Report,
2023-07-10,19:30,Primera Div,Matchweek 24,Mon,Away,L,0,1,Boca Juniors,0.4,1.5,39,,Fernando Tobio,4-4-2,Nicolás Ramírez,Match Report,
2023-07-14,21:30,Primera Div,Matchweek 25,Fri,Home,L,0,1,Talleres,0.3,1.5,47,,Fernando Tobio,4-3-3,Fernando Echenique,Match Report,
2023-07-22,20:30,Primera Div,Matchweek 26,Sat,Away,W,1,0,Platense,1.3,0.2,55,,Fernando Tobio,4-1-3-2,Andrés Merlos,Match Report,
2023-07-30,17:30,Primera Div,Matchweek 27,Sun,Home,W,1,0,Vélez Sarsfield,1.1,0.1,48,,Fernando Tobio,4-1-3-2,Yael Falcón,Match Report,
2023-08-21,18:00,Copa de la Liga Profesional,Group stage,Mon,Home,W,2,0,Banfield,2.0,0.1,66,,Fernando Tobio,4-1-3-2,Ariel Penel,Match Report,
2023-08-26,19:00,Copa de la Liga Profesional,Group stage,Sat,Away,L,1,2,Talleres,0.8,1.3,40,,Fernando Tobio,3-5-2,Nazareno Arasa,Match Report,
2023-09-02,19:00,Copa de la Liga Profesional,Group stage,Sat,Home,W,2,1,Colón,1.2,0.3,49,,Fernando Tobio,4-1-2-1-2◆,Fernando Rapallini,Match Report,
2023-09-14,21:00,Copa de la Liga Profesional,Group stage,Thu,Away,L,0,1,Independiente,0.3,1.3,55,,Lucas Carrizo,4-4-2,Facundo Tello,Match Report,
2023-09-19,21:00,Copa de la Liga Profesional,Group stage,Tue,Home,W,2,0,Gimnasia ELP,2.3,1.1,55,,Federico Fattori,4-4-2,Darío Herrera,Match Report,
2023-09-23,21:00,Copa de la Liga Profesional,Group stage,Sat,Home,W,3,0,Vélez Sarsfield,1.4,0.2,40,,Lucas Chávez,4-4-2,Nicolás Lamolina,Match Report,
2023-09-30,16:00,Copa de la Liga Profesional,Group stage,Sat,Away,D,1,1,San Lorenzo,0.5,1.6,50,,Lucas Chávez,4-4-2,Pablo Echavarría,Match Report,
2023-10-06,20:30,Copa de la Liga Profesional,Group stage,Fri,Away,L,0,1,Rosario Cent,0.3,0.5,58,,Lucas Chávez,4-4-2,Fernando Rapallini,Match Report,
2023-10-20,19:00,Copa de la Liga Profesional,Group stage,Fri,Home,L,1,3,Instituto Atlético Central Córdoba,1.4,1.6,66,,Andrés Roa,4-3-1-2,Fernando Echenique,Match Report,
