Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Lucas Chávez,ar ARG,GK,27.0,25.0,600,868,69.1,19054,14861,75,76,98.7,279,283,98.6,245,505,48.5,0,0.0,0.1,0.0,2,30,1,0,1,Matches
Santiago Hezze,ar ARG,MF,21.0,23.6,893,1184,75.4,17346,5296,326,412,79.1,423,504,83.9,123,205,60.0,0,0.9,0.9,-0.9,16,107,12,1,161,Matches
Guillermo Benítez,ar ARG,DF,29.0,21.9,603,899,67.1,9802,4829,321,392,81.9,214,331,64.7,52,117,44.4,1,1.5,2.3,-0.5,14,51,16,9,73,Matches
Matías Cóccaro,uy URU,FW,25.0,18.2,219,351,62.4,3219,652,119,168,70.8,71,114,62.3,15,27,55.6,1,1.6,1.3,-0.6,17,16,13,4,36,Matches
Fernando Tobio,ar ARG,DF,33.0,18.6,575,781,73.6,12440,4777,175,215,81.4,283,327,86.5,111,206,53.9,0,0.4,0.7,-0.4,5,47,1,0,40,Matches
Guillermo Soto,cl CHI,DF,29.0,18.4,581,850,68.4,9615,4435,286,328,87.2,246,353,69.7,38,112,33.9,0,1.2,1.5,-1.2,18,47,23,18,57,Matches
Federico Fattori,ar ARG,MF,30.0,18.3,999,1148,87.0,20229,6015,327,364,89.8,484,535,90.5,173,212,81.6,1,0.5,0.6,0.5,11,115,12,2,154,Matches
Juan Gauto,ar ARG,"MF,FW",18.0,18.4,422,642,65.7,7022,2029,226,275,82.2,134,207,64.7,51,102,50.0,4,2.4,3.0,1.6,31,29,30,13,63,Matches
Joaquín Ariel Novillo,ar ARG,DF,24.0,16.7,595,764,77.9,11822,4504,216,247,87.4,298,347,85.9,77,150,51.3,0,0.0,0.1,0.0,1,34,1,0,44,Matches
Nicolás Cordero,ar ARG,FW,23.0,13.2,150,252,59.5,2206,534,87,134,64.9,51,83,61.4,7,11,63.6,0,0.7,0.8,-0.7,8,15,6,0,23,Matches
Walter Mazzantti,ar ARG,"FW,MF",26.0,11.4,186,267,69.7,2289,432,126,149,84.6,44,69,63.8,5,12,41.7,0,1.1,0.8,-1.1,12,11,10,4,27,Matches
Jonás Acevedo,ar ARG,"MF,FW",25.0,9.4,317,448,70.8,5072,1689,177,200,88.5,99,137,72.3,30,76,39.5,1,1.3,1.5,-0.3,19,33,8,4,44,Matches
Gabriel Gudiño,ar ARG,"MF,FW",30.0,8.7,117,184,63.6,1779,696,62,85,72.9,40,55,72.7,8,22,36.4,0,0.6,0.5,-0.6,9,15,7,3,23,Matches
Gastón Sauro,ar ARG,DF,32.0,8.5,230,287,80.1,4301,1538,88,99,88.9,116,135,85.9,26,51,51.0,0,0.0,0.0,0.0,1,11,0,0,14,Matches
Fernando Torrent,ar ARG,DF,31.0,7.5,218,323,67.5,4007,1504,89,109,81.7,99,145,68.3,27,53,50.9,1,0.2,0.3,0.8,6,27,9,5,32,Matches
