Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Lucas Chávez,ar ARG,GK,27.0,25,2250.0,90.0,92.6,25.0,25,90.0,25,0,,0,0.96,17.0,26.0,-9.0,-0.36,0.64,23.8,23.2,0.5,0.02,0.03,Matches
Santiago Hezze,ar ARG,MF,21.0,26,2124.0,82.0,87.4,23.6,23,88.0,20,3,31.0,0,0.96,17.0,25.0,-8.0,-0.34,0.54,21.1,21.9,-0.8,-0.03,-0.42,Matches
Guillermo Benítez,ar ARG,DF,29.0,23,1975.0,86.0,81.3,21.9,22,88.0,18,1,33.0,4,1.04,16.0,21.0,-5.0,-0.23,0.96,20.0,18.9,1.1,0.05,0.16,Matches
Matías Cóccaro,uy URU,FW,25.0,24,1640.0,68.0,67.5,18.2,20,77.0,5,4,24.0,1,1.0,14.0,19.0,-5.0,-0.27,0.41,17.7,13.7,3.9,0.22,0.61,Matches
Fernando Tobio,ar ARG,DF,33.0,20,1677.0,84.0,69.0,18.6,19,86.0,17,1,45.0,1,1.15,15.0,19.0,-4.0,-0.21,0.62,17.2,16.0,1.2,0.06,0.15,Matches
Guillermo Soto,cl CHI,DF,29.0,20,1659.0,83.0,68.3,18.4,19,87.0,16,1,7.0,1,0.9,13.0,21.0,-8.0,-0.43,-0.08,16.5,16.3,0.2,0.01,-0.03,Matches
Federico Fattori,ar ARG,MF,30.0,20,1650.0,83.0,67.9,18.3,19,86.0,15,1,18.0,2,0.9,14.0,23.0,-9.0,-0.49,-0.26,15.2,17.0,-1.8,-0.1,-0.37,Matches
Juan Gauto,ar ARG,"MF,FW",18.0,23,1654.0,72.0,68.1,18.4,18,86.0,9,5,22.0,1,1.0,9.0,22.0,-13.0,-0.71,-0.94,15.1,17.0,-1.9,-0.1,-0.39,Matches
Joaquín Ariel Novillo,ar ARG,DF,24.0,17,1502.0,88.0,61.8,16.7,17,88.0,15,0,,9,0.47,5.0,17.0,-12.0,-0.72,-0.82,14.6,15.2,-0.7,-0.04,-0.16,Matches
Nicolás Cordero,ar ARG,FW,23.0,24,1187.0,49.0,48.8,13.2,13,76.0,3,11,18.0,3,1.0,11.0,11.0,0.0,0.0,0.8,13.0,10.8,2.2,0.17,0.29,Matches
Walter Mazzantti,ar ARG,"FW,MF",26.0,15,1025.0,68.0,42.2,11.4,12,80.0,4,3,22.0,2,0.87,4.0,10.0,-6.0,-0.53,-0.21,11.5,8.9,2.6,0.23,0.36,Matches
Jonás Acevedo,ar ARG,"MF,FW",25.0,16,849.0,53.0,34.9,9.4,10,75.0,0,6,17.0,7,1.25,11.0,10.0,1.0,0.11,0.79,10.3,6.8,3.5,0.38,0.55,Matches
Gabriel Gudiño,ar ARG,"MF,FW",30.0,14,780.0,56.0,32.1,8.7,9,74.0,0,5,23.0,4,1.07,10.0,11.0,-1.0,-0.12,0.43,7.7,9.1,-1.4,-0.16,-0.26,Matches
Gastón Sauro,ar ARG,DF,32.0,11,762.0,69.0,31.4,8.5,8,83.0,6,3,32.0,6,0.82,5.0,11.0,-6.0,-0.71,-0.44,6.4,9.2,-2.9,-0.34,-0.52,Matches
Fernando Torrent,ar ARG,DF,31.0,9,677.0,75.0,27.9,7.5,8,83.0,3,1,12.0,12,0.89,6.0,8.0,-2.0,-0.27,0.2,8.8,8.4,0.4,0.06,0.05,Matches
Fernando Godoy,ar ARG,MF,32.0,9,627.0,70.0,25.8,7.0,8,76.0,3,1,16.0,16,0.56,3.0,7.0,-4.0,-0.57,-0.22,7.4,6.3,1.1,0.15,0.18,Matches
Matías Gómez,ar ARG,"MF,FW",19.0,11,490.0,45.0,20.2,5.4,7,60.0,0,4,17.0,7,0.82,1.0,5.0,-4.0,-0.73,-0.41,4.7,4.8,-0.1,-0.02,-0.04,Matches
Lucas Castro,ar ARG,"MF,FW",33.0,11,599.0,54.0,24.7,6.7,6,76.0,2,5,29.0,6,0.55,3.0,8.0,-5.0,-0.75,-0.46,6.5,9.6,-3.0,-0.45,-0.63,Matches
Lucas Carrizo,ar ARG,DF,25.0,9,576.0,64.0,23.7,6.4,6,90.0,5,3,12.0,16,1.33,5.0,6.0,-1.0,-0.16,0.33,8.3,5.5,2.9,0.45,0.56,Matches
Patricio Pizarro,ar ARG,DF,22.0,13,573.0,44.0,23.6,6.4,6,74.0,3,7,18.0,7,1.36,5.0,7.0,-2.0,-0.31,0.12,7.2,6.7,0.4,0.07,0.06,Matches
Juan Manuel García,ar ARG,"FW,MF",30.0,20,530.0,27.0,21.8,5.9,5,72.0,1,15,11.0,6,0.9,3.0,8.0,-5.0,-0.85,-0.56,7.3,6.8,0.5,0.08,0.07,Matches
César Ibáñez,ar ARG,DF,23.0,6,340.0,57.0,14.0,3.8,4,77.0,2,2,17.0,6,0.5,0.0,6.0,-6.0,-1.59,-1.37,2.7,3.3,-0.7,-0.17,-0.23,Matches
Agostino Spina,ar ARG,MF,21.0,5,307.0,61.0,12.6,3.4,4,71.0,1,1,23.0,6,1.4,2.0,2.0,0.0,0.0,0.47,3.1,2.4,0.6,0.18,0.19,Matches
