Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Lucas Chávez,ar ARG,GK,27.0,25.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Santiago Hezze,ar ARG,MF,21.0,23.6,2,24,2,8.3,1.02,0.08,0.08,1.0,19.8,0,0,1,2.4,1.7,0.07,-0.4,0.3,Matches
Guillermo Benítez,ar ARG,DF,29.0,21.9,0,11,0,0.0,0.5,0.0,0.0,,19.6,0,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
Matías Cóccaro,uy URU,FW,25.0,18.2,4,34,16,47.1,1.87,0.88,0.03,0.06,15.7,1,3,3,5.9,3.5,0.1,-1.9,-2.5,Matches
Fernando Tobio,ar ARG,DF,33.0,18.6,1,9,3,33.3,0.48,0.16,0.11,0.33,7.5,0,0,0,0.9,0.8,0.09,0.1,0.2,Matches
Guillermo Soto,cl CHI,DF,29.0,18.4,0,6,1,16.7,0.33,0.05,0.0,0.0,21.8,0,0,0,0.3,0.3,0.04,-0.3,-0.3,Matches
Federico Fattori,ar ARG,MF,30.0,18.3,0,6,3,50.0,0.33,0.16,0.0,0.0,23.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Juan Gauto,ar ARG,"MF,FW",18.0,18.4,1,30,8,26.7,1.63,0.44,0.03,0.13,22.3,6,0,0,1.3,1.3,0.04,-0.3,-0.3,Matches
Joaquín Ariel Novillo,ar ARG,DF,24.0,16.7,0,7,2,28.6,0.42,0.12,0.0,0.0,12.8,0,0,0,0.4,0.4,0.06,-0.4,-0.4,Matches
Nicolás Cordero,ar ARG,FW,23.0,13.2,4,36,17,47.2,2.73,1.29,0.11,0.24,13.7,1,0,0,3.6,3.6,0.1,0.4,0.4,Matches
Walter Mazzantti,ar ARG,"FW,MF",26.0,11.4,1,14,3,21.4,1.23,0.26,0.07,0.33,13.6,0,0,0,1.7,1.7,0.13,-0.7,-0.7,Matches
Jonás Acevedo,ar ARG,"MF,FW",25.0,9.4,0,14,7,50.0,1.48,0.74,0.0,0.0,20.0,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Gabriel Gudiño,ar ARG,"MF,FW",30.0,8.7,3,19,5,26.3,2.19,0.58,0.16,0.6,16.7,0,0,0,1.5,1.5,0.08,1.5,1.5,Matches
Gastón Sauro,ar ARG,DF,32.0,8.5,0,6,2,33.3,0.71,0.24,0.0,0.0,11.5,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Fernando Torrent,ar ARG,DF,31.0,7.5,0,5,1,20.0,0.66,0.13,0.0,0.0,20.4,0,0,0,0.3,0.3,0.07,-0.3,-0.3,Matches
Fernando Godoy,ar ARG,MF,32.0,7.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Matías Gómez,ar ARG,"MF,FW",19.0,5.4,0,13,3,23.1,2.39,0.55,0.0,0.0,22.8,1,0,0,0.7,0.7,0.05,-0.7,-0.7,Matches
Lucas Castro,ar ARG,"MF,FW",33.0,6.7,0,13,1,7.7,1.95,0.15,0.0,0.0,19.5,1,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
Lucas Carrizo,ar ARG,DF,25.0,6.4,0,3,1,33.3,0.47,0.16,0.0,0.0,21.9,2,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Patricio Pizarro,ar ARG,DF,22.0,6.4,0,4,0,0.0,0.63,0.0,0.0,,22.4,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Juan Manuel García,ar ARG,"FW,MF",30.0,5.9,1,13,3,23.1,2.21,0.51,0.08,0.33,14.1,0,0,0,1.3,1.3,0.1,-0.3,-0.3,Matches
César Ibáñez,ar ARG,DF,23.0,3.8,0,4,0,0.0,1.06,0.0,0.0,,31.1,0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Agostino Spina,ar ARG,MF,21.0,3.4,0,3,1,33.3,0.88,0.29,0.0,0.0,26.1,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Valentín Burgoa,ar ARG,"FW,MF",23.0,3.7,0,10,3,30.0,2.69,0.81,0.0,0.0,25.1,2,0,0,0.6,0.6,0.06,-0.6,-0.6,Matches
Santiago Luján,ar ARG,"MF,FW",21.0,2.6,0,3,0,0.0,1.16,0.0,0.0,,23.9,1,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
Dante Campisi,ar ARG,GK,26.0,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
Juan Fernando Garro,ar ARG,"MF,FW",30.0,3.0,1,7,3,42.9,2.36,1.01,0.14,0.33,14.6,0,0,0,1.5,1.5,0.22,-0.5,-0.5,Matches
Lucas Merolla,ar ARG,DF,27.0,1.0,0,1,1,100.0,1.0,1.0,0.0,0.0,12.1,0,0,0,0.0,0.0,0.05,0.0,0.0,Matches
Valentin Sanchez,ar ARG,MF,20.0,0.6,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
