Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Lucas Chávez,ar ARG,GK,27.0,25,25,2250.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Santiago Hezze,ar ARG,MF,21.0,26,23,2124.0,23.6,2.0,0.0,2.0,2.0,0.0,1.0,5.0,0.0,2.4,1.7,0.9,2.6,30.0,161.0,32.0,0.08,0.0,0.08,0.08,0.08,0.1,0.04,0.14,0.07,0.11,Matches
Guillermo Benítez,ar ARG,DF,29.0,23,22,1975.0,21.9,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.6,0.6,1.5,2.1,45.0,73.0,76.0,0.0,0.05,0.05,0.0,0.05,0.03,0.07,0.09,0.03,0.09,Matches
Matías Cóccaro,uy URU,FW,25.0,24,20,1640.0,18.2,4.0,1.0,5.0,1.0,3.0,3.0,4.0,1.0,5.9,3.5,1.6,5.1,23.0,36.0,97.0,0.22,0.05,0.27,0.05,0.11,0.32,0.09,0.41,0.19,0.28,Matches
Fernando Tobio,ar ARG,DF,33.0,20,19,1677.0,18.6,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.9,0.8,0.4,1.3,5.0,40.0,1.0,0.05,0.0,0.05,0.05,0.05,0.05,0.02,0.07,0.04,0.07,Matches
Guillermo Soto,cl CHI,DF,29.0,20,19,1659.0,18.4,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,1.2,1.4,47.0,57.0,79.0,0.0,0.0,0.0,0.0,0.0,0.01,0.06,0.08,0.01,0.08,Matches
Federico Fattori,ar ARG,MF,30.0,20,19,1650.0,18.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.5,0.8,18.0,154.0,13.0,0.0,0.05,0.05,0.0,0.05,0.02,0.03,0.04,0.02,0.04,Matches
Juan Gauto,ar ARG,"MF,FW",18.0,23,18,1654.0,18.4,1.0,4.0,5.0,1.0,0.0,0.0,1.0,0.0,1.3,1.3,2.4,3.7,71.0,63.0,157.0,0.05,0.22,0.27,0.05,0.27,0.07,0.13,0.2,0.07,0.2,Matches
Joaquín Ariel Novillo,ar ARG,DF,24.0,17,17,1502.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.4,0.4,0.0,0.4,6.0,44.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.02,0.03,Matches
Nicolás Cordero,ar ARG,FW,23.0,24,13,1187.0,13.2,4.0,0.0,4.0,4.0,0.0,0.0,4.0,0.0,3.6,3.6,0.7,4.3,5.0,23.0,63.0,0.3,0.0,0.3,0.3,0.3,0.27,0.05,0.33,0.27,0.33,Matches
Walter Mazzantti,ar ARG,"FW,MF",26.0,15,12,1025.0,11.4,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,1.7,1.7,1.1,2.8,30.0,27.0,113.0,0.09,0.0,0.09,0.09,0.09,0.15,0.1,0.25,0.15,0.25,Matches
Jonás Acevedo,ar ARG,"MF,FW",25.0,16,10,849.0,9.4,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.7,0.7,1.3,2.0,22.0,44.0,48.0,0.0,0.11,0.11,0.0,0.11,0.08,0.13,0.21,0.08,0.21,Matches
Gabriel Gudiño,ar ARG,"MF,FW",30.0,14,9,780.0,8.7,3.0,0.0,3.0,3.0,0.0,0.0,3.0,0.0,1.5,1.5,0.6,2.1,19.0,23.0,53.0,0.35,0.0,0.35,0.35,0.35,0.17,0.07,0.24,0.17,0.24,Matches
Gastón Sauro,ar ARG,DF,32.0,11,8,762.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,0.3,0.3,0.0,0.3,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.04,0.03,0.04,Matches
Fernando Torrent,ar ARG,DF,31.0,9,8,677.0,7.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.3,0.3,0.2,0.6,18.0,32.0,42.0,0.0,0.13,0.13,0.0,0.13,0.04,0.03,0.08,0.04,0.08,Matches
Fernando Godoy,ar ARG,MF,32.0,9,8,627.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.1,0.1,2.0,27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
Matías Gómez,ar ARG,"MF,FW",19.0,11,7,490.0,5.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.7,0.7,0.5,1.2,5.0,13.0,29.0,0.0,0.0,0.0,0.0,0.0,0.13,0.09,0.22,0.13,0.22,Matches
Lucas Castro,ar ARG,"MF,FW",33.0,11,6,599.0,6.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.9,1.9,20.0,48.0,48.0,0.0,0.0,0.0,0.0,0.0,0.15,0.14,0.28,0.15,0.28,Matches
Lucas Carrizo,ar ARG,DF,25.0,9,6,576.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.2,6.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.02,0.03,Matches
Patricio Pizarro,ar ARG,DF,22.0,13,6,573.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.1,0.1,0.3,0.4,2.0,14.0,17.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.07,0.02,0.07,Matches
Juan Manuel García,ar ARG,"FW,MF",30.0,20,5,530.0,5.9,1.0,1.0,2.0,1.0,0.0,0.0,2.0,0.0,1.3,1.3,1.3,2.6,6.0,13.0,21.0,0.17,0.17,0.34,0.17,0.34,0.22,0.22,0.44,0.22,0.44,Matches
César Ibáñez,ar ARG,DF,23.0,6,4,340.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.3,11.0,20.0,16.0,0.0,0.0,0.0,0.0,0.0,0.02,0.06,0.08,0.02,0.08,Matches
Agostino Spina,ar ARG,MF,21.0,5,4,307.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Valentín Burgoa,ar ARG,"FW,MF",23.0,11,3,335.0,3.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.6,0.1,0.6,8.0,9.0,23.0,0.0,0.0,0.0,0.0,0.0,0.15,0.02,0.17,0.15,0.17,Matches
Santiago Luján,ar ARG,"MF,FW",21.0,10,2,233.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.2,0.2,0.1,0.3,3.0,8.0,14.0,0.0,0.0,0.0,0.0,0.0,0.07,0.04,0.11,0.07,0.11,Matches
Dante Campisi,ar ARG,GK,26.0,2,2,180.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juan Fernando Garro,ar ARG,"MF,FW",30.0,9,1,267.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,0.1,1.6,3.0,7.0,16.0,0.34,0.0,0.34,0.34,0.34,0.51,0.04,0.55,0.51,0.55,Matches
