Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Claudio Corvalán,ar ARG,DF,33.0,24.7,54.0,34,38.0,16.0,0.0,27.0,34.0,79.4,7.0,22.0,11.0,11.0,50,104.0,109.0,0.0,Matches
Federico Vera,ar ARG,DF,24.0,21.0,50.0,36,26.0,18.0,6.0,32.0,52.0,61.5,20.0,31.0,10.0,21.0,23,73.0,41.0,0.0,Matches
Franco Calderón,ar ARG,DF,24.0,21.9,23.0,13,12.0,9.0,2.0,14.0,30.0,46.7,16.0,21.0,15.0,6.0,23,46.0,112.0,0.0,Matches
Imanol Machuca,ar ARG,"FW,MF",23.0,20.7,26.0,20,10.0,13.0,3.0,10.0,32.0,31.3,22.0,16.0,1.0,15.0,2,28.0,6.0,0.0,Matches
Mauro Luna Diale,ar ARG,"MF,FW",23.0,20.3,44.0,26,14.0,23.0,7.0,15.0,37.0,40.5,22.0,31.0,4.0,27.0,2,46.0,27.0,0.0,Matches
Yeison Gordillo,co COL,MF,30.0,19.9,86.0,48,44.0,39.0,3.0,47.0,93.0,50.5,46.0,34.0,3.0,31.0,29,115.0,34.0,0.0,Matches
Kevin Zenon,ar ARG,"DF,MF",21.0,16.7,28.0,18,16.0,10.0,2.0,17.0,28.0,60.7,11.0,22.0,0.0,22.0,15,43.0,19.0,0.0,Matches
Enzo Martín Roldán,ar ARG,MF,22.0,16.5,30.0,17,17.0,12.0,1.0,11.0,27.0,40.7,16.0,19.0,3.0,16.0,25,55.0,14.0,0.0,Matches
Santiago Mele,uy URU,GK,25.0,16.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,6.0,1.0,Matches
Jerónimo Domina,ar ARG,FW,17.0,12.8,7.0,4,3.0,2.0,2.0,4.0,15.0,26.7,11.0,8.0,1.0,7.0,3,10.0,3.0,0.0,Matches
Oscar Piris,ar ARG,DF,33.0,12.0,24.0,15,10.0,13.0,1.0,15.0,24.0,62.5,9.0,15.0,7.0,8.0,18,42.0,50.0,0.0,Matches
Luciano Aued,ar ARG,MF,35.0,11.3,26.0,18,9.0,13.0,4.0,16.0,25.0,64.0,9.0,12.0,2.0,10.0,12,38.0,13.0,0.0,Matches
Lucas Esquivel,ar ARG,DF,21.0,11.5,30.0,19,14.0,14.0,2.0,18.0,33.0,54.5,15.0,21.0,3.0,18.0,14,44.0,26.0,0.0,Matches
Sebastián Moyano,ar ARG,GK,32.0,11.0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,0.0,3.0,2.0,Matches
Nicolás Paz,ar ARG,DF,20.0,9.9,28.0,20,17.0,9.0,2.0,20.0,30.0,66.7,10.0,4.0,3.0,1.0,10,38.0,43.0,0.0,Matches
Daniel Juárez,ar ARG,"MF,FW",21.0,7.2,14.0,9,5.0,5.0,4.0,7.0,23.0,30.4,16.0,12.0,1.0,11.0,3,17.0,5.0,0.0,Matches
Ezequiel Cañete,ar ARG,"FW,MF",23.0,6.6,17.0,10,7.0,8.0,2.0,5.0,17.0,29.4,12.0,9.0,4.0,5.0,4,21.0,7.0,0.0,Matches
Junior Marabel,py PAR,FW,24.0,6.5,7.0,2,6.0,1.0,0.0,1.0,7.0,14.3,6.0,3.0,1.0,2.0,0,7.0,7.0,0.0,Matches
Thiago Vecino,uy URU,FW,23.0,4.9,4.0,3,0.0,4.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,1.0,2,6.0,5.0,0.0,Matches
Francisco Gerometta,ar ARG,"DF,MF",23.0,5.7,21.0,14,15.0,5.0,1.0,12.0,22.0,54.5,10.0,7.0,1.0,6.0,5,26.0,22.0,0.0,Matches
Joaquín Mosqueira,,MF,,4.4,,5,,,,,,,,,,,1,,,,Matches
Mateo Del Blanco,ar ARG,"DF,MF",19.0,3.7,8.0,5,1.0,6.0,1.0,6.0,10.0,60.0,4.0,8.0,1.0,7.0,3,11.0,4.0,0.0,Matches
Tomás González,ar ARG,"MF,FW",19.0,2.8,9.0,5,3.0,3.0,3.0,3.0,7.0,42.9,4.0,6.0,0.0,6.0,3,12.0,0.0,0.0,Matches
Juan Ludueña,ar ARG,DF,19.0,2.7,,4,,,,,,,,,,,7,,,,Matches
Mariano Meynier,ar ARG,FW,19.0,0.9,3.0,2,1.0,2.0,0.0,1.0,3.0,33.3,2.0,0.0,0.0,0.0,0,3.0,2.0,0.0,Matches
Gastón Comas,ar ARG,MF,24.0,0.7,2.0,1,1.0,1.0,0.0,2.0,5.0,40.0,3.0,1.0,1.0,0.0,0,2.0,1.0,0.0,Matches
Bryan Castrillón,co COL,"FW,MF",23.0,2.6,5.0,3,2.0,3.0,0.0,0.0,4.0,0.0,4.0,5.0,0.0,5.0,1,6.0,0.0,0.0,Matches
Lisandro Morales,ar ARG,DF,19.0,0.3,,0,,,,,,,,,,,1,,,,Matches
Valentino Venetucci,,,,0.0,,0,,,,,,,,,,,1,,,,Matches
Squad Total,,,25.6,27.0,546.0,351,271.0,229.0,46.0,283.0,560.0,50.5,277.0,311.0,75.0,236.0,257,803.0,559.0,3.0,
Opponent Total,,,27.2,27.0,519.0,349,263.0,195.0,61.0,245.0,575.0,42.6,330.0,362.0,84.0,278.0,265,784.0,614.0,9.0,
