Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Fabio Pereyra,ar ARG,DF,33.0,26.0,662.0,956.0,69.2,15932.0,7481.0,148.0,195.0,75.9,350.0,421.0,83.1,159.0,314.0,50.6,0,0.0,0.2,0.0,2.0,57.0,3.0,1.0,46.0,Matches
Brian Blasi,ar ARG,DF,26.0,22.4,488.0,823.0,59.3,10060.0,5411.0,192.0,236.0,81.4,207.0,308.0,67.2,85.0,227.0,37.4,0,0.2,0.4,-0.2,3.0,70.0,9.0,6.0,78.0,Matches
Mauro Pittón,ar ARG,MF,28.0,23.3,729.0,958.0,76.1,12633.0,3878.0,326.0,395.0,82.5,284.0,347.0,81.8,82.0,137.0,59.9,0,1.4,0.7,-1.4,24.0,86.0,4.0,0.0,105.0,Matches
Gustavo Canto,ar ARG,DF,28.0,23.2,647.0,977.0,66.2,11330.0,5730.0,277.0,354.0,78.2,295.0,399.0,73.9,60.0,157.0,38.2,0,0.5,0.5,-0.5,7.0,53.0,9.0,1.0,78.0,Matches
Brian Farioli,ar ARG,"MF,FW",24.0,20.0,578.0,828.0,69.8,11103.0,2798.0,240.0,285.0,84.2,195.0,263.0,74.1,114.0,204.0,55.9,2,2.1,2.3,-0.1,39.0,47.0,22.0,8.0,82.0,Matches
Ciro Rius,ar ARG,"MF,FW",34.0,19.0,368.0,535.0,68.8,5693.0,1930.0,191.0,215.0,88.8,127.0,191.0,66.5,29.0,72.0,40.3,2,1.0,0.8,1.0,12.0,27.0,10.0,7.0,38.0,Matches
Leandro Maciel,ar ARG,MF,27.0,18.2,457.0,617.0,74.1,7920.0,2640.0,210.0,260.0,80.8,172.0,215.0,80.0,56.0,96.0,58.3,1,1.1,1.1,-0.1,20.0,59.0,7.0,4.0,75.0,Matches
Lucas Gamba,ar ARG,FW,35.0,20.3,380.0,574.0,66.2,4834.0,833.0,246.0,322.0,76.4,79.0,127.0,62.2,19.0,34.0,55.9,5,3.9,2.2,1.1,31.0,14.0,15.0,4.0,33.0,Matches
Lucas Besozzi,ar ARG,"MF,FW",20.0,17.7,393.0,610.0,64.4,5845.0,1763.0,229.0,285.0,80.4,122.0,178.0,68.5,26.0,71.0,36.6,2,4.0,2.7,-2.0,29.0,32.0,20.0,8.0,59.0,Matches
Marcos Ignacio Ledesma,ar ARG,GK,26.0,18.0,228.0,501.0,45.5,9170.0,7752.0,20.0,20.0,100.0,79.0,83.0,95.2,129.0,397.0,32.5,0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,Matches
