Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Fabio Pereyra,ar ARG,DF,33.0,26,2340.0,90.0,96.3,26.0,26,90.0,26,0,,0,1.08,18.0,28.0,-10.0,-0.38,-0.38,23.9,33.8,-9.9,-0.38,0.46,Matches
Brian Blasi,ar ARG,DF,26.0,24,2019.0,84.0,83.1,22.4,24,84.0,16,0,,2,1.21,19.0,22.0,-3.0,-0.13,1.4,21.0,28.4,-7.4,-0.33,0.38,Matches
Mauro Pittón,ar ARG,MF,28.0,26,2098.0,81.0,86.3,23.3,23,88.0,21,3,23.0,0,1.08,16.0,26.0,-10.0,-0.43,-0.43,21.2,32.5,-11.3,-0.48,-0.64,Matches
Gustavo Canto,ar ARG,DF,28.0,24,2087.0,87.0,85.9,23.2,23,90.0,23,1,17.0,1,1.04,17.0,28.0,-11.0,-0.47,-0.74,18.9,29.9,-11.0,-0.47,-0.55,Matches
Brian Farioli,ar ARG,"MF,FW",24.0,26,1804.0,69.0,74.2,20.0,23,74.0,5,3,36.0,0,1.12,14.0,21.0,-7.0,-0.35,0.08,17.8,24.3,-6.5,-0.33,0.28,Matches
Ciro Rius,ar ARG,"MF,FW",34.0,24,1707.0,71.0,70.2,19.0,21,79.0,9,3,19.0,2,1.17,17.0,20.0,-3.0,-0.16,0.71,16.6,22.2,-5.6,-0.29,0.34,Matches
Leandro Maciel,ar ARG,MF,27.0,24,1639.0,68.0,67.4,18.2,21,75.0,3,3,23.0,1,1.17,13.0,19.0,-6.0,-0.33,0.13,15.5,22.2,-6.7,-0.37,0.09,Matches
Lucas Gamba,ar ARG,FW,35.0,26,1830.0,70.0,75.3,20.3,20,83.0,13,6,27.0,1,1.0,14.0,23.0,-9.0,-0.44,-0.29,17.9,27.6,-9.8,-0.48,-0.34,Matches
Lucas Besozzi,ar ARG,"MF,FW",20.0,24,1596.0,67.0,65.7,17.7,19,75.0,4,5,34.0,3,1.17,14.0,19.0,-5.0,-0.28,0.26,18.1,18.5,-0.4,-0.02,1.09,Matches
Marcos Ignacio Ledesma,ar ARG,GK,26.0,18,1620.0,90.0,66.7,18.0,18,90.0,18,0,,8,1.11,14.0,21.0,-7.0,-0.39,-0.06,18.6,24.6,-6.0,-0.33,0.19,Matches
Gonzalo Goñi,ar ARG,DF,24.0,16,1246.0,78.0,51.3,13.8,15,80.0,10,1,45.0,8,1.38,13.0,13.0,0.0,0.0,0.76,15.2,18.6,-3.3,-0.24,0.32,Matches
Marcelo Benitez,ar ARG,DF,32.0,19,1329.0,70.0,54.7,14.8,14,83.0,12,5,35.0,5,0.95,10.0,16.0,-6.0,-0.41,-0.08,13.6,21.0,-7.4,-0.5,-0.23,Matches
Facundo Castelli,ar ARG,FW,27.0,18,868.0,48.0,35.7,9.6,9,74.0,2,9,22.0,5,1.17,8.0,10.0,-2.0,-0.21,0.25,,,,,,Matches
Matías Mansilla,ar ARG,GK,26.0,9,810.0,90.0,33.3,9.0,9,90.0,9,0,,18,1.0,6.0,9.0,-3.0,-0.33,0.06,6.5,11.2,-4.7,-0.52,-0.19,Matches
Enzo Kalinski,ar ARG,MF,35.0,14,658.0,47.0,27.1,7.3,8,71.0,4,6,16.0,8,0.93,6.0,9.0,-3.0,-0.41,-0.05,6.7,10.7,-4.0,-0.54,-0.2,Matches
Cristian Torres,ar ARG,"FW,MF",23.0,20,733.0,37.0,30.2,8.1,7,69.0,1,13,19.0,7,1.2,5.0,12.0,-7.0,-0.86,-0.7,7.5,14.1,-6.6,-0.81,-0.59,Matches
Jesús Soraire,ar ARG,MF,34.0,19,631.0,33.0,26.0,7.0,4,67.0,1,15,24.0,2,1.42,7.0,7.0,0.0,0.0,0.5,5.9,11.8,-6.0,-0.85,-0.62,Matches
Julián Navas,ar ARG,DF,29.0,8,387.0,48.0,15.9,4.3,4,73.0,2,4,24.0,17,1.5,2.0,5.0,-3.0,-0.7,-0.39,3.5,7.2,-3.7,-0.86,-0.55,Matches
José Gómez,ar ARG,DF,22.0,4,311.0,78.0,12.8,3.5,3,84.0,1,1,59.0,14,0.5,2.0,6.0,-4.0,-1.16,-0.9,3.6,4.0,-0.4,-0.12,0.32,Matches
Federico Jourdan,ar ARG,"MF,DF",32.0,12,370.0,31.0,15.2,4.1,2,72.0,0,10,23.0,14,0.69,2.0,5.0,-3.0,-0.73,-0.42,5.3,7.2,-1.9,-0.46,-0.08,Matches
Luis Miguel Rodríguez,ar ARG,"MF,FW",38.0,9,224.0,25.0,9.2,2.5,1,90.0,1,8,17.0,5,0.67,1.0,5.0,-4.0,-1.61,-1.36,1.2,6.5,-5.3,-2.11,-1.89,Matches
Ramón Cansinos,,MF,,5,117.0,23.0,4.8,1.3,1,58.0,0,4,15.0,17,0.2,1.0,2.0,-1.0,-0.77,-0.42,,,,,,Matches
Sebastián Valdez,ar ARG,DF,27.0,2,66.0,33.0,2.7,0.7,1,45.0,0,1,21.0,16,0.0,0.0,1.0,-1.0,-1.36,-1.02,0.3,1.1,-0.8,-1.08,-0.7,Matches
