Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Santiago Longo,ar ARG,MF,24.0,26.8,0,0,0,24,20,1,12,28,59,0.0,1.0,0,228.0,21.0,26.0,44.7,Matches
Pablo Vegetti,ar ARG,FW,34.0,26.5,4,0,0,35,53,19,29,1,5,1.0,0.0,0,46.0,112.0,115.0,49.3,Matches
Nahuel Losada,ar ARG,GK,29.0,25.5,1,1,0,1,4,0,0,0,1,0.0,0.0,0,34.0,9.0,0.0,100.0,Matches
Ulises Sánchez,ar ARG,MF,24.0,23.8,5,0,0,16,39,1,106,13,19,0.0,0.0,0,156.0,9.0,20.0,31.0,Matches
Alejandro Rébola,ar ARG,DF,34.0,23.0,5,3,1,21,11,0,0,41,9,0.0,0.0,1,117.0,61.0,56.0,52.1,Matches
Bruno Zapelli,ar ARG,"MF,FW",20.0,20.2,1,0,0,18,28,0,36,11,26,0.0,0.0,0,141.0,16.0,19.0,45.7,Matches
Nicolás Meriano,ar ARG,DF,22.0,17.4,4,0,0,13,5,0,4,27,16,0.0,0.0,0,82.0,38.0,24.0,61.3,Matches
Juan Barinaga,ar ARG,DF,22.0,13.7,1,0,0,12,12,0,52,19,28,0.0,0.0,0,94.0,7.0,18.0,28.0,Matches
Erik Godoy,ar ARG,DF,29.0,14.4,2,1,0,17,2,1,1,18,9,0.0,0.0,0,70.0,42.0,24.0,63.6,Matches
Matias Ibacache,cl CHI,DF,24.0,12.0,2,0,0,10,11,0,34,3,8,0.0,1.0,0,74.0,14.0,10.0,58.3,Matches
Ariel Rojas,ar ARG,MF,37.0,11.7,3,0,0,7,12,0,28,19,21,0.0,0.0,0,89.0,7.0,15.0,31.8,Matches
Franco Jara,ar ARG,FW,34.0,9.9,3,1,1,22,18,2,19,1,7,0.0,0.0,0,26.0,14.0,21.0,40.0,Matches
Lucas Diarte,ar ARG,DF,29.0,10.8,5,0,0,14,11,0,40,10,15,0.0,1.0,0,57.0,7.0,10.0,41.2,Matches
Gabriel Compagnucci,ar ARG,"DF,MF",31.0,10.8,1,0,0,8,10,1,62,8,9,0.0,0.0,0,51.0,7.0,10.0,41.2,Matches
Matías García,ar ARG,MF,31.0,8.2,3,0,0,14,16,0,53,5,13,0.0,0.0,0,68.0,11.0,15.0,42.3,Matches
Tomas Castro,ar ARG,MF,20.0,4.6,1,0,0,6,5,0,5,2,6,0.0,0.0,0,29.0,4.0,10.0,28.6,Matches
Iván Ortigoza,ar ARG,"FW,MF",27.0,4.5,2,0,0,4,8,0,22,2,4,1.0,0.0,0,26.0,1.0,6.0,14.3,Matches
Guillermo Pereira,ar ARG,"DF,MF",29.0,5.8,3,0,0,14,7,1,27,9,16,0.0,0.0,0,30.0,8.0,5.0,61.5,Matches
Matias Moreno,ar ARG,DF,19.0,3.1,0,0,0,4,7,0,2,5,0,0.0,0.0,0,14.0,4.0,10.0,28.6,Matches
Ibrahim Hesar,sy SYR,"MF,FW",29.0,5.9,2,0,0,13,5,8,27,5,9,0.0,0.0,0,30.0,11.0,13.0,45.8,Matches
Diego Novaretti,ar ARG,DF,37.0,2.6,0,0,0,1,1,1,0,7,4,0.0,0.0,0,10.0,10.0,4.0,71.4,Matches
Fabián Bordagaray,ar ARG,"FW,MF",35.0,2.6,1,0,0,3,2,0,3,2,3,0.0,0.0,0,6.0,5.0,5.0,50.0,Matches
Daniel Barrea,ar ARG,FW,21.0,2.1,0,0,0,4,2,0,10,1,0,0.0,0.0,0,7.0,4.0,2.0,66.7,Matches
Mariano Miño,ar ARG,MF,28.0,1.8,0,0,0,1,5,2,6,1,1,0.0,0.0,0,20.0,0.0,1.0,0.0,Matches
Manuel Vicentini,ar ARG,GK,32.0,1.5,0,0,0,0,0,0,0,1,0,0.0,0.0,0,2.0,0.0,0.0,,Matches
Francisco Oliver,ar ARG,DF,27.0,1.1,0,0,0,2,0,0,0,2,2,0.0,1.0,0,7.0,0.0,1.0,0.0,Matches
Joaquín Susvielles,ar ARG,"FW,DF",31.0,2.0,0,0,0,4,2,1,2,0,0,0.0,0.0,0,3.0,14.0,8.0,63.6,Matches
Iván Ramírez,ar ARG,MF,32.0,1.6,1,0,0,4,0,0,1,2,3,,,0,,,,,Matches
Gerónimo Tomasetti,ar ARG,MF,22.0,0.6,0,0,0,2,1,0,0,0,1,0.0,0.0,0,5.0,1.0,1.0,50.0,Matches
Andrés Felipe Amaya,co COL,"FW,MF",21.0,0.3,0,0,0,0,3,0,2,0,0,,,0,,,,,Matches
Francisco Facello,ar ARG,DF,20.0,0.2,0,0,0,0,0,0,3,1,1,0.0,0.0,0,1.0,0.0,1.0,0.0,Matches
Facundo Lencioni,ar ARG,MF,21.0,0.2,0,0,0,0,0,0,0,2,1,0.0,0.0,0,2.0,0.0,0.0,,Matches
Squad Total,,,28.3,27.0,50,6,2,294,300,38,586,246,296,2.0,4.0,1,1525.0,437.0,450.0,49.3,
Opponent Total,,,27.0,27.0,51,3,0,319,277,57,551,272,340,2.0,1.0,0,1499.0,433.0,417.0,50.9,
