Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Santiago Longo,ar ARG,MF,24.0,26.8,0,14,2,14.3,0.52,0.07,0.0,0.0,26.6,0.0,0,0,0.5,0.5,0.03,-0.5,-0.5,Matches
Pablo Vegetti,ar ARG,FW,34.0,26.5,13,87,29,33.3,3.29,1.1,0.13,0.38,14.6,1.0,2,2,12.1,10.6,0.12,0.9,0.4,Matches
Nahuel Losada,ar ARG,GK,29.0,25.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Ulises Sánchez,ar ARG,MF,24.0,23.8,2,39,10,25.6,1.64,0.42,0.05,0.2,23.2,3.0,0,0,2.8,2.8,0.07,-0.8,-0.8,Matches
Alejandro Rébola,ar ARG,DF,34.0,23.0,0,9,2,22.2,0.39,0.09,0.0,0.0,11.8,0.0,0,0,0.7,0.7,0.07,-0.7,-0.7,Matches
Bruno Zapelli,ar ARG,"MF,FW",20.0,20.2,1,25,11,44.0,1.24,0.54,0.04,0.09,22.2,2.0,0,0,2.2,2.2,0.09,-1.2,-1.2,Matches
Nicolás Meriano,ar ARG,DF,22.0,17.4,0,8,2,25.0,0.46,0.11,0.0,0.0,18.0,0.0,0,0,0.5,0.5,0.07,-0.5,-0.5,Matches
Juan Barinaga,ar ARG,DF,22.0,13.7,0,5,2,40.0,0.36,0.15,0.0,0.0,21.9,0.0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
Erik Godoy,ar ARG,DF,29.0,14.4,0,6,0,0.0,0.42,0.0,0.0,,15.3,0.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Matias Ibacache,cl CHI,DF,24.0,12.0,0,3,1,33.3,0.25,0.08,0.0,0.0,25.7,0.0,0,0,0.1,0.1,0.02,-0.1,-0.1,Matches
Ariel Rojas,ar ARG,MF,37.0,11.7,0,3,1,33.3,0.26,0.09,0.0,0.0,29.7,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Franco Jara,ar ARG,FW,34.0,9.9,1,15,5,33.3,1.52,0.51,0.07,0.2,21.0,0.0,0,0,1.2,1.2,0.08,-0.2,-0.2,Matches
Lucas Diarte,ar ARG,DF,29.0,10.8,1,7,2,28.6,0.65,0.18,0.14,0.5,28.9,0.0,0,0,0.1,0.1,0.02,0.9,0.9,Matches
Gabriel Compagnucci,ar ARG,"DF,MF",31.0,10.8,0,6,3,50.0,0.56,0.28,0.0,0.0,20.3,1.0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
Matías García,ar ARG,MF,31.0,8.2,1,10,5,50.0,1.22,0.61,0.1,0.2,20.5,1.0,0,0,0.6,0.6,0.06,0.4,0.4,Matches
Tomas Castro,ar ARG,MF,20.0,4.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Iván Ortigoza,ar ARG,"FW,MF",27.0,4.5,0,10,5,50.0,2.24,1.12,0.0,0.0,22.3,0.0,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
Guillermo Pereira,ar ARG,"DF,MF",29.0,5.8,1,4,2,50.0,0.69,0.35,0.25,0.5,11.9,0.0,0,0,0.4,0.4,0.09,0.6,0.6,Matches
Matias Moreno,ar ARG,DF,19.0,3.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Ibrahim Hesar,sy SYR,"MF,FW",29.0,5.9,0,17,4,23.5,2.88,0.68,0.0,0.0,17.5,0.0,0,0,1.3,1.3,0.07,-1.3,-1.3,Matches
Diego Novaretti,ar ARG,DF,37.0,2.6,0,2,0,0.0,0.78,0.0,0.0,,15.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Fabián Bordagaray,ar ARG,"FW,MF",35.0,2.6,0,3,1,33.3,1.14,0.38,0.0,0.0,20.0,1.0,0,0,0.3,0.3,0.11,-0.3,-0.3,Matches
Daniel Barrea,ar ARG,FW,21.0,2.1,0,3,3,100.0,1.41,1.41,0.0,0.0,10.9,0.0,0,0,0.4,0.4,0.14,-0.4,-0.4,Matches
Mariano Miño,ar ARG,MF,28.0,1.8,0,1,1,100.0,0.57,0.57,0.0,0.0,22.5,0.0,0,0,0.1,0.1,0.07,-0.1,-0.1,Matches
Manuel Vicentini,ar ARG,GK,32.0,1.5,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Francisco Oliver,ar ARG,DF,27.0,1.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Joaquín Susvielles,ar ARG,"FW,DF",31.0,2.0,0,2,2,100.0,1.01,1.01,0.0,0.0,14.0,0.0,0,0,0.1,0.1,0.05,-0.1,-0.1,Matches
Iván Ramírez,ar ARG,MF,32.0,1.6,0,1,0,0.0,0.64,0.0,0.0,,,,0,0,,,,,,Matches
