Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Ignacio Chicco,ar ARG,GK,26.0,27.0,1.0,1,1.0,0.0,0.0,1.0,2.0,50.0,1.0,0.0,0.0,0.0,0,1.0,11.0,1.0,Matches
Facundo Garcés,ar ARG,DF,23.0,26.0,60.0,36,35.0,25.0,0.0,33.0,52.0,63.5,19.0,44.0,17.0,27.0,31,91.0,110.0,0.0,Matches
Santiago Pierotti,ar ARG,"FW,MF",21.0,23.5,58.0,32,12.0,28.0,18.0,21.0,57.0,36.8,36.0,39.0,2.0,37.0,8,66.0,15.0,0.0,Matches
Paolo Goltz,ar ARG,DF,37.0,22.2,33.0,17,24.0,8.0,1.0,18.0,33.0,54.5,15.0,30.0,13.0,17.0,26,59.0,102.0,0.0,Matches
Eric Meza,ar ARG,"DF,FW",23.0,20.8,49.0,30,34.0,11.0,4.0,25.0,55.0,45.5,30.0,19.0,3.0,16.0,33,82.0,20.0,0.0,Matches
Baldomero Perlaza,co COL,MF,30.0,21.1,47.0,28,14.0,30.0,3.0,21.0,50.0,42.0,29.0,24.0,9.0,15.0,22,69.0,30.0,0.0,Matches
Rafael Marcelo Delgado,ar ARG,DF,33.0,20.0,45.0,26,25.0,17.0,3.0,27.0,49.0,55.1,22.0,43.0,11.0,32.0,22,67.0,64.0,1.0,Matches
Ramón Ábila,ar ARG,FW,33.0,17.5,4.0,4,0.0,2.0,2.0,2.0,7.0,28.6,5.0,8.0,3.0,5.0,5,9.0,7.0,0.0,Matches
Juan Álvarez,ar ARG,"MF,FW",26.0,15.2,19.0,11,8.0,6.0,5.0,13.0,38.0,34.2,25.0,21.0,1.0,20.0,19,38.0,13.0,0.0,Matches
Gian Nardelli,ar ARG,DF,22.0,13.3,16.0,10,12.0,4.0,0.0,10.0,18.0,55.6,8.0,18.0,6.0,12.0,17,33.0,69.0,1.0,Matches
Carlos Arrua,py PAR,MF,25.0,11.2,18.0,10,5.0,11.0,2.0,7.0,28.0,25.0,21.0,12.0,0.0,12.0,5,23.0,2.0,0.0,Matches
Julián Chicco,ar ARG,MF,25.0,10.6,25.0,15,11.0,10.0,4.0,13.0,25.0,52.0,12.0,16.0,2.0,14.0,17,42.0,14.0,0.0,Matches
Cristian Vega,ar ARG,MF,29.0,10.0,38.0,24,21.0,16.0,1.0,19.0,34.0,55.9,15.0,21.0,3.0,18.0,15,53.0,12.0,1.0,Matches
Stéfano Moreyra,ar ARG,MF,21.0,7.2,20.0,9,4.0,14.0,2.0,13.0,25.0,52.0,12.0,16.0,3.0,13.0,18,38.0,8.0,0.0,Matches
Jorge Benítez,py PAR,FW,30.0,8.0,10.0,7,2.0,6.0,2.0,2.0,14.0,14.3,12.0,8.0,1.0,7.0,2,12.0,10.0,0.0,Matches
Leonel Picco,ar ARG,MF,23.0,6.2,33.0,20,13.0,13.0,7.0,18.0,32.0,56.3,14.0,20.0,3.0,17.0,12,45.0,12.0,0.0,Matches
Andrew Teuten,uy URU,"DF,MF",24.0,5.6,10.0,9,8.0,2.0,0.0,7.0,13.0,53.8,6.0,3.0,0.0,3.0,7,17.0,11.0,0.0,Matches
Facundo Farías,ar ARG,"FW,MF",20.0,5.1,2.0,1,0.0,2.0,0.0,0.0,4.0,0.0,4.0,3.0,0.0,3.0,1,3.0,0.0,0.0,Matches
Joaquín Ibáñez,ar ARG,"FW,MF",26.0,5.0,6.0,5,3.0,3.0,0.0,4.0,9.0,44.4,5.0,9.0,0.0,9.0,1,7.0,7.0,1.0,Matches
Tomás Galván,ar ARG,"MF,FW",22.0,5.9,8.0,7,3.0,5.0,0.0,3.0,12.0,25.0,9.0,9.0,1.0,8.0,3,11.0,1.0,0.0,Matches
José Neris,uy URU,FW,22.0,4.3,4.0,4,1.0,2.0,1.0,2.0,2.0,100.0,0.0,0.0,0.0,0.0,0,4.0,0.0,0.0,Matches
Augusto Schott,ar ARG,DF,23.0,3.8,3.0,2,2.0,1.0,0.0,1.0,6.0,16.7,5.0,4.0,0.0,4.0,7,10.0,13.0,0.0,Matches
Lucas Acevedo,ar ARG,DF,31.0,2.1,4.0,3,4.0,0.0,0.0,2.0,4.0,50.0,2.0,3.0,3.0,0.0,0,4.0,23.0,1.0,Matches
Natanael Troncoso,ar ARG,"MF,FW",21.0,3.2,11.0,8,1.0,9.0,1.0,6.0,14.0,42.9,8.0,5.0,1.0,4.0,1,12.0,3.0,0.0,Matches
Thiago Yossen,ar ARG,DF,18.0,0.4,1.0,1,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,2,3.0,2.0,0.0,Matches
Gonzalo Silva,ar ARG,"DF,MF",23.0,0.6,1.0,1,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0,1.0,1.0,0.0,Matches
Guillermo Gonzálvez,ar ARG,MF,19.0,0.2,,1,,,,,,,,,,,0,,,,Matches
Facundo Taborda,ar ARG,"FW,MF",22.0,0.2,1.0,1,0.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,2.0,0,1.0,0.0,0.0,Matches
Squad Total,,,27.1,27.0,527.0,323,245.0,226.0,56.0,268.0,585.0,45.8,317.0,377.0,82.0,295.0,274,801.0,560.0,6.0,
Opponent Total,,,26.9,27.0,517.0,323,223.0,242.0,52.0,275.0,535.0,51.4,260.0,305.0,62.0,243.0,255,772.0,590.0,7.0,
