Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Ignacio Chicco,ar ARG,GK,26.0,27.0,558.0,803.0,69.5,16176.0,12565.0,98.0,100.0,98.0,281.0,287.0,97.9,177.0,409.0,43.3,0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,Matches
Facundo Garcés,ar ARG,DF,23.0,26.0,738.0,1001.0,73.7,13420.0,5700.0,308.0,365.0,84.4,342.0,422.0,81.0,75.0,175.0,42.9,0,0.6,0.5,-0.6,5.0,44.0,6.0,2.0,64.0,Matches
Santiago Pierotti,ar ARG,"FW,MF",21.0,23.5,338.0,527.0,64.1,4644.0,1194.0,207.0,277.0,74.7,95.0,137.0,69.3,19.0,34.0,55.9,0,1.3,1.4,-1.3,22.0,28.0,18.0,6.0,45.0,Matches
Paolo Goltz,ar ARG,DF,37.0,22.2,735.0,944.0,77.9,15844.0,7071.0,205.0,247.0,83.0,385.0,433.0,88.9,140.0,241.0,58.1,0,0.3,0.3,-0.3,3.0,16.0,1.0,0.0,26.0,Matches
Eric Meza,ar ARG,"DF,FW",23.0,20.8,561.0,1013.0,55.4,11774.0,5546.0,208.0,259.0,80.3,229.0,375.0,61.1,113.0,304.0,37.2,3,3.4,3.3,-0.4,29.0,51.0,30.0,16.0,61.0,Matches
Baldomero Perlaza,co COL,MF,30.0,21.1,486.0,658.0,73.9,8095.0,2739.0,240.0,297.0,80.8,193.0,262.0,73.7,40.0,62.0,64.5,2,1.9,2.0,0.1,18.0,49.0,10.0,0.0,67.0,Matches
Rafael Marcelo Delgado,ar ARG,DF,33.0,20.0,726.0,1090.0,66.6,14843.0,7217.0,288.0,336.0,85.7,306.0,419.0,73.0,126.0,289.0,43.6,3,1.6,1.6,1.4,27.0,89.0,20.0,6.0,105.0,Matches
Ramón Ábila,ar ARG,FW,33.0,17.5,213.0,319.0,66.8,3248.0,566.0,113.0,156.0,72.4,80.0,101.0,79.2,12.0,19.0,63.2,3,2.5,1.8,0.5,18.0,10.0,11.0,0.0,26.0,Matches
Juan Álvarez,ar ARG,"MF,FW",26.0,15.2,396.0,575.0,68.9,6762.0,2749.0,198.0,247.0,80.2,157.0,217.0,72.4,38.0,76.0,50.0,1,1.2,1.3,-0.2,8.0,40.0,15.0,8.0,57.0,Matches
Gian Nardelli,ar ARG,DF,22.0,13.3,384.0,558.0,68.8,7816.0,3474.0,132.0,160.0,82.5,194.0,234.0,82.9,56.0,134.0,41.8,0,0.2,0.2,-0.2,2.0,22.0,2.0,1.0,28.0,Matches
Carlos Arrua,py PAR,MF,25.0,11.2,261.0,383.0,68.1,4249.0,1658.0,145.0,174.0,83.3,78.0,107.0,72.9,31.0,74.0,41.9,1,1.1,1.4,-0.1,19.0,44.0,12.0,5.0,48.0,Matches
Julián Chicco,ar ARG,MF,25.0,10.6,393.0,499.0,78.8,6687.0,2373.0,177.0,214.0,82.7,178.0,203.0,87.7,30.0,51.0,58.8,0,0.3,0.4,-0.3,5.0,55.0,6.0,0.0,68.0,Matches
