Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Ignacio Chicco,ar ARG,GK,26.0,27,27,2430.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Facundo Garcés,ar ARG,DF,23.0,26,26,2340.0,26.0,1.0,0.0,1.0,1.0,0.0,0.0,6.0,0.0,1.5,1.5,0.6,2.1,8.0,64.0,4.0,0.04,0.0,0.04,0.04,0.04,0.06,0.02,0.08,0.06,0.08,Matches
Santiago Pierotti,ar ARG,"FW,MF",21.0,26,24,2115.0,23.5,2.0,0.0,2.0,2.0,0.0,0.0,6.0,0.0,3.8,3.8,1.3,5.1,72.0,45.0,154.0,0.09,0.0,0.09,0.09,0.09,0.16,0.05,0.22,0.16,0.22,Matches
Paolo Goltz,ar ARG,DF,37.0,23,22,2001.0,22.2,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,0.3,1.2,0.0,26.0,8.0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
Eric Meza,ar ARG,"DF,FW",23.0,25,22,1871.0,20.8,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,0.9,0.9,3.4,4.3,61.0,61.0,83.0,0.1,0.14,0.24,0.1,0.24,0.04,0.17,0.21,0.04,0.21,Matches
Baldomero Perlaza,co COL,MF,30.0,22,21,1895.0,21.1,1.0,2.0,3.0,1.0,0.0,0.0,5.0,0.0,1.8,1.8,1.9,3.6,14.0,67.0,41.0,0.05,0.09,0.14,0.05,0.14,0.08,0.09,0.17,0.08,0.17,Matches
Rafael Marcelo Delgado,ar ARG,DF,33.0,21,21,1800.0,20.0,0.0,3.0,3.0,0.0,0.0,0.0,5.0,1.0,0.2,0.2,1.6,1.8,22.0,105.0,34.0,0.0,0.15,0.15,0.0,0.15,0.01,0.08,0.09,0.01,0.09,Matches
Ramón Ábila,ar ARG,FW,33.0,25,17,1571.0,17.5,6.0,3.0,9.0,6.0,0.0,1.0,4.0,0.0,5.0,4.1,2.5,6.6,19.0,26.0,107.0,0.34,0.17,0.52,0.34,0.52,0.29,0.14,0.43,0.23,0.38,Matches
Juan Álvarez,ar ARG,"MF,FW",26.0,19,16,1370.0,15.2,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.2,2.2,41.0,57.0,91.0,0.07,0.07,0.13,0.07,0.13,0.07,0.08,0.15,0.07,0.15,Matches
Gian Nardelli,ar ARG,DF,22.0,16,13,1199.0,13.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.2,0.2,10.0,28.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
