Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Nicolás Fernández,ar ARG,FW,26.0,23.6,4,0,0,17,31,18,7,0,7,1,0,0,65,11,44,20.0,Matches
Alexis Soto,ar ARG,DF,29.0,22.5,5,1,0,30,11,0,38,35,31,0,0,0,147,27,26,50.9,Matches
Tomás Cardona,ar ARG,DF,27.0,22.0,10,0,0,24,10,1,0,36,22,0,0,0,108,80,40,66.7,Matches
Kevin Facundo Gutiérrez,ar ARG,MF,25.0,21.8,5,2,0,21,13,0,6,27,36,0,0,0,201,4,11,26.7,Matches
Ezequiel Unsain,ar ARG,GK,27.0,21.0,0,0,0,0,2,0,0,1,0,0,0,0,28,9,0,100.0,Matches
Agustín Sant'Anna,uy URU,DF,25.0,20.7,7,0,0,28,2,1,70,33,36,0,0,0,139,45,32,58.4,Matches
Julián López,ar ARG,MF,23.0,17.7,3,0,0,34,27,0,15,13,19,0,0,0,140,19,29,39.6,Matches
Nazareno Colombo,ar ARG,DF,23.0,17.0,6,0,0,16,19,0,10,27,15,1,0,0,120,43,38,53.1,Matches
David Barbona,ar ARG,"MF,FW",27.0,16.9,3,0,0,11,14,1,64,7,16,0,0,0,114,10,16,38.5,Matches
Santiago Solari,ar ARG,"FW,MF",25.0,15.5,3,0,0,22,19,6,32,12,27,0,0,0,104,16,12,57.1,Matches
Gastón Togni,ar ARG,"FW,MF",25.0,14.6,0,0,0,8,15,13,117,3,2,0,0,0,50,12,15,44.4,Matches
Gabriel Alanís,ar ARG,"FW,MF",28.0,13.1,1,0,0,17,16,4,16,6,16,0,0,0,64,13,18,41.9,Matches
Julián Malatini,ar ARG,DF,21.0,10.8,4,0,0,13,7,0,0,14,8,0,0,0,60,25,17,59.5,Matches
Rodrigo Bogarín,py PAR,MF,25.0,6.5,3,0,0,11,8,0,17,6,6,0,0,0,33,6,6,50.0,Matches
Nicolás Tripichio,ar ARG,"MF,DF",27.0,9.1,0,0,0,10,12,2,15,10,11,0,0,0,53,11,14,44.0,Matches
Lautaro Escalante,ar ARG,MF,23.0,7.1,5,1,1,10,11,0,8,6,8,0,0,0,72,7,6,53.8,Matches
Enrique Bologna,ar ARG,GK,40.0,6.0,0,0,0,0,2,0,0,0,0,0,0,0,1,1,1,50.0,Matches
Darío Cáceres,py PAR,"DF,MF",25.0,6.1,1,0,0,6,2,0,16,9,8,0,0,0,41,16,3,84.2,Matches
Santi Ramos Mingo,ar ARG,DF,21.0,5.3,1,1,0,5,8,1,2,7,1,0,0,0,24,17,6,73.9,Matches
Gonzalo Castellani,ar ARG,MF,35.0,3.5,2,1,1,10,10,0,9,6,7,0,0,0,30,8,5,61.5,Matches
Benjamín Schamine,ar ARG,"MF,FW",19.0,1.6,1,0,0,1,3,0,1,0,2,0,0,0,4,2,3,40.0,Matches
Federico Versaci,ar ARG,"FW,MF",20.0,1.5,0,0,0,1,4,1,4,0,2,0,0,0,10,0,1,0.0,Matches
Juan Miritello,ar ARG,"FW,MF",23.0,2.4,2,0,0,4,5,9,0,1,0,1,0,0,7,14,14,50.0,Matches
Andrés Ríos,ar ARG,"FW,MF",33.0,1.3,0,0,0,4,2,0,0,0,0,0,0,0,4,3,6,33.3,Matches
Thiago Schiavulli,ar ARG,DF,19.0,1.0,0,0,0,4,1,0,0,1,2,0,0,0,9,2,3,40.0,Matches
Esteban Lucero,ar ARG,DF,17.0,0.9,0,0,0,2,0,0,0,1,1,0,1,0,6,1,1,50.0,Matches
Alan Morinigo,ar ARG,FW,17.0,0.6,0,0,0,1,0,0,3,0,0,0,0,0,2,0,1,0.0,Matches
Edwin Mosquera,co COL,"FW,MF",21.0,1.4,1,0,0,3,0,3,3,1,1,0,0,0,7,1,3,25.0,Matches
Ángel Benítez,py PAR,MF,27.0,0.9,2,0,0,5,1,0,0,1,2,0,0,0,4,2,1,66.7,Matches
Facundo Echevarría,ar ARG,FW,20.0,0.5,0,0,0,1,1,0,1,2,1,0,0,0,4,0,1,0.0,Matches
Tomás Ortiz,ar ARG,FW,22.0,0.4,0,0,0,1,1,0,1,0,1,0,0,0,2,1,2,33.3,Matches
Lautaro Fedele,ar ARG,FW,21.0,0.1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,,Matches
Lautaro Vargas,ar ARG,DF,17.0,0.1,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,,Matches
Ricardo Solbes,ar ARG,MF,16.0,0.1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,Matches
Squad Total,,,26.3,27.0,70,6,2,321,257,60,456,266,289,3,1,0,1656,406,375,52.0,
Opponent Total,,,27.2,27.0,51,3,2,271,312,53,630,248,331,1,4,1,1571,360,387,48.2,
