Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Jorge Agustín Rodríguez,ar ARG,"MF,DF",27.0,25.8,1254,1590,78.9,23978,10747,472,557,84.7,610,716,85.2,155,254,61.0,1,1.0,1.6,0.0,16,171,15,2,201,Matches
Benjamín Rollheiser,ar ARG,"MF,FW",22.0,22.5,829,1119,74.1,14356,3518,429,509,84.3,282,373,75.6,98,182,53.8,3,3.1,3.2,-0.1,38,99,38,5,151,Matches
Mariano Andújar,ar ARG,GK,39.0,25.0,484,685,70.7,14242,11551,64,65,98.5,267,273,97.8,152,345,44.1,0,0.0,0.0,0.0,0,8,1,0,1,Matches
Santiago Ascacíbar,ar ARG,MF,25.0,24.3,1009,1231,82.0,16366,4836,502,576,87.2,395,466,84.8,73,106,68.9,1,1.7,2.3,-0.7,14,148,13,1,144,Matches
Luciano Lollo,ar ARG,DF,35.0,22.9,823,1008,81.6,18008,8772,192,225,85.3,462,518,89.2,158,236,66.9,0,0.4,0.9,-0.4,4,52,4,0,68,Matches
Zaid Romero,ar ARG,DF,23.0,21.2,837,1052,79.6,15693,6589,320,350,91.4,410,460,89.1,98,203,48.3,1,0.5,0.3,0.5,6,75,7,3,79,Matches
Leonardo Godoy,ar ARG,"DF,FW",27.0,19.7,553,809,68.4,9827,4130,237,283,83.7,252,343,73.5,53,139,38.1,5,4.2,3.6,0.8,22,32,17,13,57,Matches
Mauro Boselli,ar ARG,FW,37.0,15.2,202,302,66.9,3089,301,116,154,75.3,56,90,62.2,20,29,69.0,2,1.8,1.0,0.2,14,12,3,0,16,Matches
Fernando Zuqui,ar ARG,MF,31.0,16.1,597,813,73.4,10856,3938,265,305,86.9,228,288,79.2,84,166,50.6,4,2.6,3.6,1.4,46,76,19,7,98,Matches
Gastón Benedetti,ar ARG,"DF,FW",21.0,15.6,567,791,71.7,10216,3203,236,278,84.9,267,344,77.6,58,135,43.0,1,1.0,1.0,0.0,16,30,18,12,53,Matches
Santiago Núñez,ar ARG,DF,22.0,14.4,507,637,79.6,10266,4387,155,180,86.1,283,326,86.8,65,115,56.5,0,0.3,0.5,-0.3,3,30,6,0,44,Matches
Emmanuel Más,ar ARG,DF,34.0,11.8,419,557,75.2,6933,2638,209,240,87.1,170,220,77.3,34,74,45.9,0,1.0,1.2,-1.0,14,25,21,14,37,Matches
Guido Carrillo,ar ARG,FW,31.0,8.5,184,264,69.7,2611,460,114,143,79.7,52,81,64.2,12,16,75.0,0,1.0,0.8,-1.0,14,13,7,0,26,Matches
Mauro Méndez,uy URU,"FW,MF",24.0,8.2,121,175,69.1,1584,213,80,107,74.8,34,47,72.3,2,5,40.0,0,0.5,0.3,-0.5,3,5,1,0,10,Matches
José Sosa,ar ARG,"MF,FW",37.0,8.9,438,564,77.7,7604,2473,217,247,87.9,149,185,80.5,57,96,59.4,3,2.7,2.0,0.3,24,61,17,2,76,Matches
Eros Mancuso,ar ARG,DF,23.0,7.9,270,397,68.0,4018,1472,146,172,84.9,99,146,67.8,11,47,23.4,0,0.5,1.0,-0.5,8,23,12,7,22,Matches
Matías Godoy,ar ARG,"MF,FW",21.0,7.9,193,277,69.7,3103,743,102,126,81.0,65,90,72.2,18,33,54.5,1,1.4,1.5,-0.4,20,10,13,5,23,Matches
Pablo Piatti,ar ARG,"MF,FW",33.0,4.1,104,151,68.9,1594,529,61,76,80.3,29,41,70.7,10,20,50.0,2,1.3,0.7,0.7,7,7,7,4,12,Matches
Franco Zapiola,ar ARG,"MF,FW",21.0,3.7,125,196,63.8,2102,793,64,85,75.3,47,68,69.1,12,32,37.5,1,1.3,0.7,-0.3,4,16,9,2,24,Matches
Ezequiel Muñoz,ar ARG,DF,32.0,3.3,86,113,76.1,1679,548,30,32,93.8,41,52,78.8,12,21,57.1,0,0.0,0.0,0.0,0,5,0,0,9,Matches
Juan Guasone,ar ARG,DF,21.0,2.5,56,89,62.9,1127,525,21,30,70.0,26,36,72.2,9,21,42.9,0,0.0,0.0,0.0,0,3,0,0,4,Matches
Daniel Sappa,ar ARG,GK,27.0,2.0,30,48,62.5,800,554,4,4,100.0,16,16,100.0,9,26,34.6,0,0.0,0.0,0.0,0,0,0,0,0,Matches
Mateo Pellegrino,ar ARG,"FW,MF",21.0,2.4,30,49,61.2,372,66,21,28,75.0,8,16,50.0,0,2,0.0,0,0.2,0.1,-0.2,1,2,1,0,4,Matches
Nicolás Fernández,ar ARG,"DF,FW",20.0,1.1,22,33,66.7,403,138,6,8,75.0,12,12,100.0,2,6,33.3,0,0.0,0.0,0.0,0,1,0,0,2,Matches
Nicolás Palavecino,ar ARG,"MF,FW",19.0,0.7,15,19,78.9,207,81,8,8,100.0,7,9,77.8,0,1,0.0,0,0.1,0.1,-0.1,1,1,1,0,3,Matches
Martiniano Moreno,ar ARG,"FW,MF",19.0,0.7,10,18,55.6,154,13,6,14,42.9,3,3,100.0,1,1,100.0,0,0.0,0.0,0.0,0,0,0,0,1,Matches
Deian Verón,ar ARG,MF,22.0,0.4,16,25,64.0,265,159,9,10,90.0,5,10,50.0,2,4,50.0,0,0.0,0.0,0.0,0,4,0,0,4,Matches
Axel Atum,ar ARG,"FW,MF",17.0,0.4,15,20,75.0,233,53,8,9,88.9,6,7,85.7,1,4,25.0,1,0.0,0.0,1.0,1,2,1,0,1,Matches
Gonzalo Piñeiro,ar ARG,MF,22.0,0.1,2,4,50.0,33,11,0,0,,2,2,100.0,0,0,,0,0.0,0.0,0.0,0,1,0,0,1,Matches
Squad Total,,,28.8,27.0,9798,13036,75.2,181719,73441,4094,4821,84.9,4283,5238,81.8,1206,2319,52.0,26,26.0,26.6,0.0,276,912,231,77,1171,
Opponent Total,,,26.9,27.0,8034,11011,73.0,147303,61913,3600,4256,84.6,3224,4096,78.7,1018,2018,50.4,11,13.8,14.4,-2.8,174,634,133,37,848,
