Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Jorge Agustín Rodríguez,ar ARG,"MF,DF",27.0,25.8,1590,1533,54,51,6,15,5,3,0,0,0,0,1254,3,27,Matches
Benjamín Rollheiser,ar ARG,"MF,FW",22.0,22.5,1119,1042,74,28,9,27,78,15,30,14,14,0,829,3,14,Matches
Mariano Andújar,ar ARG,GK,39.0,25.0,685,404,280,77,0,0,0,0,0,0,0,0,484,1,0,Matches
Santiago Ascacíbar,ar ARG,MF,25.0,24.3,1231,1210,18,15,3,9,13,3,0,0,0,0,1009,3,25,Matches
Luciano Lollo,ar ARG,DF,35.0,22.9,1008,957,47,44,1,6,2,1,0,0,0,0,823,4,6,Matches
Zaid Romero,ar ARG,DF,23.0,21.2,1052,995,55,44,0,11,7,11,0,0,0,0,837,2,20,Matches
Leonardo Godoy,ar ARG,"DF,FW",27.0,19.7,809,623,186,1,2,3,73,185,0,0,0,0,553,0,24,Matches
Mauro Boselli,ar ARG,FW,37.0,15.2,302,269,31,2,1,2,2,0,0,0,0,0,202,2,8,Matches
Fernando Zuqui,ar ARG,MF,31.0,16.1,813,699,108,52,2,4,96,3,53,20,29,0,597,6,20,Matches
Gastón Benedetti,ar ARG,"DF,FW",21.0,15.6,791,636,154,9,2,8,52,145,0,0,0,0,567,1,22,Matches
Santiago Núñez,ar ARG,DF,22.0,14.4,637,613,23,21,0,1,1,2,0,0,0,0,507,1,3,Matches
Emmanuel Más,ar ARG,DF,34.0,11.8,557,444,113,2,0,3,42,111,0,0,0,0,419,0,12,Matches
Guido Carrillo,ar ARG,FW,31.0,8.5,264,255,7,0,0,1,0,0,0,0,0,0,184,2,1,Matches
Mauro Méndez,uy URU,"FW,MF",24.0,8.2,175,161,13,0,0,1,2,1,0,0,0,0,121,1,3,Matches
José Sosa,ar ARG,"MF,FW",37.0,8.9,564,518,43,18,0,3,43,1,24,8,14,1,438,3,12,Matches
Eros Mancuso,ar ARG,DF,23.0,7.9,397,328,68,1,2,1,37,67,0,0,0,0,270,1,16,Matches
Matías Godoy,ar ARG,"MF,FW",21.0,7.9,277,250,27,2,0,1,39,11,14,2,11,0,193,0,13,Matches
Pablo Piatti,ar ARG,"MF,FW",33.0,4.1,151,145,6,1,1,0,18,0,5,3,2,0,104,0,8,Matches
Franco Zapiola,ar ARG,"MF,FW",21.0,3.7,196,180,15,3,0,1,32,3,9,0,7,0,125,1,6,Matches
Ezequiel Muñoz,ar ARG,DF,32.0,3.3,113,109,3,3,0,3,0,0,0,0,0,0,86,1,2,Matches
Juan Guasone,ar ARG,DF,21.0,2.5,89,85,4,2,0,1,0,2,0,0,0,0,56,0,0,Matches
Daniel Sappa,ar ARG,GK,27.0,2.0,48,32,16,7,0,1,0,0,0,0,0,0,30,0,1,Matches
Mateo Pellegrino,ar ARG,"FW,MF",21.0,2.4,49,48,1,0,0,0,0,0,0,0,0,0,30,0,1,Matches
Nicolás Fernández,ar ARG,"DF,FW",20.0,1.1,33,32,1,0,0,0,0,1,0,0,0,0,22,0,2,Matches
Nicolás Palavecino,ar ARG,"MF,FW",19.0,0.7,19,19,0,0,0,0,1,0,0,0,0,0,15,0,1,Matches
Martiniano Moreno,ar ARG,"FW,MF",19.0,0.7,18,17,1,0,0,0,1,0,0,0,0,0,10,0,0,Matches
Deian Verón,ar ARG,MF,22.0,0.4,25,24,1,0,0,0,0,1,0,0,0,0,16,0,0,Matches
Axel Atum,ar ARG,"FW,MF",17.0,0.4,20,20,0,0,1,1,0,0,0,0,0,0,15,0,0,Matches
Gonzalo Piñeiro,ar ARG,MF,22.0,0.1,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches
Squad Total,,,28.8,27.0,13036,11652,1349,383,30,103,544,566,135,47,77,1,9798,35,247,
Opponent Total,,,26.9,27.0,11011,9642,1326,328,20,93,493,577,114,33,64,2,8034,43,262,
