Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Tomás Durso,ar ARG,GK,23.0,26.0,3,0,0,0,0,0,0,1,1,0.0,0.0,0,21.0,3.0,2.0,60.0,Matches
Felipe Sánchez,,DF,,25.8,7,0,0,26,10,1,1,29,21,,,0,,,,,Matches
Leonardo Morales,ar ARG,DF,31.0,23.9,4,0,0,15,11,2,4,40,24,0.0,0.0,0,184.0,49.0,43.0,53.3,Matches
Ignacio Miramon,ar ARG,MF,19.0,18.8,9,1,0,29,55,0,18,17,54,0.0,0.0,0,185.0,24.0,21.0,53.3,Matches
Matías Melluso,ar ARG,DF,24.0,15.7,3,0,0,23,27,0,33,37,47,0.0,0.0,0,126.0,24.0,28.0,46.2,Matches
Franco Soldano,ar ARG,"FW,MF",28.0,15.0,1,0,0,12,12,5,24,9,16,0.0,0.0,0,41.0,97.0,89.0,52.2,Matches
Alan Lescano,,"MF,FW",,13.6,4,0,0,20,15,1,57,12,11,0.0,0.0,0,119.0,7.0,15.0,31.8,Matches
Cristian Tarragona,ar ARG,FW,31.0,15.2,6,0,0,29,35,13,7,0,10,0.0,0.0,0,48.0,20.0,70.0,22.2,Matches
Guillermo Enrique,ar ARG,DF,22.0,13.7,2,1,0,19,16,3,45,14,22,0.0,2.0,1,105.0,28.0,19.0,59.6,Matches
Benjamín Domínguez,ar ARG,FW,19.0,12.7,0,0,0,5,29,5,26,1,4,0.0,0.0,0,44.0,7.0,19.0,26.9,Matches
Bautista Barros Schelotto,ar ARG,DF,23.0,12.7,2,0,0,11,5,0,47,9,20,0.0,1.0,0,69.0,14.0,21.0,40.0,Matches
Agustín Bolívar,ar ARG,MF,27.0,11.9,1,0,0,15,9,0,3,18,16,0.0,0.0,0,91.0,15.0,25.0,37.5,Matches
Nicolás Colazo,ar ARG,"DF,MF",32.0,9.7,1,0,0,4,2,0,43,16,12,0.0,0.0,0,67.0,15.0,18.0,45.5,Matches
Erik Ramírez,ar ARG,"FW,MF",26.0,11.1,4,0,0,15,16,6,53,5,14,,,0,,,,,Matches
Nicolás Sánchez,ar ARG,MF,18.0,6.4,1,0,0,7,11,0,1,13,7,0.0,0.0,0,50.0,4.0,9.0,30.8,Matches
