Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Tomás Durso,ar ARG,GK,23.0,26.0,614.0,325.0,286.0,83.0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,349.0,3.0,0.0,Matches
Felipe Sánchez,,DF,,25.8,,,,,,,1,,,,,,,,,Matches
Leonardo Morales,ar ARG,DF,31.0,23.9,905.0,827.0,74.0,64.0,0.0,11.0,4,10.0,0.0,0.0,0.0,0.0,653.0,4.0,15.0,Matches
Ignacio Miramon,ar ARG,MF,19.0,18.8,768.0,743.0,21.0,15.0,1.0,16.0,18,6.0,0.0,0.0,0.0,0.0,561.0,4.0,10.0,Matches
Matías Melluso,ar ARG,DF,24.0,15.7,724.0,548.0,175.0,21.0,2.0,14.0,33,154.0,0.0,0.0,0.0,0.0,482.0,1.0,22.0,Matches
Franco Soldano,ar ARG,"FW,MF",28.0,15.0,360.0,347.0,11.0,0.0,0.0,2.0,24,8.0,0.0,0.0,0.0,0.0,164.0,2.0,19.0,Matches
Alan Lescano,,"MF,FW",,13.6,540.0,446.0,89.0,35.0,5.0,14.0,57,5.0,48.0,19.0,18.0,1.0,388.0,5.0,13.0,Matches
Cristian Tarragona,ar ARG,FW,31.0,15.2,366.0,334.0,31.0,0.0,0.0,5.0,7,1.0,0.0,0.0,0.0,0.0,249.0,1.0,20.0,Matches
Guillermo Enrique,ar ARG,DF,22.0,13.7,497.0,317.0,178.0,7.0,0.0,1.0,45,170.0,1.0,0.0,0.0,0.0,256.0,2.0,23.0,Matches
Benjamín Domínguez,ar ARG,FW,19.0,12.7,244.0,242.0,2.0,0.0,1.0,1.0,26,1.0,1.0,0.0,0.0,0.0,149.0,0.0,14.0,Matches
