Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Tomás Durso,ar ARG,GK,23.0,26,2340.0,90.0,96.3,26.0,26,90.0,26,0,,1,1.15,24.0,35.0,-11.0,-0.42,2.58,27.6,30.4,-2.8,-0.11,1.54,Matches
Felipe Sánchez,,DF,,26,2323.0,89.0,95.6,25.8,26,89.0,25,0,,0,1.15,24.0,35.0,-11.0,-0.43,2.1,,,,,,Matches
Leonardo Morales,ar ARG,DF,31.0,24,2152.0,90.0,88.6,23.9,24,90.0,23,0,,0,0.96,17.0,35.0,-18.0,-0.75,-2.05,24.7,28.3,-3.6,-0.15,0.13,Matches
Ignacio Miramon,ar ARG,MF,19.0,21,1691.0,81.0,69.6,18.8,20,82.0,16,1,45.0,1,0.95,17.0,27.0,-10.0,-0.53,-0.05,20.6,19.0,1.6,0.09,0.83,Matches
Matías Melluso,ar ARG,DF,24.0,16,1415.0,88.0,58.2,15.7,16,88.0,14,0,,2,1.19,13.0,20.0,-7.0,-0.45,0.18,16.1,19.7,-3.5,-0.22,-0.14,Matches
Franco Soldano,ar ARG,"FW,MF",28.0,20,1346.0,67.0,55.4,15.0,16,78.0,7,4,26.0,4,1.15,13.0,20.0,-7.0,-0.47,0.11,12.7,18.8,-6.1,-0.41,-0.54,Matches
Alan Lescano,,"MF,FW",,20,1226.0,61.0,50.5,13.6,16,71.0,3,4,22.0,5,1.1,10.0,19.0,-9.0,-0.66,-0.29,11.7,16.0,-4.4,-0.32,-0.31,Matches
Cristian Tarragona,ar ARG,FW,31.0,19,1364.0,72.0,56.1,15.2,15,82.0,8,4,35.0,0,1.26,12.0,16.0,-4.0,-0.26,0.58,14.4,16.0,-1.6,-0.11,0.13,Matches
Guillermo Enrique,ar ARG,DF,22.0,17,1230.0,72.0,50.6,13.7,15,81.0,11,2,9.0,4,0.94,8.0,18.0,-10.0,-0.73,-0.43,12.8,16.4,-3.6,-0.26,-0.2,Matches
Benjamín Domínguez,ar ARG,FW,19.0,15,1142.0,76.0,47.0,12.7,14,79.0,6,1,34.0,2,0.8,10.0,20.0,-10.0,-0.79,-0.51,14.0,12.2,1.8,0.14,0.58,Matches
Bautista Barros Schelotto,ar ARG,DF,23.0,14,1143.0,82.0,47.0,12.7,13,88.0,11,1,1.0,10,1.14,14.0,18.0,-4.0,-0.31,0.38,14.5,15.9,-1.4,-0.11,0.11,Matches
Agustín Bolívar,ar ARG,MF,27.0,16,1075.0,67.0,44.2,11.9,12,79.0,7,4,32.0,9,1.13,10.0,17.0,-7.0,-0.59,-0.12,11.1,17.8,-6.7,-0.56,-0.7,Matches
Nicolás Colazo,ar ARG,"DF,MF",32.0,13,871.0,67.0,35.8,9.7,11,77.0,5,2,13.0,4,1.31,11.0,10.0,1.0,0.1,0.97,8.3,11.8,-3.5,-0.36,-0.31,Matches
Erik Ramírez,ar ARG,"FW,MF",26.0,21,1001.0,48.0,41.2,11.1,10,73.0,0,11,25.0,0,1.1,10.0,16.0,-6.0,-0.54,-0.04,,,,,,Matches
Nicolás Sánchez,ar ARG,MF,18.0,9,580.0,64.0,23.9,6.4,8,70.0,0,1,18.0,7,1.44,8.0,9.0,-1.0,-0.16,0.48,5.3,8.9,-3.7,-0.57,-0.53,Matches
Antonio Napolitano,ar ARG,"MF,FW",23.0,13,602.0,46.0,24.8,6.7,6,70.0,1,7,26.0,5,1.23,2.0,8.0,-6.0,-0.9,-0.5,5.2,9.1,-3.9,-0.58,-0.55,Matches
Maximiliano Comba,ar ARG,MF,29.0,12,532.0,44.0,21.9,5.9,6,66.0,0,6,23.0,5,0.83,5.0,9.0,-4.0,-0.68,-0.2,8.0,7.2,0.8,0.14,0.39,Matches
Ivo Mammini,ar ARG,"FW,MF",19.0,17,657.0,39.0,27.0,7.3,5,69.0,0,12,26.0,10,0.82,8.0,12.0,-4.0,-0.55,-0.04,8.1,7.8,0.3,0.04,0.28,Matches
Alan Sosa,,MF,,12,498.0,42.0,20.5,5.5,5,72.0,1,7,20.0,3,1.0,6.0,9.0,-3.0,-0.54,-0.03,,,,,,Matches
Alexis Steimbach,ar ARG,FW,20.0,12,487.0,41.0,20.0,5.4,5,72.0,1,7,18.0,14,1.42,6.0,9.0,-3.0,-0.55,-0.04,6.6,8.5,-1.9,-0.36,-0.24,Matches
