Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Diego Matías Rodríguez,ar ARG,GK,33.0,26.0,4,0,0,1,7,0,0,1,2,0.0,1.0,0,22.0,6.0,0.0,100.0,Matches
Federico Rasmussen,ar ARG,DF,30.0,26.0,4,0,0,28,22,0,0,51,36,0.0,1.0,0,186.0,69.0,42.0,62.2,Matches
Gonzalo Abrego,ar ARG,MF,23.0,23.7,2,0,0,19,10,3,20,21,30,0.0,0.0,0,161.0,35.0,56.0,38.5,Matches
Roberto Nicolás Fernández,uy URU,MF,24.0,23.3,7,0,0,34,23,2,75,19,32,,,0,,,,,Matches
Pier Barrios,ar ARG,DF,32.0,23.1,8,0,0,20,26,3,14,17,18,0.0,0.0,0,128.0,43.0,34.0,55.8,Matches
Lucas Arce,ar ARG,DF,25.0,23.3,5,0,0,29,11,0,69,26,31,0.0,0.0,0,133.0,34.0,36.0,48.6,Matches
Salomón Rodríguez,uy URU,FW,22.0,19.7,5,0,0,30,19,14,10,3,7,0.0,0.0,0,47.0,42.0,63.0,40.0,Matches
Hernán López Muñoz,ar ARG,MF,22.0,17.0,7,0,0,28,44,1,70,8,21,0.0,0.0,0,103.0,5.0,17.0,22.7,Matches
Tadeo Allende,ar ARG,"FW,MF",23.0,18.2,2,0,0,16,13,3,44,9,20,0.0,0.0,0,94.0,49.0,38.0,56.3,Matches
Bruno Leyes,ar ARG,MF,21.0,14.6,5,1,0,32,20,0,7,31,14,0.0,1.0,0,122.0,23.0,16.0,59.0,Matches
Thomas Galdames,cl CHI,DF,24.0,14.4,3,1,0,21,9,0,45,22,16,0.0,2.0,0,63.0,18.0,24.0,42.9,Matches
Tomás Conechny,ar ARG,"FW,MF",24.0,15.9,2,0,0,20,14,10,31,8,16,0.0,0.0,0,89.0,68.0,60.0,53.1,Matches
Juan Meli,ar ARG,DF,22.0,11.9,3,0,0,13,5,0,18,20,12,,,0,,,,,Matches
Juan Andrada,ar ARG,MF,28.0,6.8,1,1,0,3,11,0,4,13,4,0.0,0.0,0,67.0,10.0,6.0,62.5,Matches
Brian Salvareschi,ar ARG,DF,23.0,5.3,4,1,0,6,3,0,0,13,7,0.0,0.0,1,38.0,24.0,11.0,68.6,Matches
Matías Ramírez,ar ARG,"MF,FW",23.0,5.7,1,0,0,11,9,0,43,6,2,0.0,0.0,0,32.0,5.0,4.0,55.6,Matches
Gianluca Ferrari,ar ARG,DF,25.0,2.5,0,0,0,1,2,0,0,0,4,0.0,0.0,0,7.0,7.0,7.0,50.0,Matches
Cristian Núñez,py PAR,MF,25.0,5.2,3,0,0,12,2,0,2,7,17,0.0,0.0,0,73.0,12.0,9.0,57.1,Matches
Enzo Larrosa,uy URU,"FW,MF",21.0,3.9,1,1,0,10,5,6,1,0,1,0.0,0.0,0,9.0,12.0,25.0,32.4,Matches
Luciano Cingolani,ar ARG,FW,21.0,2.0,2,0,0,12,0,2,6,1,5,,,0,,,,,Matches
Mateo Mendoza,ar ARG,DF,18.0,1.2,0,0,0,0,0,0,0,2,3,0.0,0.0,0,5.0,0.0,1.0,0.0,Matches
Silvio Ulariaga,ar ARG,FW,20.0,1.0,0,0,0,0,0,0,1,0,0,,,0,,,,,Matches
Claudio Valverde,ar ARG,MF,20.0,1.0,1,0,0,3,0,0,3,1,1,0.0,0.0,0,11.0,1.0,1.0,50.0,Matches
Rodrigo Saracho,ar ARG,GK,29.0,1.0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,0.0,0.0,1.0,0.0,Matches
Julián Eseiza,ar ARG,"DF,MF",20.0,1.9,1,0,0,3,1,0,6,2,3,0.0,0.0,0,15.0,5.0,3.0,62.5,Matches
Gastón Pedernera,ar ARG,MF,22.0,0.5,1,0,0,1,0,0,2,0,0,0.0,0.0,0,0.0,1.0,2.0,33.3,Matches
Facundo Altamira,,GK,,0.2,0,0,0,0,0,0,0,0,0,,,0,,,,,Matches
Enzo Rivamar,ar ARG,MF,20.0,0.2,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,4.0,0.0,Matches
Squad Total,,,26.0,27.0,72,5,0,353,257,44,471,281,302,0.0,5.0,1,1406.0,469.0,460.0,50.5,
Opponent Total,,,27.1,27.0,51,4,0,287,328,51,456,262,380,3.0,3.0,2,1617.0,495.0,512.0,49.2,
