Player,Nation,Pos,Age,MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Diego Matías Rodríguez,ar ARG,GK,33.0,26,2340.0,90.0,96.3,26.0,26,90.0,26,0,,0,1.46,33.0,30.0,3.0,0.12,-1.88,29.6,33.6,-3.9,-0.15,-0.46,Matches
Federico Rasmussen,ar ARG,DF,30.0,26,2340.0,90.0,96.3,26.0,26,90.0,26,0,,1,1.46,35.0,32.0,3.0,0.12,-1.88,30.6,34.0,-3.4,-0.13,0.08,Matches
Gonzalo Abrego,ar ARG,MF,23.0,26,2134.0,82.0,87.8,23.7,26,82.0,15,0,,0,1.58,32.0,26.0,6.0,0.25,0.56,26.4,30.6,-4.2,-0.18,-0.37,Matches
Roberto Nicolás Fernández,uy URU,MF,24.0,26,2099.0,81.0,86.4,23.3,25,83.0,15,1,28.0,0,1.46,30.0,30.0,0.0,0.0,-1.36,,,,,,Matches
Pier Barrios,ar ARG,DF,32.0,24,2081.0,87.0,85.6,23.1,24,87.0,20,0,,2,1.54,30.0,25.0,5.0,0.22,0.22,26.5,29.4,-2.9,-0.13,0.05,Matches
Lucas Arce,ar ARG,DF,25.0,26,2094.0,81.0,86.2,23.3,23,87.0,20,3,34.0,0,1.54,35.0,28.0,7.0,0.3,0.84,28.0,29.2,-1.3,-0.05,0.57,Matches
Salomón Rodríguez,uy URU,FW,22.0,26,1774.0,68.0,73.0,19.7,21,77.0,5,5,29.0,0,1.58,25.0,25.0,0.0,0.0,-0.69,19.6,27.1,-7.5,-0.38,-0.92,Matches
Hernán López Muñoz,ar ARG,MF,22.0,21,1526.0,73.0,62.8,17.0,20,75.0,6,1,28.0,5,1.62,28.0,21.0,7.0,0.41,0.61,21.7,21.9,-0.2,-0.01,0.33,Matches
Tadeo Allende,ar ARG,"FW,MF",23.0,22,1639.0,75.0,67.4,18.2,18,81.0,11,4,44.0,1,1.64,26.0,20.0,6.0,0.33,0.44,24.8,25.1,-0.3,-0.01,0.37,Matches
Bruno Leyes,ar ARG,MF,21.0,20,1318.0,66.0,54.2,14.6,18,69.0,1,2,43.0,4,1.45,23.0,17.0,6.0,0.41,0.49,17.4,19.8,-2.4,-0.17,-0.07,Matches
Thomas Galdames,cl CHI,DF,24.0,21,1296.0,62.0,53.3,14.4,18,71.0,4,3,8.0,5,1.62,23.0,14.0,9.0,0.62,0.94,14.2,16.8,-2.6,-0.18,-0.1,Matches
