Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Diego Matías Rodríguez,ar ARG,GK,33.0,26,26,2340.0,26.0,3.0,0.0,3.0,0.0,3.0,3.0,4.0,0.0,2.4,0.0,0.1,0.1,0.0,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.09,0.0,0.09,0.0,0.0,Matches
Federico Rasmussen,ar ARG,DF,30.0,26,26,2340.0,26.0,0.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.5,0.5,0.2,0.8,10.0,45.0,2.0,0.0,0.04,0.04,0.0,0.04,0.02,0.01,0.03,0.02,0.03,Matches
Gonzalo Abrego,ar ARG,MF,23.0,26,26,2134.0,23.7,3.0,1.0,4.0,3.0,0.0,0.0,2.0,0.0,2.1,2.1,0.8,2.9,24.0,113.0,78.0,0.13,0.04,0.17,0.13,0.17,0.09,0.03,0.12,0.09,0.12,Matches
Roberto Nicolás Fernández,uy URU,MF,24.0,26,25,2099.0,23.3,1.0,1.0,2.0,1.0,0.0,0.0,7.0,0.0,,,,,,,,0.04,0.04,0.09,0.04,0.09,,,,,,Matches
Pier Barrios,ar ARG,DF,32.0,24,24,2081.0,23.1,0.0,1.0,1.0,0.0,0.0,0.0,8.0,0.0,0.4,0.4,0.4,0.8,17.0,65.0,21.0,0.0,0.04,0.04,0.0,0.04,0.02,0.02,0.03,0.02,0.03,Matches
Lucas Arce,ar ARG,DF,25.0,26,23,2094.0,23.3,1.0,1.0,2.0,1.0,0.0,0.0,5.0,0.0,0.4,0.4,2.9,3.3,43.0,113.0,105.0,0.04,0.04,0.09,0.04,0.09,0.02,0.12,0.14,0.02,0.14,Matches
Salomón Rodríguez,uy URU,FW,22.0,26,21,1774.0,19.7,5.0,5.0,10.0,5.0,0.0,0.0,5.0,0.0,5.8,5.8,2.2,8.0,19.0,34.0,99.0,0.25,0.25,0.51,0.25,0.51,0.29,0.11,0.41,0.29,0.41,Matches
Hernán López Muñoz,ar ARG,MF,22.0,21,20,1526.0,17.0,3.0,3.0,6.0,3.0,0.0,0.0,7.0,0.0,2.4,2.4,3.7,6.1,58.0,94.0,84.0,0.18,0.18,0.35,0.18,0.35,0.14,0.22,0.36,0.14,0.36,Matches
Tadeo Allende,ar ARG,"FW,MF",23.0,22,18,1639.0,18.2,6.0,2.0,8.0,6.0,0.0,0.0,2.0,0.0,7.0,7.0,3.0,10.0,43.0,41.0,140.0,0.33,0.11,0.44,0.33,0.44,0.38,0.17,0.55,0.38,0.55,Matches
Bruno Leyes,ar ARG,MF,21.0,20,18,1318.0,14.6,0.0,1.0,1.0,0.0,0.0,0.0,5.0,1.0,0.1,0.1,0.6,0.7,9.0,61.0,6.0,0.0,0.07,0.07,0.0,0.07,0.01,0.04,0.05,0.01,0.05,Matches
Thomas Galdames,cl CHI,DF,24.0,21,18,1296.0,14.4,2.0,1.0,3.0,2.0,0.0,0.0,3.0,1.0,0.3,0.3,0.5,0.8,7.0,36.0,18.0,0.14,0.07,0.21,0.14,0.21,0.02,0.03,0.06,0.02,0.06,Matches
Tomás Conechny,ar ARG,"FW,MF",24.0,24,16,1430.0,15.9,6.0,3.0,9.0,6.0,0.0,0.0,2.0,0.0,5.3,5.3,2.6,7.9,21.0,52.0,109.0,0.38,0.19,0.57,0.38,0.57,0.33,0.17,0.5,0.33,0.5,Matches
Juan Meli,ar ARG,DF,22.0,20,10,1068.0,11.9,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,Matches
Juan Andrada,ar ARG,MF,28.0,12,7,608.0,6.8,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.1,0.1,0.2,0.3,4.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,Matches
