Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Rodrigo Rey,ar ARG,GK,31.0,27.0,678.0,376.0,302.0,85.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,376.0,0.0,0.0,Matches
Ayrton Costa,ar ARG,DF,23.0,24.0,1089.0,826.0,259.0,11.0,2.0,2.0,51,248.0,0.0,0.0,0.0,0.0,685.0,4.0,45.0,Matches
Martín Cauteruccio,uy URU,FW,35.0,23.8,420.0,363.0,55.0,2.0,1.0,0.0,9,1.0,0.0,0.0,0.0,0.0,304.0,2.0,14.0,Matches
Cristian Báez,py PAR,DF,32.0,22.5,915.0,790.0,121.0,55.0,1.0,19.0,13,66.0,0.0,0.0,0.0,0.0,617.0,4.0,14.0,Matches
Iván Marcone,ar ARG,MF,32.0,20.3,921.0,883.0,35.0,32.0,0.0,3.0,5,3.0,0.0,0.0,0.0,0.0,722.0,3.0,13.0,Matches
Mateo Barcia,uy URU,"DF,MF",21.0,18.0,501.0,418.0,83.0,3.0,1.0,3.0,55,80.0,0.0,0.0,0.0,0.0,309.0,0.0,25.0,Matches
Matías Giménez,ar ARG,"FW,MF",23.0,18.4,467.0,452.0,9.0,1.0,2.0,1.0,17,3.0,0.0,0.0,0.0,0.0,300.0,6.0,21.0,Matches
Sergio Ortíz,ar ARG,MF,21.0,16.2,522.0,483.0,37.0,16.0,2.0,3.0,37,5.0,16.0,7.0,8.0,0.0,336.0,2.0,13.0,Matches
Sergio Barreto,ar ARG,DF,23.0,12.9,465.0,445.0,18.0,17.0,0.0,3.0,1,1.0,0.0,0.0,0.0,0.0,335.0,2.0,4.0,Matches
Javier Vallejo,ar ARG,"MF,FW",19.0,12.7,291.0,257.0,33.0,11.0,0.0,2.0,63,0.0,22.0,9.0,8.0,0.0,177.0,1.0,13.0,Matches
Edgar Elizalde,uy URU,DF,22.0,12.6,555.0,521.0,34.0,25.0,0.0,8.0,6,9.0,0.0,0.0,0.0,0.0,366.0,0.0,9.0,Matches
Brian Martínez,ar ARG,"FW,MF",23.0,12.0,,,,,,,52,,,,,,,,,Matches
Luciano Gómez,ar ARG,DF,26.0,7.8,336.0,251.0,84.0,4.0,0.0,0.0,33,79.0,1.0,0.0,1.0,0.0,218.0,1.0,13.0,Matches
Joaquín Laso,ar ARG,DF,32.0,10.3,433.0,397.0,34.0,27.0,0.0,5.0,3,7.0,0.0,0.0,0.0,0.0,312.0,2.0,4.0,Matches
Kevin Lopez,ar ARG,MF,21.0,8.3,408.0,388.0,17.0,12.0,0.0,3.0,14,3.0,2.0,1.0,1.0,0.0,325.0,3.0,9.0,Matches
Martín Sarrafiore,ar ARG,MF,25.0,7.9,324.0,296.0,25.0,8.0,0.0,1.0,27,2.0,15.0,4.0,4.0,0.0,224.0,3.0,12.0,Matches
Agustín Mulet,ar ARG,MF,22.0,6.3,193.0,187.0,6.0,5.0,0.0,1.0,1,0.0,0.0,0.0,0.0,0.0,141.0,0.0,4.0,Matches
Juan Cazares,ec ECU,"MF,FW",30.0,7.4,336.0,290.0,42.0,24.0,4.0,7.0,32,3.0,15.0,6.0,6.0,0.0,242.0,4.0,10.0,Matches
Damián Pérez,ar ARG,DF,34.0,4.8,222.0,160.0,62.0,3.0,1.0,1.0,15,56.0,3.0,2.0,0.0,0.0,161.0,0.0,5.0,Matches
Javier Osatchuk,ar ARG,DF,22.0,4.8,234.0,187.0,47.0,2.0,0.0,4.0,6,45.0,0.0,0.0,0.0,0.0,141.0,0.0,9.0,Matches
Mauricio Cuero,co COL,"MF,FW",30.0,4.5,121.0,103.0,18.0,6.0,0.0,1.0,32,2.0,10.0,3.0,7.0,0.0,68.0,0.0,8.0,Matches
Rodrigo Márquez,ar ARG,"FW,MF",20.0,3.0,98.0,83.0,15.0,5.0,1.0,0.0,19,1.0,9.0,3.0,4.0,0.0,56.0,0.0,2.0,Matches
Santiago Salle,ar ARG,"DF,MF",18.0,2.8,90.0,69.0,21.0,0.0,0.0,0.0,6,21.0,0.0,0.0,0.0,0.0,60.0,0.0,3.0,Matches
Tomás Pozzo,ar ARG,"FW,MF",22.0,2.2,85.0,79.0,5.0,1.0,0.0,0.0,7,2.0,2.0,2.0,0.0,0.0,65.0,1.0,3.0,Matches
Tomás Rambert,ar ARG,"MF,DF",19.0,0.9,4.0,4.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Santiago Hidalgo,ar ARG,"FW,MF",17.0,1.9,36.0,35.0,1.0,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,19.0,0.0,2.0,Matches
Rodrigo Atencio,ar ARG,"MF,FW",20.0,1.0,56.0,47.0,8.0,4.0,1.0,1.0,8,1.0,3.0,1.0,2.0,0.0,41.0,1.0,3.0,Matches
David Martínez,,MF,,0.7,,,,,,,0,,,,,,,,,Matches
Agustin Quiroga,ar ARG,DF,20.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Santiago López,ar ARG,MF,16.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Matches
Squad Total,,,26.9,27.0,9801.0,8391.0,1371.0,359.0,16.0,68.0,514,638.0,98.0,38.0,41.0,0.0,6602.0,39.0,258.0,
Opponent Total,,,27.3,27.0,10989.0,9593.0,1356.0,383.0,27.0,101.0,443,603.0,109.0,32.0,62.0,1.0,7810.0,40.0,278.0,
