Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Gastón Lodico,ar ARG,MF,24.0,25.9,99.0,3.82,66.0,14.0,5.0,8.0,5.0,1.0,3.0,0.12,2.0,1.0,0.0,0.0,0.0,0.0,Matches
Fernando Alarcón,ar ARG,DF,28.0,26.0,19.0,0.73,15.0,1.0,1.0,2.0,0.0,0.0,1.0,0.04,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Adrián Martínez,ar ARG,FW,30.0,25.3,59.0,2.33,48.0,1.0,2.0,7.0,1.0,0.0,5.0,0.2,3.0,1.0,0.0,1.0,0.0,0.0,Matches
Sebastián Corda,ar ARG,DF,27.0,22.4,35.0,1.56,28.0,3.0,1.0,3.0,0.0,0.0,5.0,0.22,3.0,0.0,1.0,1.0,0.0,0.0,Matches
Gabriel Graciani,ar ARG,"MF,FW",29.0,19.6,49.0,2.51,34.0,0.0,7.0,4.0,4.0,0.0,7.0,0.36,5.0,0.0,1.0,0.0,1.0,0.0,Matches
Santiago Rodriguez,ar ARG,"FW,MF",25.0,19.2,79.0,4.13,44.0,15.0,4.0,9.0,7.0,0.0,6.0,0.31,2.0,2.0,1.0,0.0,1.0,0.0,Matches
Nicolás Linares,ar ARG,MF,26.0,17.9,13.0,0.73,9.0,0.0,0.0,1.0,2.0,1.0,1.0,0.06,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Leonel Mosevich,ar ARG,DF,25.0,17.6,7.0,0.4,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Jorge Carranza,ar ARG,GK,41.0,16.9,1.0,0.06,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Giuliano Cerato,ar ARG,DF,24.0,17.0,46.0,2.7,38.0,6.0,0.0,1.0,1.0,0.0,2.0,0.12,2.0,0.0,0.0,0.0,0.0,0.0,Matches
Franco Watson,ar ARG,MF,23.0,13.4,,,,,,,,,,,,,,,,,Matches
Roberto Bochi,ar ARG,MF,33.0,12.5,18.0,1.44,14.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Brian Cuello,ar ARG,MF,25.0,13.0,,,,,,,,,,,,,,,,,Matches
Juan Franco Arrellaga,py PAR,DF,30.0,9.5,17.0,1.79,13.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Manuel Roffo,ar ARG,GK,22.0,10.1,1.0,0.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ezequiel Parnisari,ar ARG,DF,32.0,8.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Axel Rodríguez,ar ARG,FW,25.0,5.0,7.0,1.39,2.0,0.0,1.0,2.0,2.0,0.0,1.0,0.2,0.0,0.0,1.0,0.0,0.0,0.0,Matches
Jonathan Bay,ar ARG,DF,29.0,4.7,7.0,1.48,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Joaquín Varela,uy URU,DF,24.0,2.6,2.0,0.76,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Nicólas Watson,ar ARG,MF,24.0,1.3,2.0,1.59,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Lucas Albertengo,ar ARG,"FW,MF",32.0,2.4,8.0,3.27,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Garrido Bigolin,ar ARG,MF,25.0,2.4,,,,,,,,,,,,,,,,,Matches
Nicolás Barrientos,ar ARG,"MF,FW",27.0,1.2,12.0,9.91,5.0,4.0,2.0,1.0,0.0,0.0,1.0,0.83,0.0,1.0,0.0,0.0,0.0,0.0,Matches
Gregorio Rodríguez,ar ARG,"FW,MF",23.0,1.1,3.0,2.7,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Leonardo Monje,ar ARG,MF,20.0,0.4,2.0,5.29,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.65,1.0,0.0,0.0,0.0,0.0,0.0,Matches
Jonathan Dellarossa,ar ARG,MF,23.0,0.1,,,,,,,,,,,,,,,,,Matches
Damián Puebla,ar ARG,FW,20.0,0.1,1.0,18.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Squad Total,,,28.1,27.0,487.0,18.04,340.0,49.0,28.0,42.0,24.0,4.0,33.0,1.22,20.0,5.0,4.0,2.0,2.0,0.0,
Opponent Total,,,26.9,27.0,524.0,19.41,336.0,65.0,40.0,36.0,41.0,6.0,57.0,2.11,34.0,4.0,6.0,4.0,7.0,2.0,
