Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Gastón Lodico,ar ARG,MF,24.0,25.9,0,0,0,13,23,0,92,22,43,0.0,0.0,0,272.0,16.0,20.0,44.4,Matches
Fernando Alarcón,ar ARG,DF,28.0,26.0,7,0,0,22,11,1,1,27,29,0.0,2.0,0,144.0,123.0,52.0,70.3,Matches
Adrián Martínez,ar ARG,FW,30.0,25.3,8,0,0,48,24,11,8,1,14,0.0,0.0,0,96.0,51.0,120.0,29.8,Matches
Sebastián Corda,ar ARG,DF,27.0,22.4,5,0,0,17,18,1,58,27,32,0.0,0.0,0,160.0,17.0,33.0,34.0,Matches
Gabriel Graciani,ar ARG,"MF,FW",29.0,19.6,1,0,0,26,21,2,66,8,31,0.0,0.0,0,98.0,90.0,68.0,57.0,Matches
Santiago Rodriguez,ar ARG,"FW,MF",25.0,19.2,1,0,0,10,27,7,102,3,10,1.0,0.0,0,76.0,4.0,36.0,10.0,Matches
Nicolás Linares,ar ARG,MF,26.0,17.9,5,0,0,25,7,0,4,28,36,0.0,0.0,0,137.0,15.0,19.0,44.1,Matches
Leonel Mosevich,ar ARG,DF,25.0,17.6,8,1,1,30,6,0,0,30,17,0.0,1.0,0,78.0,69.0,37.0,65.1,Matches
Jorge Carranza,ar ARG,GK,41.0,16.9,1,1,0,1,2,0,0,0,1,0.0,1.0,0,14.0,2.0,0.0,100.0,Matches
Giuliano Cerato,ar ARG,DF,24.0,17.0,7,0,0,21,10,0,65,17,18,0.0,0.0,0,134.0,13.0,17.0,43.3,Matches
Franco Watson,ar ARG,MF,23.0,13.4,1,0,0,12,11,1,47,4,12,,,0,,,,,Matches
Roberto Bochi,ar ARG,MF,33.0,12.5,6,0,0,24,4,0,4,17,17,0.0,0.0,0,110.0,15.0,13.0,53.6,Matches
Brian Cuello,ar ARG,MF,25.0,13.0,1,0,0,14,27,2,54,9,15,,,0,,,,,Matches
Juan Franco Arrellaga,py PAR,DF,30.0,9.5,3,0,0,13,9,1,20,17,12,0.0,0.0,0,58.0,11.0,7.0,61.1,Matches
Manuel Roffo,ar ARG,GK,22.0,10.1,1,0,0,0,1,0,0,0,0,0.0,0.0,0,12.0,4.0,0.0,100.0,Matches
Ezequiel Parnisari,ar ARG,DF,32.0,8.3,3,1,1,14,5,0,1,7,2,0.0,0.0,1,36.0,20.0,27.0,42.6,Matches
Axel Rodríguez,ar ARG,FW,25.0,5.0,4,0,0,9,10,0,8,0,1,0.0,0.0,0,10.0,16.0,23.0,41.0,Matches
Jonathan Bay,ar ARG,DF,29.0,4.7,2,0,0,1,8,0,15,7,5,0.0,0.0,0,33.0,12.0,5.0,70.6,Matches
Joaquín Varela,uy URU,DF,24.0,2.6,0,0,0,4,3,0,0,5,2,0.0,1.0,0,13.0,12.0,8.0,60.0,Matches
Nicólas Watson,ar ARG,MF,24.0,1.3,2,0,0,7,4,0,2,2,4,0.0,0.0,0,9.0,2.0,3.0,40.0,Matches
Lucas Albertengo,ar ARG,"FW,MF",32.0,2.4,1,0,0,4,7,1,2,0,5,0.0,0.0,0,16.0,6.0,18.0,25.0,Matches
Garrido Bigolin,ar ARG,MF,25.0,2.4,0,0,0,6,2,0,3,2,2,,,0,,,,,Matches
Nicolás Barrientos,ar ARG,"MF,FW",27.0,1.2,0,0,0,0,2,0,11,0,2,0.0,0.0,0,12.0,2.0,6.0,25.0,Matches
Gregorio Rodríguez,ar ARG,"FW,MF",23.0,1.1,1,0,0,1,4,0,11,0,4,0.0,0.0,0,18.0,2.0,6.0,25.0,Matches
Leonardo Monje,ar ARG,MF,20.0,0.4,0,0,0,4,0,0,0,1,0,0.0,0.0,0,2.0,0.0,1.0,0.0,Matches
Jonathan Dellarossa,ar ARG,MF,23.0,0.1,0,0,0,0,0,0,0,0,0,,,0,,,,,Matches
Damián Puebla,ar ARG,FW,20.0,0.1,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,,Matches
Squad Total,,,28.1,27.0,68,3,2,326,246,27,574,234,314,1.0,5.0,1,1538.0,502.0,519.0,49.2,
Opponent Total,,,26.9,27.0,51,1,1,265,313,44,511,255,285,4.0,0.0,0,1609.0,562.0,523.0,51.8,
