Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-01-29,19:15,Primera Div,Matchweek 1,Sun,Away,W,2,1,Colón,1.7,0.6,40,,Lautaro Acosta,4-2-3-1,Pablo Dóvalo,Match Report,
2023-02-04,21:30,Primera Div,Matchweek 2,Sat,Home,W,2,1,San Lorenzo,1.1,1.6,49,,Lautaro Acosta,4-2-3-1,Facundo Tello,Match Report,
2023-02-13,20:00,Primera Div,Matchweek 3,Mon,Away,W,2,0,Estudiantes,0.3,1.1,34,,Tomás Belmonte,4-3-3,Nicolás Ramírez,Match Report,
2023-02-18,17:00,Primera Div,Matchweek 4,Sat,Home,W,3,0,Rosario Cent,2.3,0.2,51,,Tomás Belmonte,4-3-3,Nicolás Lamolina,Match Report,
2023-02-27,19:15,Primera Div,Matchweek 5,Mon,Away,L,1,2,Racing Club,0.5,1.1,39,,Lautaro Acosta,4-2-3-1,Facundo Tello,Match Report,
2023-03-04,19:15,Primera Div,Matchweek 6,Sat,Home,L,0,2,River Plate,1.0,0.8,49,,Lautaro Acosta,4-2-3-1,Darío Herrera,Match Report,
2023-03-11,21:30,Primera Div,Matchweek 7,Sat,Away,D,0,0,Club Atlético Belgrano,1.0,0.6,52,,Tomás Belmonte,4-2-3-1,Andrés Merlos,Match Report,
2023-03-20,21:00,Primera Div,Matchweek 8,Mon,Home,D,0,0,Argentinos Jun,0.9,0.8,38,,Lautaro Acosta,4-3-3,Fernando Echenique,Match Report,
2023-04-01,21:30,Primera Div,Matchweek 9,Sat,Away,L,1,2,Tigre,1.1,2.7,33,,Tomás Belmonte,4-3-3,Hernán Mastrángelo,Match Report,
2023-04-07,19:00,Primera Div,Matchweek 10,Fri,Home,W,3,0,Arsenal,2.3,1.6,40,,Tomás Belmonte,4-3-3,Germán Delfino,Match Report,
2023-04-11,21:30,Primera Div,Matchweek 11,Tue,Away,D,1,1,CC Córdoba,1.4,1.0,54,,Lautaro Acosta,4-2-3-1,Fernando Echenique,Match Report,
2023-04-17,21:30,Primera Div,Matchweek 12,Mon,Away,D,4,4,Godoy Cruz,2.9,2.0,51,,Lautaro Acosta,4-2-3-1,Jorge Baliño,Match Report,
2023-04-22,15:30,Primera Div,Matchweek 13,Sat,Home,W,2,1,Sarmiento,2.5,1.7,58,,Lautaro Acosta,4-2-3-1,Facundo Tello,Match Report,
2023-05-06,15:30,Primera Div,Matchweek 15,Sat,Home,W,1,0,CA Huracán,0.8,0.6,47,,Lautaro Acosta,4-3-3,Fernando Rapallini,Match Report,
2023-05-15,18:00,Primera Div,Matchweek 16,Mon,Away,L,0,1,Gimnasia ELP,1.5,0.4,56,,Lautaro Acosta,4-3-3,Carlos Gareano,Match Report,
2023-05-20,21:30,Primera Div,Matchweek 17,Sat,Home,W,1,0,Newell's OB,1.5,0.4,39,,Tomás Belmonte,4-3-3,Pablo Dóvalo,Match Report,
2023-05-27,20:30,Primera Div,Matchweek 18,Sat,Away,D,1,1,Independiente,1.2,1.5,55,,Tomás Belmonte,4-3-3,Hernán Mastrángelo,Match Report,
2023-06-04,21:30,Primera Div,Matchweek 19,Sun,Home,W,2,1,Tucumán,3.4,0.5,44,,Tomás Belmonte,4-3-3,Silvio Trucco,Match Report,
2023-06-10,20:00,Primera Div,Matchweek 20,Sat,Away,D,1,1,Boca Juniors,0.4,1.8,30,,Tomás Belmonte,4-3-3,Fernando Echenique,Match Report,
2023-06-17,15:30,Primera Div,Matchweek 14,Sat,Away,D,1,1,CA Unión,0.6,0.7,53,,Tomás Belmonte,4-3-3,Fernando Espinoza,Match Report,
2023-06-24,20:00,Primera Div,Matchweek 21,Sat,Home,W,2,1,Talleres,1.7,2.0,56,,Tomás Belmonte,4-3-3,Fernando Rapallini,Match Report,
2023-06-30,19:00,Primera Div,Matchweek 22,Fri,Away,W,1,0,Platense,0.5,0.3,54,,José Sand,4-3-3,Pablo Dóvalo,Match Report,
2023-07-04,20:00,Primera Div,Matchweek 23,Tue,Home,L,0,1,Vélez Sarsfield,1.1,1.0,63,,Leandro Díaz,4-3-3,Carlos Gareano,Match Report,
2023-07-09,20:30,Primera Div,Matchweek 24,Sun,Away,D,2,2,Defensa y Just,2.4,1.7,38,,Lautaro Acosta,4-2-3-1,Darío Herrera,Match Report,
2023-07-16,19:00,Primera Div,Matchweek 25,Sun,Home,D,2,2,Banfield,0.8,0.3,69,,Lautaro Acosta,4-2-3-1,Nicolás Ramírez,Match Report,
2023-07-25,20:30,Primera Div,Matchweek 26,Tue,Away,L,1,2,Instituto Atlético Central Córdoba,0.5,0.9,60,,Leandro Díaz,4-3-3,Luis Lobo Medina,Match Report,
2023-07-30,15:00,Primera Div,Matchweek 27,Sun,Home,W,2,0,Barracas Central,1.4,0.3,45,,Diego Braghieri,4-3-3,Fernando Echenique,Match Report,
2023-08-20,18:30,Copa de la Liga Profesional,Group stage,Sun,Home,L,0,1,San Lorenzo,0.9,1.4,55,,Cristian Lema,4-3-3,Nazareno Arasa,Match Report,
2023-08-26,19:00,Copa de la Liga Profesional,Group stage,Sat,Away,L,0,1,Newell's OB,0.8,1.2,55,,Cristian Lema,4-3-3,Andrés Merlos,Match Report,
2023-09-02,16:30,Copa de la Liga Profesional,Group stage,Sat,Home,D,2,2,Godoy Cruz,2.0,1.1,49,,Diego Braghieri,4-4-2,Luis Lobo Medina,Match Report,
2023-09-14,19:00,Copa de la Liga Profesional,Group stage,Thu,Away,L,1,2,Platense,1.4,0.3,61,,Diego Braghieri,4-3-3,Nicolás Lamolina,Match Report,
2023-09-18,20:00,Copa de la Liga Profesional,Group stage,Mon,Home,D,0,0,Sarmiento,1.3,0.2,69,,Lautaro Acosta,4-3-3,Fernando Rapallini,Match Report,
2023-09-23,18:30,Copa de la Liga Profesional,Group stage,Sat,Away,D,1,1,Boca Juniors,1.0,0.5,46,,Lautaro Acosta,4-3-3,Fernando Echenique,Match Report,
2023-09-30,21:30,Copa de la Liga Profesional,Group stage,Sat,Away,L,0,1,Banfield,0.4,0.6,62,,Cristian Lema,4-3-3,Nicolás Ramírez,Match Report,
2023-10-07,19:00,Copa de la Liga Profesional,Group stage,Sat,Home,L,0,2,Defensa y Just,2.2,1.7,58,,Cristian Lema,4-2-3-1,Fernando Espinoza,Match Report,
2023-10-16,18:00,Copa de la Liga Profesional,Group stage,Mon,Away,D,0,0,CC Córdoba,0.6,0.4,46,,Lautaro Acosta,4-2-3-1,Andrés Merlos,Match Report,
2023-10-26,21:00,Copa de la Liga Profesional,Group stage,Thu,Home,W,2,1,Tigre,1.5,0.6,38,,Lautaro Acosta,4-2-3-1,Hernán Mastrángelo,Match Report,
2023-10-30,18:30,Copa de la Liga Profesional,Group stage,Mon,Home,W,2,0,Club Atlético Belgrano,1.1,0.3,52,,Lautaro Acosta,4-2-3-1,Pablo Dóvalo,Match Report,
2023-11-05,16:30,Copa de la Liga Profesional,Group stage,Sun,Away,D,0,0,CA Unión,0.4,0.5,55,,Cristian Lema,4-2-3-1,Fernando Espinoza,Match Report,
2023-11-11,20:00,Copa de la Liga Profesional,Group stage,Sat,Home,L,0,2,Racing Club,0.7,2.4,30,,Lautaro Acosta,4-2-3-1,Fernando Rapallini,Match Report,
2023-11-27,19:00,Copa de la Liga Profesional,Group stage,Mon,Away,D,1,1,Estudiantes,1.1,1.7,40,,Pedro De la Vega,5-3-2,Fernando Echenique,Match Report,
