Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Cristian Lema,ar ARG,DF,32.0,22.7,9,2,1,25,15,3,2,21,19,0.0,0.0,0,128.0,104.0,26.0,80.0,Matches
Leandro Díaz,ar ARG,FW,30.0,22.8,10,1,1,31,25,19,21,6,8,0.0,0.0,0,49.0,62.0,79.0,44.0,Matches
Pedro De la Vega,ar ARG,FW,21.0,21.7,3,0,0,29,36,6,41,11,17,0.0,0.0,0,122.0,43.0,57.0,43.0,Matches
Tomás Belmonte,ar ARG,MF,24.0,21.0,8,1,1,31,33,0,5,39,24,2.0,0.0,0,171.0,45.0,26.0,63.4,Matches
Juan Cáceres,py PAR,DF,22.0,20.0,5,0,0,28,15,0,58,31,52,0.0,0.0,0,117.0,55.0,30.0,64.7,Matches
Lucas Acosta,ar ARG,GK,27.0,18.0,2,0,0,1,0,0,0,1,0,0.0,0.0,0,8.0,1.0,1.0,50.0,Matches
Luciano Boggio,it ITA,MF,23.0,16.0,6,2,2,14,30,0,90,16,15,0.0,0.0,0,108.0,12.0,21.0,36.4,Matches
Matías Esquivel,ar ARG,"MF,FW",23.0,14.2,3,1,1,21,14,1,100,18,26,0.0,0.0,0,102.0,1.0,4.0,20.0,Matches
Braian Aguirre,ar ARG,DF,22.0,14.2,3,0,0,14,11,1,31,15,28,0.0,0.0,0,111.0,16.0,22.0,42.1,Matches
Juan Sánchez Miño,ar ARG,DF,33.0,13.0,5,0,0,15,5,1,33,8,17,0.0,0.0,0,97.0,12.0,23.0,34.3,Matches
Franco Orozco,ar ARG,FW,21.0,12.5,2,0,0,9,30,5,49,2,6,1.0,0.0,0,55.0,5.0,22.0,18.5,Matches
Jose Domínguez,py PAR,DF,26.0,12.7,4,1,1,8,7,1,1,5,11,0.0,0.0,0,67.0,20.0,12.0,62.5,Matches
Raúl Loaiza,co COL,MF,28.0,11.8,2,0,0,28,18,2,11,14,9,0.0,0.0,0,89.0,10.0,17.0,37.0,Matches
Franco Troyansky,ar ARG,FW,25.0,11.3,1,0,0,17,12,10,15,8,9,1.0,0.0,0,60.0,18.0,21.0,46.2,Matches
Felipe Aguilar,co COL,DF,30.0,13.1,3,0,0,6,8,0,1,14,5,0.0,0.0,0,64.0,43.0,22.0,66.2,Matches
Lautaro Acosta,ar ARG,MF,34.0,10.4,2,0,0,24,46,1,10,8,13,2.0,0.0,0,62.0,22.0,20.0,52.4,Matches
Julián Fernández,ar ARG,MF,27.0,11.4,2,0,0,23,11,0,5,22,11,,,0,,,,,Matches
Lautaro Morales,ar ARG,GK,23.0,8.9,0,1,0,0,0,0,0,0,0,0.0,0.0,1,3.0,2.0,0.0,100.0,Matches
Diego Braghieri,ar ARG,DF,35.0,5.1,1,0,0,2,3,0,0,4,3,0.0,0.0,0,22.0,18.0,11.0,62.1,Matches
Facundo Pérez,ar ARG,"MF,FW",23.0,2.7,1,0,0,6,6,0,3,5,3,0.0,1.0,0,22.0,1.0,2.0,33.3,Matches
Julio Soler,ar ARG,DF,17.0,2.3,0,0,0,0,3,0,3,2,2,0.0,0.0,0,18.0,2.0,2.0,50.0,Matches
Leonel Di Plácido,ar ARG,DF,29.0,1.7,0,0,0,2,0,0,10,7,5,0.0,0.0,0,13.0,2.0,1.0,66.7,Matches
José Sand,ar ARG,"FW,MF",42.0,2.7,0,0,0,1,3,2,1,0,1,0.0,0.0,0,6.0,3.0,7.0,30.0,Matches
Julián Aude,ar ARG,DF,19.0,1.6,0,0,0,2,2,0,4,1,2,0.0,0.0,0,7.0,1.0,1.0,50.0,Matches
Pablo Aranda,ar ARG,DF,21.0,1.0,0,0,0,4,2,0,3,2,1,0.0,0.0,0,5.0,1.0,2.0,33.3,Matches
Brian Blando,ar ARG,FW,27.0,0.7,0,0,0,2,0,0,3,0,3,0.0,0.0,0,3.0,4.0,0.0,100.0,Matches
Brian Aguilar,ar ARG,DF,19.0,0.6,2,0,0,3,0,0,0,0,0,0.0,0.0,0,1.0,0.0,3.0,0.0,Matches
Mateo Sanabria,ar ARG,FW,18.0,0.2,0,0,0,0,0,0,1,0,1,0.0,0.0,0,0.0,0.0,0.0,,Matches
Dylan Aquino,ar ARG,"FW,MF",17.0,0.1,0,0,0,0,0,0,0,1,1,0.0,0.0,0,4.0,0.0,1.0,0.0,Matches
David González,ar ARG,MF,18.0,0.0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,1.0,0.0,0.0,,Matches
Squad Total,,,26.9,27.0,74,9,7,346,335,52,501,261,292,6.0,1.0,1,1592.0,520.0,454.0,53.4,
Opponent Total,,,27.1,27.0,68,2,2,355,316,19,666,241,298,0.0,6.0,1,1534.0,438.0,502.0,46.6,
