Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Lucas Hoyos,ar ARG,GK,33.0,27.0,889.0,1126.0,79.0,22323.0,15129.0,194.0,194.0,100.0,473.0,477.0,99.2,220.0,452.0,48.7,0,0.0,0.0,0.0,1.0,21.0,0.0,0.0,1.0,Matches
Juan Sforza,ar ARG,MF,20.0,20.9,1046.0,1231.0,85.0,19733.0,5914.0,403.0,450.0,89.6,522.0,579.0,90.2,109.0,161.0,67.7,1,0.4,0.7,0.6,11.0,98.0,4.0,0.0,131.0,Matches
Jorge Eduardo Recalde,py PAR,FW,30.0,20.4,353.0,477.0,74.0,4990.0,895.0,200.0,247.0,81.0,109.0,150.0,72.7,22.0,33.0,66.7,1,1.7,1.0,-0.7,17.0,34.0,7.0,0.0,58.0,Matches
Iván Gómez,ar ARG,MF,25.0,19.5,649.0,794.0,81.7,10300.0,2272.0,345.0,391.0,88.2,247.0,289.0,85.5,43.0,66.0,65.2,1,1.8,1.1,-0.8,17.0,49.0,12.0,1.0,78.0,Matches
Jherson Mosquera,co COL,DF,23.0,18.9,832.0,1029.0,80.9,13005.0,4399.0,432.0,488.0,88.5,346.0,418.0,82.8,39.0,78.0,50.0,0,0.8,1.2,-0.8,12.0,57.0,12.0,6.0,94.0,Matches
Gustavo Velásquez,py PAR,DF,31.0,17.6,883.0,1061.0,83.2,16511.0,5475.0,307.0,346.0,88.7,495.0,556.0,89.0,70.0,125.0,56.0,0,0.5,0.4,-0.5,3.0,57.0,0.0,0.0,79.0,Matches
Cristian Ferreira,ar ARG,MF,23.0,17.0,549.0,734.0,74.8,9913.0,2614.0,259.0,298.0,86.9,192.0,233.0,82.4,81.0,149.0,54.4,1,2.2,2.0,-1.2,25.0,71.0,11.0,1.0,87.0,Matches
Ramiro Sordo,ar ARG,"FW,MF",22.0,16.4,304.0,505.0,60.2,5402.0,1358.0,164.0,199.0,82.4,96.0,146.0,65.8,41.0,99.0,41.4,2,1.3,2.0,0.7,23.0,23.0,19.0,5.0,37.0,Matches
Willer Ditta,co COL,DF,26.0,16.2,905.0,1041.0,86.9,18213.0,5494.0,278.0,295.0,94.2,525.0,576.0,91.1,97.0,149.0,65.1,0,0.5,0.6,-0.5,2.0,53.0,6.0,0.0,64.0,Matches
Bruno Pittón,ar ARG,DF,29.0,15.4,643.0,831.0,77.4,10356.0,4240.0,324.0,362.0,89.5,268.0,345.0,77.7,40.0,82.0,48.8,2,0.9,0.7,1.1,11.0,61.0,5.0,4.0,89.0,Matches
Brian Aguirre,ar ARG,FW,19.0,14.8,233.0,388.0,60.1,4048.0,1302.0,118.0,155.0,76.1,80.0,126.0,63.5,30.0,71.0,42.3,4,1.9,1.9,2.1,19.0,20.0,20.0,7.0,36.0,Matches
Guillermo Ortiz,ar ARG,DF,30.0,12.9,721.0,830.0,86.9,14643.0,5031.0,184.0,215.0,85.6,456.0,484.0,94.2,77.0,116.0,66.4,0,0.1,0.1,-0.1,4.0,26.0,2.0,0.0,43.0,Matches
Zahir Mansilla,ar ARG,DF,23.0,11.1,,,,,,,,,,,,,,,0,,,,,,,,,Matches
Marcos Portillo,ar ARG,"MF,FW",23.0,10.4,421.0,598.0,70.4,8094.0,2272.0,183.0,223.0,82.1,158.0,216.0,73.1,74.0,128.0,57.8,1,1.2,0.9,-0.2,15.0,52.0,8.0,5.0,54.0,Matches
Ángelo Martino,ar ARG,"DF,MF",24.0,8.6,334.0,432.0,77.3,5596.0,2157.0,155.0,181.0,85.6,157.0,194.0,80.9,19.0,38.0,50.0,0,0.3,0.7,-0.3,4.0,21.0,10.0,6.0,35.0,Matches
Armando Méndez,uy URU,"DF,MF",26.0,7.8,249.0,340.0,73.2,3639.0,1259.0,153.0,168.0,91.1,76.0,120.0,63.3,15.0,33.0,45.5,0,0.4,0.5,-0.4,6.0,10.0,8.0,7.0,17.0,Matches
Jeremías Pérez Tica,ar ARG,FW,19.0,8.1,164.0,218.0,75.2,2748.0,432.0,83.0,97.0,85.6,67.0,79.0,84.8,11.0,24.0,45.8,2,1.4,1.1,0.6,11.0,8.0,10.0,4.0,16.0,Matches
Djorkaeff Reasco,ec ECU,"FW,MF",24.0,7.4,71.0,124.0,57.3,864.0,128.0,46.0,61.0,75.4,16.0,30.0,53.3,3.0,8.0,37.5,0,0.3,0.2,-0.3,6.0,3.0,1.0,0.0,3.0,Matches
Lisandro Montenegro,ar ARG,MF,19.0,6.8,235.0,316.0,74.4,4031.0,905.0,114.0,133.0,85.7,88.0,117.0,75.2,26.0,44.0,59.1,0,0.6,0.4,-0.6,8.0,30.0,4.0,1.0,40.0,Matches
Jony,ar ARG,"FW,MF",28.0,4.2,84.0,112.0,75.0,1234.0,359.0,57.0,68.0,83.8,23.0,32.0,71.9,3.0,8.0,37.5,0,0.3,0.3,-0.3,6.0,10.0,6.0,1.0,16.0,Matches
Pablo Pérez,ar ARG,MF,37.0,4.3,174.0,229.0,76.0,3125.0,1188.0,77.0,92.0,83.7,66.0,81.0,81.5,26.0,39.0,66.7,0,0.2,0.2,-0.2,7.0,26.0,3.0,0.0,37.0,Matches
Guillermo Balzi,ar ARG,"MF,FW",21.0,2.1,46.0,66.0,69.7,769.0,166.0,22.0,27.0,81.5,20.0,25.0,80.0,3.0,9.0,33.3,0,0.2,0.1,-0.2,2.0,7.0,0.0,0.0,11.0,Matches
Francisco González,ar ARG,"FW,MF",21.0,1.7,16.0,33.0,48.5,295.0,44.0,3.0,4.0,75.0,11.0,15.0,73.3,1.0,9.0,11.1,1,0.8,0.1,0.2,1.0,0.0,2.0,0.0,2.0,Matches
Justo Giani,ar ARG,"MF,FW",23.0,1.3,28.0,46.0,60.9,395.0,152.0,16.0,22.0,72.7,10.0,18.0,55.6,1.0,1.0,100.0,0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,3.0,Matches
David Sotelo,ar ARG,MF,19.0,1.1,58.0,63.0,92.1,1138.0,291.0,20.0,20.0,100.0,31.0,33.0,93.9,7.0,10.0,70.0,0,0.0,0.1,0.0,0.0,10.0,1.0,0.0,11.0,Matches
Ian Glavinovich,ar ARG,DF,21.0,1.0,59.0,69.0,85.5,1115.0,402.0,14.0,17.0,82.4,41.0,42.0,97.6,4.0,10.0,40.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Matches
Leonel Vangioni,ar ARG,DF,35.0,1.0,39.0,54.0,72.2,689.0,355.0,18.0,25.0,72.0,17.0,21.0,81.0,4.0,6.0,66.7,0,0.2,0.2,-0.2,2.0,8.0,3.0,3.0,11.0,Matches
Genaro Rossi,ar ARG,FW,20.0,0.6,1.0,4.0,25.0,16.0,0.0,0.0,1.0,0.0,1.0,1.0,100.0,0.0,0.0,,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Julián Contrera,ar ARG,FW,19.0,0.7,,,,,,,,,,,,,,,0,,,,,,,,,Matches
Nazareno Funez,ar ARG,FW,21.0,0.4,,,,,,,,,,,,,,,0,,,,,,,,,Matches
Fabrizio Sartori,ar ARG,FW,20.0,0.1,,,,,,,,,,,,,,,0,,,,,,,,,Matches
Marcelo Esponda,ar ARG,MF,20.0,0.1,7.0,10.0,70.0,112.0,29.0,2.0,3.0,66.7,3.0,3.0,100.0,1.0,2.0,50.0,0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,Matches
