Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Lucas Hoyos,ar ARG,GK,33.0,27.0,1176.0,741.0,1153.0,23.0,0.0,0.0,1176.0,2.0,1.0,50.0,1.0,50.0,746.0,4687.0,2951.0,0.0,0.0,0.0,1.0,1.0,636.0,0.0,Matches
Juan Sforza,ar ARG,MF,20.0,20.9,1398.0,47.0,356.0,987.0,67.0,5.0,1398.0,15.0,7.0,46.7,7.0,46.7,780.0,3855.0,1810.0,9.0,6.0,0.0,12.0,11.0,896.0,9.0,Matches
Jorge Eduardo Recalde,py PAR,FW,30.0,20.4,651.0,17.0,45.0,318.0,293.0,60.0,650.0,28.0,18.0,64.3,6.0,21.4,379.0,1663.0,510.0,14.0,17.0,2.0,48.0,22.0,501.0,110.0,Matches
Iván Gómez,ar ARG,MF,25.0,19.5,1009.0,34.0,203.0,609.0,209.0,21.0,1009.0,61.0,37.0,60.7,23.0,37.7,538.0,2914.0,1253.0,27.0,20.0,1.0,27.0,25.0,619.0,46.0,Matches
Jherson Mosquera,co COL,DF,23.0,18.9,1194.0,35.0,291.0,664.0,247.0,24.0,1194.0,24.0,15.0,62.5,6.0,25.0,555.0,2739.0,1433.0,33.0,21.0,3.0,35.0,11.0,650.0,77.0,Matches
Gustavo Velásquez,py PAR,DF,31.0,17.6,1268.0,88.0,606.0,628.0,44.0,23.0,1268.0,14.0,7.0,50.0,4.0,28.6,787.0,4663.0,2967.0,28.0,5.0,0.0,18.0,7.0,804.0,0.0,Matches
Cristian Ferreira,ar ARG,MF,23.0,17.0,917.0,6.0,95.0,542.0,296.0,22.0,917.0,61.0,25.0,41.0,21.0,34.4,555.0,2900.0,1143.0,22.0,23.0,2.0,43.0,17.0,647.0,96.0,Matches
Ramiro Sordo,ar ARG,"FW,MF",22.0,16.4,729.0,5.0,84.0,310.0,350.0,29.0,728.0,89.0,43.0,48.3,38.0,42.7,503.0,4211.0,1698.0,51.0,44.0,8.0,57.0,13.0,533.0,172.0,Matches
Willer Ditta,co COL,DF,26.0,16.2,1172.0,91.0,577.0,572.0,30.0,3.0,1172.0,9.0,5.0,55.6,3.0,33.3,753.0,5330.0,3646.0,23.0,11.0,0.0,12.0,7.0,797.0,2.0,Matches
Bruno Pittón,ar ARG,DF,29.0,15.4,967.0,34.0,285.0,521.0,171.0,20.0,967.0,13.0,7.0,53.8,6.0,46.2,464.0,2340.0,1262.0,29.0,11.0,5.0,13.0,6.0,536.0,42.0,Matches
Brian Aguirre,ar ARG,FW,19.0,14.8,607.0,2.0,57.0,228.0,342.0,36.0,607.0,126.0,62.0,49.2,56.0,44.4,419.0,4066.0,2000.0,70.0,46.0,19.0,52.0,17.0,454.0,149.0,Matches
Guillermo Ortiz,ar ARG,DF,30.0,12.9,939.0,86.0,447.0,484.0,12.0,8.0,939.0,3.0,2.0,66.7,1.0,33.3,570.0,2898.0,1662.0,8.0,1.0,1.0,4.0,1.0,632.0,3.0,Matches
Zahir Mansilla,ar ARG,DF,23.0,11.1,,,,,,,,,,,,,,,,,,,,,,,Matches
Marcos Portillo,ar ARG,"MF,FW",23.0,10.4,729.0,18.0,114.0,451.0,174.0,17.0,729.0,42.0,26.0,61.9,14.0,33.3,397.0,2050.0,919.0,17.0,20.0,2.0,21.0,9.0,488.0,57.0,Matches
Ángelo Martino,ar ARG,"DF,MF",24.0,8.6,530.0,26.0,157.0,281.0,103.0,11.0,530.0,13.0,6.0,46.2,6.0,46.2,268.0,1534.0,917.0,18.0,16.0,2.0,10.0,7.0,280.0,33.0,Matches
Armando Méndez,uy URU,"DF,MF",26.0,7.8,415.0,10.0,97.0,204.0,128.0,10.0,415.0,33.0,26.0,78.8,6.0,18.2,206.0,1664.0,1090.0,36.0,21.0,3.0,22.0,4.0,218.0,59.0,Matches
