Player,Nation,Pos,Age,90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
Lucas Hoyos,ar ARG,GK,33.0,27.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Juan Sforza,ar ARG,MF,20.0,20.9,1,7,1,14.3,0.33,0.05,0.14,1.0,23.1,1.0,0,0,0.7,0.7,0.1,0.3,0.3,Matches
Jorge Eduardo Recalde,py PAR,FW,30.0,20.4,6,44,14,31.8,2.16,0.69,0.11,0.36,18.9,5.0,1,1,5.5,4.7,0.11,0.5,0.3,Matches
Iván Gómez,ar ARG,MF,25.0,19.5,0,14,6,42.9,0.72,0.31,0.0,0.0,21.2,0.0,0,0,1.0,1.0,0.07,-1.0,-1.0,Matches
Jherson Mosquera,co COL,DF,23.0,18.9,2,6,2,33.3,0.32,0.11,0.33,1.0,22.0,0.0,0,0,0.9,0.9,0.16,1.1,1.1,Matches
Gustavo Velásquez,py PAR,DF,31.0,17.6,3,15,9,60.0,0.85,0.51,0.2,0.33,10.7,0.0,0,0,1.2,1.2,0.08,1.8,1.8,Matches
Cristian Ferreira,ar ARG,MF,23.0,17.0,2,28,8,28.6,1.65,0.47,0.07,0.25,23.0,4.0,0,0,2.3,2.3,0.08,-0.3,-0.3,Matches
Ramiro Sordo,ar ARG,"FW,MF",22.0,16.4,3,32,14,43.8,1.95,0.85,0.09,0.21,26.8,2.0,0,1,3.6,2.8,0.09,-0.6,0.2,Matches
Willer Ditta,co COL,DF,26.0,16.2,0,2,0,0.0,0.12,0.0,0.0,,27.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Bruno Pittón,ar ARG,DF,29.0,15.4,1,8,4,50.0,0.52,0.26,0.13,0.25,16.2,0.0,0,0,0.4,0.4,0.05,0.6,0.6,Matches
Brian Aguirre,ar ARG,FW,19.0,14.8,1,35,17,48.6,2.37,1.15,0.03,0.06,23.7,1.0,0,0,2.3,2.3,0.06,-1.3,-1.3,Matches
Guillermo Ortiz,ar ARG,DF,30.0,12.9,1,6,2,33.3,0.46,0.15,0.17,0.5,11.8,0.0,0,0,1.0,1.0,0.17,0.0,0.0,Matches
Zahir Mansilla,ar ARG,DF,23.0,11.1,1,6,2,33.3,0.54,0.18,0.17,0.5,,,0,0,,,,,,Matches
Marcos Portillo,ar ARG,"MF,FW",23.0,10.4,0,21,6,28.6,2.03,0.58,0.0,0.0,25.3,1.0,0,0,1.1,1.1,0.05,-1.1,-1.1,Matches
Ángelo Martino,ar ARG,"DF,MF",24.0,8.6,0,4,1,25.0,0.47,0.12,0.0,0.0,18.7,0.0,0,0,0.3,0.3,0.08,-0.3,-0.3,Matches
Armando Méndez,uy URU,"DF,MF",26.0,7.8,0,3,2,66.7,0.38,0.26,0.0,0.0,24.4,0.0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
Jeremías Pérez Tica,ar ARG,FW,19.0,8.1,0,11,4,36.4,1.36,0.49,0.0,0.0,14.5,0.0,0,0,1.7,1.7,0.15,-1.7,-1.7,Matches
Djorkaeff Reasco,ec ECU,"FW,MF",24.0,7.4,1,15,4,26.7,2.03,0.54,0.0,0.0,14.5,0.0,1,1,2.4,1.6,0.11,-1.4,-1.6,Matches
Lisandro Montenegro,ar ARG,MF,19.0,6.8,1,5,1,20.0,0.74,0.15,0.2,1.0,23.5,0.0,0,0,0.1,0.1,0.02,0.9,0.9,Matches
Jony,ar ARG,"FW,MF",28.0,4.2,0,8,3,37.5,1.92,0.72,0.0,0.0,22.8,0.0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
Pablo Pérez,ar ARG,MF,37.0,4.3,0,3,1,33.3,0.7,0.23,0.0,0.0,26.0,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Guillermo Balzi,ar ARG,"MF,FW",21.0,2.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Francisco González,ar ARG,"FW,MF",21.0,1.7,1,2,2,100.0,1.15,1.15,0.5,0.5,16.9,0.0,0,0,0.1,0.1,0.06,0.9,0.9,Matches
Justo Giani,ar ARG,"MF,FW",23.0,1.3,0,5,2,40.0,3.98,1.59,0.0,0.0,20.8,0.0,0,0,0.4,0.4,0.09,-0.4,-0.4,Matches
David Sotelo,ar ARG,MF,19.0,1.1,0,2,0,0.0,1.76,0.0,0.0,,24.8,0.0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
Ian Glavinovich,ar ARG,DF,21.0,1.0,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Leonel Vangioni,ar ARG,DF,35.0,1.0,0,2,0,0.0,2.02,0.0,0.0,,16.2,0.0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
Genaro Rossi,ar ARG,FW,20.0,0.6,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Julián Contrera,ar ARG,FW,19.0,0.7,0,3,1,33.3,4.15,1.38,0.0,0.0,,,0,0,,,,,,Matches
Nazareno Funez,ar ARG,FW,21.0,0.4,0,0,0,,0.0,0.0,,,,,0,0,,,,,,Matches
Fabrizio Sartori,ar ARG,FW,20.0,0.1,0,0,0,,0.0,0.0,,,,,0,0,,,,,,Matches
Marcelo Esponda,ar ARG,MF,20.0,0.1,0,0,0,,0.0,0.0,,,,0.0,0,0,0.0,0.0,,0.0,0.0,Matches
Squad Total,,,26.1,27.0,24,287,106,36.9,10.63,3.93,0.08,0.21,20.3,14.0,2,3,25.3,22.9,0.08,-1.3,-0.9,
Opponent Total,,,27.3,27.0,24,261,83,31.8,9.67,3.07,0.08,0.27,19.5,16.0,2,5,26.5,22.4,0.09,-2.5,-0.4,
