Player,Nation,Pos,Age,90s,Total_Cmp,Total_Att,Total_Cmp%,Total_TotDist,Total_PrgDist,Short_Cmp,Short_Att,Short_Cmp%,Medium_Cmp,Medium_Att,Medium_Cmp%,Long_Cmp,Long_Att,Long_Cmp%,Ast,xAG,Expected_xA,Expected_A-xAG,KP,1/3,PPA,CrsPA,PrgP,Matches
Nicolás Castro,ar ARG,MF,32.0,22.1,,,,,,,,,,,,,,,1,,,,,,,,,Matches
Ramiro Macagno,ar ARG,GK,25.0,22.0,383.0,629.0,60.9,13018.0,10482.0,43.0,43.0,100.0,172.0,174.0,98.9,168.0,411.0,40.9,0,0.1,0.1,-0.1,1.0,21.0,0.0,0.0,0.0,Matches
Sasha Marcich,ar ARG,"DF,MF",24.0,21.1,466.0,766.0,60.8,7856.0,4428.0,230.0,299.0,76.9,159.0,270.0,58.9,50.0,133.0,37.6,0,2.1,1.6,-2.1,22.0,38.0,21.0,11.0,66.0,Matches
Vicente Taborda,ar ARG,"MF,FW",21.0,19.7,497.0,774.0,64.2,8009.0,2933.0,276.0,353.0,78.2,136.0,196.0,69.4,61.0,142.0,43.0,3,2.3,2.2,0.7,36.0,65.0,19.0,1.0,84.0,Matches
Nicolás Servetto,ar ARG,FW,26.0,18.1,219.0,328.0,66.8,2756.0,527.0,146.0,190.0,76.8,52.0,85.0,61.2,4.0,12.0,33.3,1,0.9,0.7,0.1,13.0,19.0,4.0,0.0,23.0,Matches
Ronaldo Martínez,py PAR,"FW,MF",26.0,16.4,235.0,397.0,59.2,3217.0,981.0,139.0,212.0,65.6,58.0,94.0,61.7,16.0,29.0,55.2,2,1.9,0.7,0.1,13.0,17.0,12.0,6.0,36.0,Matches
Ignacio Vázquez,ar ARG,DF,25.0,17.9,,,,,,,,,,,,,,,1,,,,,,,,,Matches
Marco Pellegrino,,DF,,16.9,354.0,553.0,64.0,7449.0,3732.0,106.0,144.0,73.6,181.0,249.0,72.7,65.0,139.0,46.8,0,0.0,0.1,0.0,0.0,33.0,2.0,1.0,44.0,Matches
Nicolás Morgantini,ar ARG,DF,28.0,16.7,449.0,674.0,66.6,8076.0,4601.0,186.0,216.0,86.1,209.0,293.0,71.3,47.0,117.0,40.2,1,0.8,1.5,0.2,11.0,39.0,13.0,9.0,59.0,Matches
Iván Rossi,ar ARG,MF,29.0,14.6,447.0,570.0,78.4,8360.0,2986.0,180.0,222.0,81.1,205.0,250.0,82.0,56.0,74.0,75.7,0,0.1,0.2,-0.1,7.0,43.0,3.0,0.0,58.0,Matches
