Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Nicolás Castro,ar ARG,MF,32.0,22.1,,,,,,,,,,,,,,,,,,,,,,,Matches
Ramiro Macagno,ar ARG,GK,25.0,22.0,667.0,504.0,665.0,2.0,0.0,0.0,667.0,0.0,0.0,,0.0,,275.0,1743.0,957.0,0.0,0.0,0.0,1.0,0.0,179.0,0.0,Matches
Sasha Marcich,ar ARG,"DF,MF",24.0,21.1,1037.0,63.0,286.0,422.0,337.0,36.0,1037.0,40.0,23.0,57.5,12.0,30.0,382.0,2071.0,1031.0,31.0,36.0,5.0,41.0,16.0,449.0,89.0,Matches
Vicente Taborda,ar ARG,"MF,FW",21.0,19.7,1091.0,3.0,111.0,564.0,444.0,28.0,1090.0,147.0,88.0,59.9,49.0,33.3,626.0,3955.0,1877.0,63.0,40.0,13.0,85.0,47.0,670.0,119.0,Matches
Nicolás Servetto,ar ARG,FW,26.0,18.1,524.0,22.0,34.0,247.0,249.0,59.0,523.0,21.0,8.0,38.1,12.0,57.1,273.0,967.0,279.0,9.0,11.0,4.0,48.0,36.0,384.0,91.0,Matches
Ronaldo Martínez,py PAR,"FW,MF",26.0,16.4,611.0,28.0,74.0,267.0,282.0,52.0,611.0,44.0,17.0,38.6,24.0,54.5,323.0,1750.0,837.0,27.0,12.0,2.0,58.0,30.0,410.0,111.0,Matches
Ignacio Vázquez,ar ARG,DF,25.0,17.9,,,,,,,,,,,,,,,,,,,,,,,Matches
Marco Pellegrino,,DF,,16.9,800.0,141.0,441.0,339.0,24.0,13.0,800.0,10.0,6.0,60.0,4.0,40.0,333.0,2139.0,1436.0,16.0,3.0,0.0,11.0,4.0,320.0,2.0,Matches
Nicolás Morgantini,ar ARG,DF,28.0,16.7,843.0,57.0,245.0,364.0,242.0,16.0,843.0,26.0,13.0,50.0,11.0,42.3,307.0,1784.0,927.0,28.0,18.0,1.0,16.0,4.0,312.0,61.0,Matches
Iván Rossi,ar ARG,MF,29.0,14.6,739.0,27.0,182.0,521.0,48.0,0.0,739.0,8.0,6.0,75.0,1.0,12.5,287.0,1132.0,481.0,3.0,4.0,0.0,16.0,7.0,318.0,2.0,Matches
Franco Díaz,ar ARG,MF,22.0,14.1,781.0,26.0,154.0,472.0,184.0,9.0,781.0,38.0,24.0,63.2,12.0,31.6,389.0,2380.0,1237.0,28.0,33.0,2.0,37.0,15.0,400.0,39.0,Matches
Juan Infante,ar ARG,DF,27.0,12.0,637.0,29.0,176.0,293.0,176.0,12.0,637.0,11.0,8.0,72.7,2.0,18.2,213.0,1345.0,681.0,26.0,16.0,2.0,20.0,7.0,249.0,39.0,Matches
Franco Baldassarra,ar ARG,"MF,FW",24.0,11.5,436.0,13.0,79.0,224.0,138.0,18.0,436.0,19.0,4.0,21.1,14.0,73.7,227.0,955.0,360.0,7.0,11.0,2.0,25.0,18.0,241.0,50.0,Matches
Gastón Suso,ar ARG,DF,31.0,11.2,583.0,59.0,310.0,252.0,21.0,10.0,583.0,3.0,2.0,66.7,1.0,33.3,236.0,1390.0,714.0,8.0,3.0,0.0,3.0,2.0,262.0,1.0,Matches
Mauro Quiroga,ar ARG,FW,33.0,9.3,289.0,12.0,21.0,124.0,144.0,44.0,288.0,2.0,1.0,50.0,1.0,50.0,115.0,256.0,77.0,2.0,1.0,0.0,24.0,3.0,215.0,38.0,Matches
Jerónimo Cacciabue,ar ARG,MF,25.0,8.8,,,,,,,,,,,,,,,,,,,,,,,Matches
Miguel Jacquet Duarte,py PAR,DF,27.0,8.5,310.0,57.0,168.0,122.0,23.0,14.0,310.0,0.0,0.0,,0.0,,86.0,378.0,213.0,3.0,1.0,0.0,2.0,0.0,96.0,3.0,Matches
Ignacio Arce,ar ARG,GK,30.0,5.0,,,,,,,,,,,,,,,,,,,,,,,Matches
Raúl Lozano,ar ARG,DF,25.0,4.9,262.0,8.0,67.0,125.0,73.0,4.0,262.0,9.0,4.0,44.4,4.0,44.4,109.0,642.0,308.0,10.0,6.0,1.0,11.0,6.0,126.0,26.0,Matches
Gonzalo Asis,ar ARG,DF,26.0,4.8,272.0,10.0,84.0,115.0,76.0,4.0,272.0,15.0,6.0,40.0,9.0,60.0,99.0,516.0,264.0,6.0,6.0,1.0,12.0,2.0,103.0,18.0,Matches
Maximiliano Zalazar,ar ARG,"MF,FW",21.0,4.6,169.0,0.0,18.0,84.0,70.0,10.0,169.0,26.0,13.0,50.0,13.0,50.0,95.0,717.0,359.0,13.0,7.0,1.0,21.0,4.0,108.0,34.0,Matches
Ignacio Schor,ar ARG,"MF,FW",22.0,5.6,186.0,3.0,23.0,62.0,106.0,20.0,186.0,27.0,11.0,40.7,14.0,51.9,128.0,951.0,452.0,18.0,8.0,5.0,19.0,19.0,131.0,41.0,Matches
Gonzalo Valdivia,ar ARG,"MF,DF",21.0,2.5,82.0,6.0,17.0,27.0,39.0,7.0,82.0,5.0,2.0,40.0,2.0,40.0,40.0,215.0,79.0,5.0,1.0,3.0,8.0,5.0,39.0,11.0,Matches
