Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Min,Playing Time_Mn/MP,Playing Time_Min%,Playing Time_90s,Starts_Starts,Starts_Mn/Start,Starts_Compl,Subs_Subs,Subs_Mn/Sub,Subs_unSub,Team Success_PPM,Team Success_onG,Team Success_onGA,Team Success_+/-,Team Success_+/-90,Team Success_On-Off,Team Success (xG)_onxG,Team Success (xG)_onxGA,Team Success (xG)_xG+/-,Team Success (xG)_xG+/-90,Team Success (xG)_On-Off,Matches
Gabriel Arias,cl CHI,GK,35.0,24,2134.0,89.0,87.8,23.7,24,89.0,23,0,,0,1.33,32.0,30.0,2.0,0.08,0.39,26.4,28.9,-2.5,-0.11,0.53,Matches
Juan Nardoni,ar ARG,MF,20.0,26,1899.0,73.0,78.1,21.1,23,79.0,15,3,30.0,0,1.38,25.0,27.0,-2.0,-0.09,-0.6,22.0,23.6,-1.5,-0.07,0.45,Matches
Leonardo Sigali,ar ARG,DF,35.0,19,1648.0,87.0,67.8,18.3,19,87.0,18,0,,2,1.11,22.0,26.0,-4.0,-0.22,-0.79,15.8,22.5,-6.7,-0.37,-0.61,Matches
Gonzalo Piovi,ar ARG,"DF,MF",28.0,19,1597.0,84.0,65.7,17.7,19,84.0,15,0,,0,1.53,25.0,16.0,9.0,0.51,1.37,21.3,21.4,-0.1,0.0,0.49,Matches
Jonathan David Gómez,ar ARG,MF,33.0,24,1555.0,65.0,64.0,17.3,19,75.0,5,5,28.0,0,1.46,21.0,21.0,0.0,0.0,-0.1,16.2,20.4,-4.2,-0.24,-0.2,Matches
Facundo Mura,ar ARG,"DF,MF",23.0,21,1527.0,73.0,62.8,17.0,19,77.0,9,2,34.0,3,1.33,21.0,24.0,-3.0,-0.18,-0.58,19.5,16.5,3.0,0.18,0.94,Matches
Gabriel Hauche,ar ARG,"FW,MF",36.0,25,1509.0,60.0,62.1,16.8,18,68.0,3,7,40.0,1,1.36,28.0,20.0,8.0,0.48,1.16,23.1,20.8,2.3,0.14,0.81,Matches
Maximiliano Romero,ar ARG,FW,24.0,20,1452.0,73.0,59.8,16.1,17,80.0,6,3,31.0,0,1.35,24.0,22.0,2.0,0.12,0.22,17.4,16.3,1.1,0.07,0.59,Matches
Aníbal Moreno,ar ARG,MF,23.0,16,1398.0,87.0,57.5,15.5,16,87.0,13,0,,2,1.75,23.0,15.0,8.0,0.52,1.13,17.5,14.9,2.6,0.17,0.8,Matches
Gabriel Rojas,ar ARG,"DF,MF",25.0,16,1337.0,84.0,55.0,14.9,16,84.0,13,0,,2,1.63,21.0,16.0,5.0,0.34,0.67,18.8,17.4,1.4,0.1,0.59,Matches
Nicolás Oróz,ar ARG,"MF,FW",28.0,22,1297.0,59.0,53.4,14.4,16,74.0,5,6,19.0,5,1.36,21.0,16.0,5.0,0.35,0.66,19.2,22.6,-3.5,-0.24,-0.15,Matches
Matías Rojas,py PAR,FW,27.0,14,1015.0,73.0,41.8,11.3,13,74.0,5,1,56.0,0,1.57,17.0,12.0,5.0,0.44,0.7,13.0,10.3,2.7,0.24,0.7,Matches
Emiliano Insúa,ar ARG,DF,34.0,12,831.0,69.0,34.2,9.2,8,90.0,8,4,28.0,9,1.25,11.0,17.0,-6.0,-0.65,-1.04,10.6,13.1,-2.5,-0.27,-0.15,Matches
Tomás Avilés,ar ARG,"DF,MF",18.0,8,680.0,85.0,28.0,7.6,8,85.0,6,0,,1,1.75,18.0,15.0,3.0,0.4,0.5,14.7,14.5,0.2,0.02,0.33,Matches
Santiago Quiros,ar ARG,DF,19.0,10,661.0,66.0,27.2,7.3,8,80.0,5,2,12.0,9,1.7,11.0,6.0,5.0,0.68,0.88,7.2,10.1,-2.9,-0.4,-0.31,Matches
Maximiliano Moralez,ar ARG,"MF,FW",35.0,17,653.0,38.0,26.9,7.3,6,68.0,0,11,22.0,8,1.24,8.0,13.0,-5.0,-0.69,-0.99,8.6,13.7,-5.1,-0.7,-0.73,Matches
Jonathan Galván,ar ARG,DF,30.0,8,583.0,73.0,24.0,6.5,6,83.0,5,2,44.0,15,1.25,6.0,8.0,-2.0,-0.31,-0.45,8.4,9.3,-0.9,-0.14,0.04,Matches
Johan Carbonero,co COL,FW,23.0,7,451.0,64.0,18.6,5.0,6,72.0,3,1,18.0,0,2.0,6.0,3.0,3.0,0.6,0.69,4.1,4.3,-0.2,-0.04,0.16,Matches
Paolo Guerrero,pe PER,FW,39.0,15,581.0,39.0,23.9,6.5,5,77.0,2,10,20.0,1,1.67,7.0,7.0,0.0,0.0,-0.05,8.6,8.0,0.7,0.1,0.36,Matches
Baltasar Gallego,ar ARG,"FW,MF",19.0,11,466.0,42.0,19.2,5.2,4,79.0,0,7,22.0,3,1.27,7.0,6.0,1.0,0.19,0.19,7.4,9.2,-1.8,-0.35,-0.22,Matches
Emiliano Saliadarre,ar ARG,"FW,MF",20.0,7,342.0,49.0,14.1,3.8,4,73.0,0,3,17.0,5,0.71,3.0,9.0,-6.0,-1.58,-1.88,2.4,5.3,-2.9,-0.76,-0.69,Matches
Nicolás Reniero,ar ARG,"FW,MF",27.0,11,451.0,41.0,18.6,5.0,3,90.0,3,8,23.0,5,0.73,4.0,12.0,-8.0,-1.6,-2.01,4.8,10.2,-5.3,-1.06,-1.09,Matches
Óscar Opazo,cl CHI,DF,32.0,7,437.0,62.0,18.0,4.9,3,90.0,3,4,42.0,9,1.71,9.0,10.0,-1.0,-0.21,-0.3,6.3,7.6,-1.3,-0.26,-0.11,Matches
Matías Tagliamonte,ar ARG,GK,24.0,4,296.0,74.0,12.2,3.3,3,90.0,3,1,26.0,23,1.25,4.0,5.0,-1.0,-0.3,-0.39,4.0,6.0,-2.1,-0.64,-0.53,Matches
Tobías Rubio,ar ARG,"MF,DF",18.0,3,270.0,90.0,11.1,3.0,3,90.0,3,0,,1,1.33,5.0,4.0,1.0,0.33,0.33,3.4,6.3,-2.8,-0.94,-0.86,Matches
Iván Pillud,ar ARG,"DF,MF",36.0,9,401.0,45.0,16.5,4.5,2,82.0,0,7,34.0,12,0.56,5.0,8.0,-3.0,-0.67,-0.85,3.1,9.2,-6.0,-1.35,-1.41,Matches
Agustin Ojeda,ar ARG,FW,18.0,5,174.0,35.0,7.2,1.9,2,71.0,0,3,11.0,3,1.6,3.0,3.0,0.0,0.0,-0.04,1.8,4.0,-2.3,-1.16,-1.07,Matches
Héctor Fértoli,ar ARG,"FW,MF",28.0,6,145.0,24.0,6.0,1.6,1,66.0,0,5,16.0,21,1.0,0.0,2.0,-2.0,-1.24,-1.36,1.3,1.1,0.3,0.16,0.35,Matches
Edwin Cardona,co COL,"FW,MF",30.0,5,90.0,18.0,3.7,1.0,1,34.0,0,4,14.0,6,0.4,0.0,2.0,-2.0,-2.0,-2.12,0.6,3.1,-2.5,-2.52,-2.44,Matches
Juan Cáceres,py PAR,DF,22.0,1,35.0,35.0,1.4,0.4,1,35.0,0,0,,1,0.0,0.0,0.0,0.0,0.0,-0.04,0.0,0.5,-0.5,-1.27,-1.12,Matches
Catriel Cabellos,pe PER,"MF,FW",18.0,5,113.0,23.0,4.7,1.3,0,,0,5,23.0,11,0.4,2.0,2.0,0.0,0.0,-0.04,1.9,4.3,-2.4,-1.92,-1.83,Matches
Tomás Pérez,ar ARG,FW,16.0,5,53.0,11.0,2.2,0.6,0,,0,5,11.0,5,1.8,0.0,1.0,-1.0,-1.7,-1.77,0.7,2.1,-1.3,-2.28,-2.16,Matches
