Player,Nation,Pos,Age,90s,Touches_Touches,Touches_Def Pen,Touches_Def 3rd,Touches_Mid 3rd,Touches_Att 3rd,Touches_Att Pen,Touches_Live,Take-Ons_Att,Take-Ons_Succ,Take-Ons_Succ%,Take-Ons_Tkld,Take-Ons_Tkld%,Carries_Carries,Carries_TotDist,Carries_PrgDist,Carries_PrgC,Carries_1/3,Carries_CPA,Carries_Mis,Carries_Dis,Receiving_Rec,Receiving_PrgR,Matches
Gabriel Arias,cl CHI,GK,35.0,23.7,779.0,634.0,775.0,4.0,0.0,0.0,779.0,0.0,0.0,,0.0,,372.0,1982.0,1438.0,0.0,0.0,0.0,0.0,0.0,273.0,0.0,Matches
Juan Nardoni,ar ARG,MF,20.0,21.1,1140.0,44.0,225.0,711.0,226.0,32.0,1140.0,58.0,27.0,46.6,25.0,43.1,599.0,2468.0,1163.0,30.0,20.0,8.0,42.0,24.0,724.0,51.0,Matches
Leonardo Sigali,ar ARG,DF,35.0,18.3,1385.0,133.0,552.0,787.0,52.0,12.0,1385.0,2.0,0.0,0.0,0.0,0.0,816.0,4362.0,2828.0,18.0,8.0,0.0,6.0,1.0,926.0,2.0,Matches
Gonzalo Piovi,ar ARG,"DF,MF",28.0,17.7,1431.0,125.0,558.0,750.0,136.0,20.0,1429.0,16.0,8.0,50.0,7.0,43.8,785.0,3712.0,2473.0,20.0,15.0,1.0,26.0,5.0,850.0,22.0,Matches
Jonathan David Gómez,ar ARG,MF,33.0,17.3,936.0,20.0,137.0,523.0,290.0,21.0,936.0,49.0,19.0,38.8,20.0,40.8,545.0,2595.0,1258.0,26.0,32.0,3.0,44.0,18.0,641.0,65.0,Matches
Facundo Mura,ar ARG,"DF,MF",23.0,17.0,1108.0,34.0,279.0,556.0,281.0,15.0,1108.0,18.0,5.0,27.8,13.0,72.2,558.0,2196.0,1018.0,14.0,21.0,2.0,24.0,10.0,639.0,85.0,Matches
Gabriel Hauche,ar ARG,"FW,MF",36.0,16.8,728.0,3.0,63.0,314.0,356.0,52.0,728.0,21.0,9.0,42.9,8.0,38.1,447.0,1758.0,738.0,22.0,17.0,7.0,35.0,18.0,576.0,164.0,Matches
Maximiliano Romero,ar ARG,FW,24.0,16.1,374.0,17.0,32.0,146.0,197.0,64.0,374.0,13.0,2.0,15.4,8.0,61.5,218.0,825.0,245.0,10.0,4.0,4.0,39.0,15.0,284.0,66.0,Matches
Aníbal Moreno,ar ARG,MF,23.0,15.5,1110.0,36.0,246.0,749.0,127.0,8.0,1110.0,25.0,14.0,56.0,6.0,24.0,609.0,2490.0,1185.0,12.0,18.0,0.0,25.0,10.0,741.0,15.0,Matches
Gabriel Rojas,ar ARG,"DF,MF",25.0,14.9,930.0,34.0,256.0,379.0,303.0,15.0,930.0,33.0,21.0,63.6,12.0,36.4,467.0,2133.0,1228.0,29.0,24.0,3.0,20.0,12.0,533.0,101.0,Matches
Nicolás Oróz,ar ARG,"MF,FW",28.0,14.4,820.0,12.0,102.0,465.0,264.0,21.0,820.0,46.0,21.0,45.7,20.0,43.5,480.0,2000.0,748.0,17.0,15.0,5.0,26.0,27.0,541.0,74.0,Matches
Matías Rojas,py PAR,FW,27.0,11.3,679.0,3.0,58.0,327.0,306.0,18.0,676.0,62.0,26.0,41.9,31.0,50.0,443.0,2423.0,1188.0,33.0,25.0,6.0,31.0,9.0,486.0,111.0,Matches
Emiliano Insúa,ar ARG,DF,34.0,9.2,811.0,49.0,267.0,512.0,36.0,4.0,811.0,7.0,6.0,85.7,1.0,14.3,551.0,3283.0,2269.0,20.0,13.0,0.0,2.0,4.0,582.0,6.0,Matches
Tomás Avilés,ar ARG,"DF,MF",18.0,7.6,743.0,42.0,290.0,414.0,42.0,9.0,743.0,5.0,3.0,60.0,2.0,40.0,429.0,2278.0,1187.0,8.0,5.0,2.0,11.0,3.0,458.0,7.0,Matches
Santiago Quiros,ar ARG,DF,19.0,7.3,427.0,26.0,184.0,231.0,17.0,2.0,427.0,5.0,4.0,80.0,1.0,20.0,247.0,1496.0,1090.0,11.0,6.0,0.0,6.0,3.0,254.0,3.0,Matches
Maximiliano Moralez,ar ARG,"MF,FW",35.0,7.3,539.0,11.0,62.0,289.0,190.0,18.0,539.0,8.0,1.0,12.5,6.0,75.0,341.0,1660.0,743.0,19.0,14.0,1.0,16.0,5.0,394.0,54.0,Matches
Jonathan Galván,ar ARG,DF,30.0,6.5,550.0,64.0,250.0,286.0,17.0,7.0,550.0,0.0,0.0,,0.0,,307.0,1929.0,1178.0,4.0,3.0,0.0,4.0,0.0,342.0,7.0,Matches
Johan Carbonero,co COL,FW,23.0,5.0,217.0,0.0,5.0,75.0,145.0,23.0,217.0,58.0,29.0,50.0,22.0,37.9,174.0,1483.0,710.0,32.0,14.0,10.0,18.0,10.0,179.0,68.0,Matches
Paolo Guerrero,pe PER,FW,39.0,6.5,243.0,5.0,10.0,112.0,123.0,31.0,243.0,14.0,6.0,42.9,8.0,57.1,149.0,459.0,143.0,4.0,7.0,2.0,19.0,13.0,214.0,53.0,Matches
Baltasar Gallego,ar ARG,"FW,MF",19.0,5.2,219.0,3.0,34.0,97.0,92.0,14.0,219.0,32.0,11.0,34.4,19.0,59.4,131.0,699.0,263.0,6.0,7.0,4.0,25.0,9.0,135.0,33.0,Matches
Emiliano Saliadarre,ar ARG,"FW,MF",20.0,3.8,142.0,8.0,16.0,50.0,76.0,9.0,142.0,24.0,11.0,45.8,12.0,50.0,100.0,520.0,184.0,8.0,3.0,1.0,13.0,7.0,104.0,46.0,Matches
Nicolás Reniero,ar ARG,"FW,MF",27.0,5.0,217.0,7.0,13.0,97.0,108.0,29.0,217.0,7.0,4.0,57.1,3.0,42.9,110.0,486.0,180.0,7.0,4.0,3.0,15.0,4.0,154.0,32.0,Matches
Óscar Opazo,cl CHI,DF,32.0,4.9,343.0,10.0,89.0,166.0,90.0,10.0,343.0,8.0,3.0,37.5,3.0,37.5,188.0,873.0,419.0,6.0,4.0,0.0,3.0,2.0,186.0,27.0,Matches
Matías Tagliamonte,ar ARG,GK,24.0,3.3,104.0,85.0,103.0,1.0,0.0,0.0,104.0,0.0,0.0,,0.0,,46.0,294.0,141.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,Matches
Tobías Rubio,ar ARG,"MF,DF",18.0,3.0,186.0,1.0,50.0,94.0,44.0,5.0,186.0,6.0,3.0,50.0,3.0,50.0,89.0,422.0,170.0,2.0,2.0,1.0,3.0,1.0,118.0,12.0,Matches
Iván Pillud,ar ARG,"DF,MF",36.0,4.5,285.0,14.0,69.0,158.0,62.0,0.0,285.0,7.0,4.0,57.1,1.0,14.3,156.0,754.0,372.0,5.0,9.0,0.0,4.0,2.0,164.0,25.0,Matches
Agustin Ojeda,ar ARG,FW,18.0,1.9,82.0,0.0,7.0,35.0,43.0,6.0,82.0,17.0,11.0,64.7,5.0,29.4,59.0,551.0,299.0,12.0,4.0,5.0,3.0,2.0,65.0,19.0,Matches
Héctor Fértoli,ar ARG,"FW,MF",28.0,1.6,121.0,1.0,9.0,44.0,70.0,6.0,121.0,6.0,2.0,33.3,4.0,66.7,81.0,418.0,132.0,4.0,3.0,0.0,11.0,3.0,87.0,24.0,Matches
Edwin Cardona,co COL,"FW,MF",30.0,1.0,65.0,0.0,4.0,33.0,31.0,0.0,65.0,2.0,2.0,100.0,0.0,0.0,39.0,257.0,145.0,6.0,2.0,0.0,2.0,1.0,47.0,6.0,Matches
Juan Cáceres,py PAR,DF,22.0,0.4,29.0,3.0,11.0,16.0,2.0,0.0,29.0,0.0,0.0,,0.0,,9.0,56.0,51.0,1.0,1.0,0.0,0.0,0.0,12.0,1.0,Matches
Catriel Cabellos,pe PER,"MF,FW",18.0,1.3,78.0,1.0,13.0,36.0,29.0,2.0,78.0,11.0,6.0,54.5,3.0,27.3,51.0,247.0,144.0,3.0,3.0,0.0,5.0,3.0,55.0,8.0,Matches
Tomás Pérez,ar ARG,FW,16.0,0.6,26.0,5.0,5.0,9.0,12.0,3.0,26.0,0.0,0.0,,0.0,,8.0,20.0,2.0,0.0,0.0,0.0,2.0,1.0,15.0,3.0,Matches
Santino Vera,ar ARG,"MF,FW",16.0,0.5,47.0,0.0,11.0,34.0,3.0,0.0,47.0,0.0,0.0,,0.0,,25.0,120.0,39.0,0.0,0.0,0.0,0.0,1.0,36.0,0.0,Matches
Román Fernández,ar ARG,FW,17.0,0.4,30.0,1.0,2.0,11.0,17.0,3.0,30.0,5.0,1.0,20.0,4.0,80.0,25.0,131.0,52.0,1.0,1.0,0.0,2.0,2.0,26.0,5.0,Matches
Ignacio Galván,ar ARG,DF,20.0,0.1,11.0,0.0,2.0,0.0,9.0,0.0,11.0,3.0,1.0,33.3,1.0,33.3,7.0,49.0,4.0,1.0,1.0,0.0,0.0,1.0,6.0,2.0,Matches
Ramiro Degregorio,ar ARG,FW,19.0,0.1,,,,,,,,,,,,,,,,,,,,,,,Matches
Squad Total,,,28.3,27.0,16935.0,1431.0,4789.0,8511.0,3796.0,459.0,16930.0,568.0,260.0,45.8,248.0,43.7,9661.0,47429.0,25427.0,391.0,305.0,68.0,482.0,226.0,10881.0,1197.0,
Opponent Total,,,27.0,27.0,12444.0,1357.0,4020.0,5565.0,3058.0,474.0,12442.0,591.0,317.0,53.6,214.0,36.2,6226.0,34211.0,17845.0,372.0,308.0,98.0,427.0,223.0,6476.0,802.0,
