Player,Nation,Pos,Age,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Gabriel Arias,cl CHI,GK,35.0,24,24,2134.0,23.7,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Juan Nardoni,ar ARG,MF,20.0,26,23,1899.0,21.1,1.0,3.0,4.0,1.0,0.0,0.0,3.0,1.0,1.0,1.0,1.6,2.6,30.0,85.0,51.0,0.05,0.14,0.19,0.05,0.19,0.05,0.08,0.13,0.05,0.13,Matches
Leonardo Sigali,ar ARG,DF,35.0,19,19,1648.0,18.3,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.5,0.5,0.7,1.1,18.0,119.0,2.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.06,0.02,0.06,Matches
Gonzalo Piovi,ar ARG,"DF,MF",28.0,19,19,1597.0,17.7,4.0,1.0,5.0,2.0,2.0,2.0,4.0,1.0,2.7,1.2,1.3,2.4,20.0,113.0,22.0,0.23,0.06,0.28,0.11,0.17,0.15,0.07,0.23,0.07,0.14,Matches
Jonathan David Gómez,ar ARG,MF,33.0,24,19,1555.0,17.3,2.0,1.0,3.0,2.0,0.0,0.0,5.0,0.0,0.9,0.9,1.3,2.2,26.0,83.0,65.0,0.12,0.06,0.17,0.12,0.17,0.05,0.08,0.13,0.05,0.13,Matches
Facundo Mura,ar ARG,"DF,MF",23.0,21,19,1527.0,17.0,2.0,2.0,4.0,2.0,0.0,0.0,5.0,0.0,1.9,1.9,0.7,2.6,14.0,67.0,85.0,0.12,0.12,0.24,0.12,0.24,0.11,0.04,0.15,0.11,0.15,Matches
Gabriel Hauche,ar ARG,"FW,MF",36.0,25,18,1509.0,16.8,6.0,3.0,9.0,6.0,0.0,0.0,4.0,1.0,3.4,3.4,2.5,5.8,22.0,47.0,164.0,0.36,0.18,0.54,0.36,0.54,0.2,0.15,0.35,0.2,0.35,Matches
Maximiliano Romero,ar ARG,FW,24.0,20,17,1452.0,16.1,4.0,2.0,6.0,4.0,0.0,0.0,0.0,0.0,4.6,4.6,0.6,5.2,10.0,12.0,66.0,0.25,0.12,0.37,0.25,0.37,0.29,0.04,0.32,0.29,0.32,Matches
Aníbal Moreno,ar ARG,MF,23.0,16,16,1398.0,15.5,2.0,1.0,3.0,2.0,0.0,0.0,4.0,0.0,1.1,1.1,1.0,2.1,12.0,107.0,15.0,0.13,0.06,0.19,0.13,0.19,0.07,0.07,0.14,0.07,0.14,Matches
Gabriel Rojas,ar ARG,"DF,MF",25.0,16,16,1337.0,14.9,1.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.7,0.7,1.1,1.9,29.0,62.0,101.0,0.07,0.07,0.13,0.07,0.13,0.05,0.08,0.12,0.05,0.12,Matches
Nicolás Oróz,ar ARG,"MF,FW",28.0,22,16,1297.0,14.4,3.0,1.0,4.0,3.0,0.0,0.0,3.0,0.0,1.1,1.1,1.6,2.7,17.0,75.0,74.0,0.21,0.07,0.28,0.21,0.28,0.08,0.11,0.19,0.08,0.19,Matches
Matías Rojas,py PAR,FW,27.0,14,13,1015.0,11.3,6.0,1.0,7.0,4.0,2.0,3.0,3.0,0.0,4.0,1.7,1.4,3.1,33.0,53.0,111.0,0.53,0.09,0.62,0.35,0.44,0.36,0.13,0.49,0.15,0.28,Matches
Emiliano Insúa,ar ARG,DF,34.0,12,8,831.0,9.2,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,0.7,1.0,20.0,79.0,6.0,0.0,0.11,0.11,0.0,0.11,0.03,0.08,0.11,0.03,0.11,Matches
Tomás Avilés,ar ARG,"DF,MF",18.0,8,8,680.0,7.6,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.4,0.4,0.9,1.3,8.0,37.0,7.0,0.0,0.13,0.13,0.0,0.13,0.04,0.08,0.11,0.04,0.11,Matches
Santiago Quiros,ar ARG,DF,19.0,10,8,661.0,7.3,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.1,0.1,11.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
Maximiliano Moralez,ar ARG,"MF,FW",35.0,17,6,653.0,7.3,1.0,2.0,3.0,1.0,0.0,0.0,2.0,0.0,1.6,1.6,1.8,3.5,19.0,49.0,54.0,0.14,0.28,0.41,0.14,0.41,0.22,0.25,0.48,0.22,0.48,Matches
Jonathan Galván,ar ARG,DF,30.0,8,6,583.0,6.5,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.2,0.2,0.3,0.5,4.0,32.0,7.0,0.0,0.15,0.15,0.0,0.15,0.04,0.04,0.08,0.04,0.08,Matches
Johan Carbonero,co COL,FW,23.0,7,6,451.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.1,1.1,0.2,1.3,32.0,15.0,68.0,0.0,0.0,0.0,0.0,0.0,0.22,0.03,0.25,0.22,0.25,Matches
Paolo Guerrero,pe PER,FW,39.0,15,5,581.0,6.5,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,2.1,2.1,0.3,2.4,4.0,6.0,53.0,0.15,0.0,0.15,0.15,0.15,0.33,0.04,0.38,0.33,0.38,Matches
Baltasar Gallego,ar ARG,"FW,MF",19.0,11,4,466.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.3,0.3,0.9,1.1,6.0,10.0,33.0,0.0,0.0,0.0,0.0,0.0,0.05,0.16,0.22,0.05,0.22,Matches
Emiliano Saliadarre,ar ARG,"FW,MF",20.0,7,4,342.0,3.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.4,8.0,4.0,46.0,0.0,0.0,0.0,0.0,0.0,0.06,0.04,0.1,0.06,0.1,Matches
