Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2023-01-28,21:30,Primera Div,Matchweek 1,Sat,Away,W,2,0,CC Córdoba,1.8,0.3,66,,Enzo Pérez,4-2-3-1,Facundo Tello,Match Report,
2023-02-04,19:15,Primera Div,Matchweek 2,Sat,Away,L,1,2,Club Atlético Belgrano,1.0,0.8,66,,Enzo Pérez,4-2-3-1,Yael Falcón,Match Report,
2023-02-12,19:15,Primera Div,Matchweek 3,Sun,Home,W,2,1,Argentinos Jun,1.9,0.9,50,,Enzo Pérez,4-3-1-2,Fernando Rapallini,Match Report,
2023-02-18,18:00,Primera Div,Matchweek 4,Sat,Away,W,1,0,Tigre,1.1,1.1,55,,Enzo Pérez,4-1-3-2,Jorge Baliño,Match Report,
2023-02-26,19:15,Primera Div,Matchweek 5,Sun,Home,L,1,2,Arsenal,2.0,1.8,68,,Enzo Pérez,4-1-2-1-2◆,Nicolás Ramírez,Match Report,
2023-03-04,19:15,Primera Div,Matchweek 6,Sat,Away,W,2,0,Lanús,0.8,1.0,51,,Enzo Pérez,4-3-1-2,Darío Herrera,Match Report,
2023-03-12,19:15,Primera Div,Matchweek 7,Sun,Home,W,3,0,Godoy Cruz,2.5,0.4,71,,Enzo Pérez,4-3-2-1,Silvio Trucco,Match Report,
2023-03-19,21:30,Primera Div,Matchweek 8,Sun,Away,W,2,0,Sarmiento,2.4,0.6,70,,Enzo Pérez,4-3-3,Ariel Penel,Match Report,
2023-03-31,21:30,Primera Div,Matchweek 9,Fri,Home,W,1,0,CA Unión,2.2,0.1,68,,Enzo Pérez,4-3-2-1,Fernando Echenique,Match Report,
2023-04-04,18:00,Libertadores,Group stage,Tue,Away,L,1,3,bo The Strongest,2.8,2.2,59,,Enzo Pérez,4-2-3-1,Jesús Valenzuela,Match Report,
2023-04-09,19:00,Primera Div,Matchweek 10,Sun,Away,W,3,0,CA Huracán,3.2,0.5,62,,Enzo Pérez,4-2-2-2,Facundo Tello,Match Report,
2023-04-13,19:30,Primera Div,Matchweek 11,Thu,Home,W,3,0,Gimnasia ELP,2.4,0.7,70,,Enzo Pérez,4-1-2-1-2◆,Darío Herrera,Match Report,
2023-04-16,19:00,Primera Div,Matchweek 12,Sun,Away,W,1,0,Newell's OB,1.1,0.6,52,,Franco Armani,4-2-3-1,Hernán Mastrángelo,Match Report,
2023-04-19,21:00,Libertadores,Group stage,Wed,Home,W,4,2,pe Sporting Cristal,1.8,0.8,56,,Enzo Pérez,4-2-2-2,John J. Ospina,Match Report,
2023-04-23,20:30,Primera Div,Matchweek 13,Sun,Home,W,2,0,Independiente,1.3,0.2,69,,Enzo Pérez,4-3-3,Andrés Merlos,Match Report,
2023-04-28,21:30,Primera Div,Matchweek 14,Fri,Away,D,1,1,Tucumán,0.3,1.2,64,,Franco Armani,3-4-1-2,Fernando Rapallini,Match Report,
2023-05-02,21:00,Libertadores,Group stage,Tue,Away,L,1,5,br Fluminense,0.8,3.4,45,62505.0,Enzo Pérez,4-3-3,Esteban Ostojich,Match Report,
2023-05-07,17:30,Primera Div,Matchweek 15,Sun,Home,W,1,0,Boca Juniors,1.7,0.2,60,,Enzo Pérez,4-2-3-1,Darío Herrera,Match Report,
2023-05-14,21:30,Primera Div,Matchweek 16,Sun,Away,L,1,2,Talleres,1.7,1.0,66,,Enzo Pérez,4-2-3-1,Nicolás Ramírez,Match Report,
2023-05-21,20:30,Primera Div,Matchweek 17,Sun,Home,W,2,1,Platense,3.1,0.6,70,,Enzo Pérez,4-2-3-1,Nazareno Arasa,Match Report,
2023-05-25,19:00,Libertadores,Group stage,Thu,Away,D,1,1,pe Sporting Cristal,2.5,0.7,62,,Enzo Pérez,4-2-3-1,Cristián Garay,Match Report,
2023-05-29,21:30,Primera Div,Matchweek 18,Mon,Away,D,2,2,Vélez Sarsfield,1.2,1.1,60,,Franco Armani,4-2-3-1,Fernando Echenique,Match Report,
2023-06-07,21:30,Libertadores,Group stage,Wed,Home,W,2,0,br Fluminense,2.2,0.7,46,,Franco Armani,4-1-2-1-2◆,Wilmar Roldán,Match Report,
2023-06-12,19:15,Primera Div,Matchweek 20,Mon,Away,W,4,1,Banfield,1.5,1.4,65,,Franco Armani,4-1-3-2,Facundo Tello,Match Report,
2023-06-17,21:00,Primera Div,Matchweek 19,Sat,Home,W,1,0,Defensa y Just,2.1,0.5,63,,Franco Armani,4-3-1-2,Fernando Rapallini,Match Report,
2023-06-22,19:45,Primera Div,Matchweek 21,Thu,Home,W,3,1,Instituto Atlético Central Córdoba,2.4,1.0,74,,Franco Armani,4-1-3-2,Hernán Mastrángelo,Match Report,
2023-06-27,21:00,Libertadores,Group stage,Tue,Home,W,2,0,bo The Strongest,2.2,0.3,67,62910.0,Enzo Pérez,4-2-3-1,Gustavo Tejera,Match Report,
2023-07-01,15:00,Primera Div,Matchweek 22,Sat,Away,L,1,2,Barracas Central,1.1,1.3,68,,Franco Armani,3-1-4-2,Leandro Rey Hilfer,Match Report,
2023-07-05,21:30,Primera Div,Matchweek 23,Wed,Home,W,2,0,Colón,1.5,0.1,69,,Enzo Pérez,4-2-3-1,Nicolás Ramírez,Match Report,
2023-07-08,20:30,Primera Div,Matchweek 24,Sat,Away,D,0,0,San Lorenzo,0.9,0.6,68,,Enzo Pérez,4-2-3-1,Facundo Tello,Match Report,
2023-07-15,19:00,Primera Div,Matchweek 25,Sat,Home,W,3,1,Estudiantes,2.0,1.3,57,,Enzo Pérez,4-2-3-1,Andrés Merlos,Match Report,
2023-07-23,21:00,Primera Div,Matchweek 26,Sun,Away,D,3,3,Rosario Cent,1.7,2.2,66,,Matías Kranevitter,4-2-3-1,Yael Falcón,Match Report,
2023-07-28,21:30,Primera Div,Matchweek 27,Fri,Home,W,2,1,Racing Club,2.2,0.3,64,,Enzo Pérez,4-2-3-1,Facundo Tello,Match Report,
2023-08-01,21:00,Libertadores,Round of 16,Tue,Home,W,2,1,br Internacional,1.3,0.4,56,64696.0,Enzo Pérez,4-2-3-1,Jesús Valenzuela,Match Report,Leg 1 of 2
2023-08-08,21:00,Libertadores,Round of 16,Tue,Away,L,1 (8),2 (9),br Internacional,1.8,0.7,44,,Enzo Pérez,4-2-3-1,Andrés Matonte,Match Report,Leg 2 of 2; Internacional won; Internacional won on penalty kicks following extra time
2023-08-20,21:00,Copa de la Liga Profesional,Group stage,Sun,Away,L,2,3,Argentinos Jun,1.8,1.4,51,,Franco Armani,4-2-3-1,Fernando Echenique,Match Report,
2023-08-27,21:00,Copa de la Liga Profesional,Group stage,Sun,Home,W,5,1,Barracas Central,2.6,0.8,74,,Enzo Pérez,4-2-3-1,Yael Falcón,Match Report,
2023-09-02,21:30,Copa de la Liga Profesional,Group stage,Sat,Away,L,0,2,Vélez Sarsfield,0.4,0.7,61,,Enzo Pérez,4-2-3-1,Pablo Echavarría,Match Report,
2023-09-17,19:30,Copa de la Liga Profesional,Group stage,Sun,Home,W,3,1,Arsenal,1.6,1.1,69,,Enzo Pérez,4-2-3-1,Fernando Espinoza,Match Report,
2023-09-21,21:00,Copa de la Liga Profesional,Group stage,Thu,Home,W,1,0,Tucumán,1.9,0.1,76,,Enzo Pérez,4-2-3-1,Pablo Dóvalo,Match Report,
2023-09-24,21:00,Copa de la Liga Profesional,Group stage,Sun,Away,D,1,1,Banfield,1.6,1.6,64,,Franco Armani,4-1-3-2,Leandro Rey Hilfer,Match Report,
2023-10-01,14:00,Copa de la Liga Profesional,Group stage,Sun,Away,W,2,0,Boca Juniors,2.2,0.4,53,,Enzo Pérez,4-2-3-1,Andrés Merlos,Match Report,
2023-10-08,16:45,Copa de la Liga Profesional,Group stage,Sun,Home,W,1,0,Talleres,1.5,1.3,54,,Enzo Pérez,4-2-3-1,Hernán Mastrángelo,Match Report,
2023-10-19,18:30,Copa de la Liga Profesional,Group stage,Thu,Away,D,2,2,Colón,1.3,1.1,72,,Enzo Pérez,4-2-3-1,Nicolás Ramírez,Match Report,
2023-10-25,21:00,Copa de la Liga Profesional,Group stage,Wed,Home,W,3,0,Independiente,1.8,0.5,58,,Enzo Pérez,4-2-3-1,Facundo Tello,Match Report,
2023-10-29,17:30,Copa de la Liga Profesional,Group stage,Sun,Away,W,2,1,Gimnasia ELP,1.1,1.0,66,,Enzo Pérez,4-2-3-1,Nicolás Lamolina,Match Report,
2023-11-03,21:00,Copa de la Liga Profesional,Group stage,Fri,Home,L,1,2,CA Huracán,1.0,0.4,74,,Enzo Pérez,4-2-3-1,Yael Falcón,Match Report,
2023-11-11,18:30,Copa de la Liga Profesional,Group stage,Sat,Away,L,1,3,Rosario Cent,0.6,1.2,70,,Enzo Pérez,4-3-3,Nicolás Ramírez,Match Report,
2023-11-26,18:00,Copa de la Liga Profesional,Group stage,Sun,Home,D,0,0,Instituto Atlético Central Córdoba,1.6,0.9,76,,Franco Armani,4-2-3-1,Nazareno Arasa,Match Report,
2023-12-03,18:30,Copa de la Liga Profesional,Quarter-finals,Sun,Home,W,2,1,Club Atlético Belgrano,1.6,0.4,66,,Franco Armani,4-2-3-1,Facundo Tello,Match Report,
2023-12-09,22:00,Copa de la Liga Profesional,Semi-finals,Sat,Home,D,0 (0),0 (2),Rosario Cent,0.9,0.2,66,,Franco Armani,4-2-3-1,Yael Falcón,Match Report,Rosario Cent won on penalty kicks following extra time
