Player,Nation,Pos,Age,90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,Int,Tkl+Int,Clr,Err,Matches
Franco Armani,ar ARG,GK,36.0,26.0,2,2,2,0,0,2,2,100.0,0,0,0,0,0,2,5,0,Matches
Ignacio Fernández,ar ARG,"MF,FW",33.0,19.8,38,23,14,19,5,16,47,34.0,31,29,2,27,10,48,11,1,Matches
Milton Casco,ar ARG,DF,34.0,19.7,37,22,17,18,2,24,39,61.5,15,19,10,9,14,51,31,0,Matches
Enzo Díaz,ar ARG,DF,27.0,20.8,61,36,36,24,1,32,47,68.1,15,27,5,22,21,82,46,0,Matches
Leandro González Pirez,ar ARG,DF,30.0,19.6,38,31,27,11,0,23,34,67.6,11,23,17,6,41,79,99,0,Matches
Rodrigo Aliendro,ar ARG,MF,31.0,18.0,46,36,11,31,4,22,63,34.9,41,35,5,30,17,63,16,1,Matches
Enzo Pérez,ar ARG,MF,36.0,17.0,37,26,19,17,1,18,37,48.6,19,23,4,19,28,65,19,0,Matches
Ezequiel Barco,ar ARG,"FW,MF",23.0,16.7,8,6,2,3,3,5,23,21.7,18,18,2,16,4,12,3,0,Matches
Lucas Beltrán,ar ARG,FW,21.0,15.2,17,13,1,10,6,4,16,25.0,12,21,2,19,4,21,5,0,Matches
Nicolás De La Cruz,uy URU,"MF,FW",25.0,12.2,28,18,4,17,7,14,28,50.0,14,8,0,8,5,33,6,0,Matches
Pablo Solari,ar ARG,"FW,MF",21.0,13.6,18,14,5,7,6,2,22,9.1,20,24,2,22,7,25,5,0,Matches
Paulo Díaz,cl CHI,DF,28.0,12.7,18,10,13,5,0,12,20,60.0,8,12,8,4,19,37,59,0,Matches
José Paradela,ar ARG,"MF,FW",24.0,11.4,19,12,5,10,4,8,28,28.6,20,20,3,17,8,27,1,0,Matches
Robert Rojas,py PAR,DF,26.0,9.7,13,8,7,5,1,8,13,61.5,5,10,5,5,4,17,41,0,Matches
Marcelo Herrera,ar ARG,DF,24.0,9.3,23,16,13,9,1,10,22,45.5,12,8,2,6,17,40,21,0,Matches
Miguel Borja,co COL,FW,30.0,9.1,6,4,0,4,2,1,2,50.0,1,6,0,6,0,6,10,0,Matches
Salomón Rondón,ve VEN,FW,33.0,8.7,6,4,2,2,2,2,5,40.0,3,11,0,11,0,6,11,0,Matches
Agustín Palavecino,ar ARG,"MF,FW",26.0,8.7,27,19,9,13,5,13,30,43.3,17,9,1,8,5,32,10,0,Matches
Emanuel Mammana,ar ARG,DF,26.0,6.0,8,5,5,2,1,4,5,80.0,1,6,5,1,10,18,31,0,Matches
Jonatan Maidana,ar ARG,DF,37.0,5.1,2,1,1,1,0,1,2,50.0,1,7,4,3,5,7,22,0,Matches
Elías Gómez,ar ARG,"DF,FW",28.0,4.8,11,8,6,4,1,9,17,52.9,8,5,0,5,6,17,10,0,Matches
Matías Kranevitter,ar ARG,MF,29.0,4.1,7,5,1,6,0,4,11,36.4,7,2,0,2,1,8,9,0,Matches
Santiago Simón,ar ARG,"MF,FW",20.0,3.1,4,3,0,3,1,1,6,16.7,5,7,1,6,3,7,3,0,Matches
Ezequiel Centurión,ar ARG,GK,25.0,1.0,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,0,Matches
Matías Suárez,ar ARG,"FW,MF",34.0,2.0,2,2,1,1,0,1,2,50.0,1,4,1,3,0,2,2,0,Matches
Franco Alfonso,ar ARG,"FW,MF",20.0,0.9,2,1,0,1,1,1,2,50.0,1,3,0,3,0,2,0,0,Matches
Claudio Echeverri,ar ARG,"MF,DF",17.0,0.8,3,2,2,1,0,1,2,50.0,1,3,0,3,0,3,1,0,Matches
Bruno Zuculini,ar ARG,MF,29.0,0.2,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
Héctor David Martínez,py PAR,DF,25.0,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
Squad Total,,,29.4,27.0,481,327,203,224,54,238,526,45.2,288,340,79,261,229,710,478,2,
Opponent Total,,,26.9,27.0,505,321,257,202,46,254,583,43.6,329,384,105,279,335,840,562,8,
