Player,Nation,Pos,Age,90s,SCA_SCA,SCA_SCA90,SCA Types_PassLive,SCA Types_PassDead,SCA Types_TO,SCA Types_Sh,SCA Types_Fld,SCA Types_Def,GCA_GCA,GCA_GCA90,GCA Types_PassLive,GCA Types_PassDead,GCA Types_TO,GCA Types_Sh,GCA Types_Fld,GCA Types_Def,Matches
Franco Armani,ar ARG,GK,36.0,26.0,1,0.04,0,1,0,0,0,0,1,0.04,0,1,0,0,0,0,Matches
Ignacio Fernández,ar ARG,"MF,FW",33.0,19.8,113,5.54,79,16,6,3,7,2,13,0.64,9,2,1,0,1,0,Matches
Milton Casco,ar ARG,DF,34.0,19.7,58,2.84,53,5,0,0,0,0,8,0.39,7,1,0,0,0,0,Matches
Enzo Díaz,ar ARG,DF,27.0,20.8,32,1.54,23,0,1,1,6,1,5,0.24,3,0,0,0,2,0,Matches
Leandro González Pirez,ar ARG,DF,30.0,19.6,7,0.36,3,0,2,1,0,1,2,0.1,1,0,1,0,0,0,Matches
Rodrigo Aliendro,ar ARG,MF,31.0,18.0,48,2.67,40,0,0,5,3,0,6,0.33,4,0,0,1,1,0,Matches
Enzo Pérez,ar ARG,MF,36.0,17.0,37,2.18,32,1,1,0,2,1,2,0.12,1,0,0,0,1,0,Matches
Ezequiel Barco,ar ARG,"FW,MF",23.0,16.7,87,5.2,65,8,7,3,4,0,9,0.54,8,0,0,0,1,0,Matches
Lucas Beltrán,ar ARG,FW,21.0,15.2,75,4.93,49,0,10,6,6,4,4,0.26,3,0,0,0,0,1,Matches
Nicolás De La Cruz,uy URU,"MF,FW",25.0,12.2,57,4.69,36,12,1,7,0,1,8,0.66,5,2,0,1,0,0,Matches
Pablo Solari,ar ARG,"FW,MF",21.0,13.6,62,4.55,45,1,8,6,2,0,9,0.66,8,0,0,0,1,0,Matches
Paulo Díaz,cl CHI,DF,28.0,12.7,15,1.12,13,0,0,1,0,1,3,0.22,3,0,0,0,0,0,Matches
José Paradela,ar ARG,"MF,FW",24.0,11.4,40,3.51,25,7,3,2,3,0,1,0.09,1,0,0,0,0,0,Matches
Robert Rojas,py PAR,DF,26.0,9.7,10,1.12,6,3,0,1,0,0,2,0.22,2,0,0,0,0,0,Matches
Marcelo Herrera,ar ARG,DF,24.0,9.3,24,2.59,19,1,0,3,0,1,3,0.32,1,0,0,1,0,1,Matches
Miguel Borja,co COL,FW,30.0,9.1,22,2.42,16,0,0,3,3,0,2,0.22,2,0,0,0,0,0,Matches
Salomón Rondón,ve VEN,FW,33.0,8.7,20,2.28,14,0,1,0,4,1,4,0.46,1,0,1,0,2,0,Matches
Agustín Palavecino,ar ARG,"MF,FW",26.0,8.7,43,5.35,28,4,1,2,3,5,4,0.5,3,0,0,1,0,0,Matches
Emanuel Mammana,ar ARG,DF,26.0,6.0,1,0.17,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,Matches
Jonatan Maidana,ar ARG,DF,37.0,5.1,2,0.4,1,0,0,0,0,1,0,0.0,0,0,0,0,0,0,Matches
Elías Gómez,ar ARG,"DF,FW",28.0,4.8,4,0.98,2,0,1,1,0,0,1,0.25,1,0,0,0,0,0,Matches
Matías Kranevitter,ar ARG,MF,29.0,4.1,4,0.97,4,0,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches
Santiago Simón,ar ARG,"MF,FW",20.0,3.1,9,2.92,7,0,1,0,1,0,0,0.0,0,0,0,0,0,0,Matches
Ezequiel Centurión,ar ARG,GK,25.0,1.0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Matías Suárez,ar ARG,"FW,MF",34.0,2.0,6,2.95,5,0,1,0,0,0,2,0.98,2,0,0,0,0,0,Matches
Franco Alfonso,ar ARG,"FW,MF",20.0,0.9,6,7.01,5,0,1,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Claudio Echeverri,ar ARG,"MF,DF",17.0,0.8,5,5.92,4,0,0,0,1,0,1,1.18,1,0,0,0,0,0,Matches
Bruno Zuculini,ar ARG,MF,29.0,0.2,1,6.0,1,0,0,0,0,0,0,0.0,0,0,0,0,0,0,Matches
Héctor David Martínez,py PAR,DF,25.0,0.1,1,7.5,1,0,0,0,0,0,1,7.5,1,0,0,0,0,0,Matches
Squad Total,,,29.4,27.0,790,29.26,576,59,45,46,45,19,92,3.41,68,6,3,4,9,2,
Opponent Total,,,26.9,27.0,414,15.33,265,57,23,34,29,6,30,1.11,18,5,4,0,3,0,
