Player,Nation,Pos,Age,90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,Aerial Duels_Won,Aerial Duels_Lost,Aerial Duels_Won%,Matches
Franco Armani,ar ARG,GK,36.0,26.0,2,0,0,1,1,0,0,0,2,0,1,0,21,5,0,100.0,Matches
Ignacio Fernández,ar ARG,"MF,FW",33.0,19.8,4,0,0,25,60,1,80,10,23,1,0,0,119,9,13,40.9,Matches
Milton Casco,ar ARG,DF,34.0,19.7,3,0,0,23,12,2,48,14,22,0,0,0,144,24,20,54.5,Matches
Enzo Díaz,ar ARG,DF,27.0,20.8,7,0,0,36,44,4,43,21,36,2,0,0,144,33,31,51.6,Matches
Leandro González Pirez,ar ARG,DF,30.0,19.6,3,0,0,18,20,0,1,41,31,0,0,0,105,44,27,62.0,Matches
Rodrigo Aliendro,ar ARG,MF,31.0,18.0,3,0,0,19,26,0,7,17,36,1,0,0,152,20,34,37.0,Matches
Enzo Pérez,ar ARG,MF,36.0,17.0,7,0,0,21,19,1,2,28,26,1,0,0,125,28,26,51.9,Matches
Ezequiel Barco,ar ARG,"FW,MF",23.0,16.7,2,0,0,9,43,1,48,4,6,0,0,0,111,2,8,20.0,Matches
Lucas Beltrán,ar ARG,FW,21.0,15.2,1,0,0,13,23,6,12,4,13,0,0,0,68,20,47,29.9,Matches
Nicolás De La Cruz,uy URU,"MF,FW",25.0,12.2,3,0,0,17,32,2,49,5,18,0,0,0,81,12,8,60.0,Matches
Pablo Solari,ar ARG,"FW,MF",21.0,13.6,5,0,0,16,10,12,48,7,14,1,0,0,62,9,17,34.6,Matches
Paulo Díaz,cl CHI,DF,28.0,12.7,3,0,0,11,3,0,3,19,10,0,0,0,87,34,25,57.6,Matches
José Paradela,ar ARG,"MF,FW",24.0,11.4,4,1,1,15,27,0,52,8,12,0,0,0,70,4,17,19.0,Matches
Robert Rojas,py PAR,DF,26.0,9.7,1,0,0,4,5,0,15,4,8,0,1,0,41,28,16,63.6,Matches
Marcelo Herrera,ar ARG,DF,24.0,9.3,3,0,0,19,3,0,35,17,16,0,0,0,54,14,16,46.7,Matches
Miguel Borja,co COL,FW,30.0,9.1,2,0,0,10,9,12,4,0,4,0,0,0,21,22,29,43.1,Matches
Salomón Rondón,ve VEN,FW,33.0,8.7,1,0,0,15,10,7,7,0,4,2,0,0,22,30,25,54.5,Matches
Agustín Palavecino,ar ARG,"MF,FW",26.0,8.7,4,1,0,23,20,2,39,5,19,0,0,0,62,8,11,42.1,Matches
Emanuel Mammana,ar ARG,DF,26.0,6.0,1,0,0,4,1,0,1,10,5,0,0,0,41,9,11,45.0,Matches
Jonatan Maidana,ar ARG,DF,37.0,5.1,1,0,0,5,0,0,0,5,1,0,0,0,23,18,16,52.9,Matches
Elías Gómez,ar ARG,"DF,FW",28.0,4.8,0,1,0,5,5,0,13,6,8,0,0,0,27,6,3,66.7,Matches
Matías Kranevitter,ar ARG,MF,29.0,4.1,0,0,0,1,7,0,0,1,5,0,0,0,28,6,9,40.0,Matches
Santiago Simón,ar ARG,"MF,FW",20.0,3.1,1,0,0,8,3,0,10,3,3,0,0,0,23,5,3,62.5,Matches
Ezequiel Centurión,ar ARG,GK,25.0,1.0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,,Matches
Matías Suárez,ar ARG,"FW,MF",34.0,2.0,0,0,0,1,2,4,3,0,2,0,0,0,6,1,4,20.0,Matches
Franco Alfonso,ar ARG,"FW,MF",20.0,0.9,0,0,0,2,2,0,2,0,1,0,0,0,6,2,2,50.0,Matches
Claudio Echeverri,ar ARG,"MF,DF",17.0,0.8,0,0,0,1,3,0,2,0,2,0,0,0,4,0,0,,Matches
Bruno Zuculini,ar ARG,MF,29.0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
Héctor David Martínez,py PAR,DF,25.0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,100.0,Matches
Squad Total,,,29.4,27.0,61,4,1,322,390,54,524,229,327,8,2,0,1650,394,418,48.5,
Opponent Total,,,26.9,27.0,67,10,4,406,305,49,426,335,321,1,9,1,1532,408,376,52.0,
