Player,Nation,Pos,Age,90s,Att,Pass Types_Live,Pass Types_Dead,Pass Types_FK,Pass Types_TB,Pass Types_Sw,Pass Types_Crs,Pass Types_TI,Pass Types_CK,Corner Kicks_In,Corner Kicks_Out,Corner Kicks_Str,Outcomes_Cmp,Outcomes_Off,Outcomes_Blocks,Matches
Franco Armani,ar ARG,GK,36.0,26.0,647,420,225,50,0,0,0,0,0,0,0,0,540,2,0,Matches
Ignacio Fernández,ar ARG,"MF,FW",33.0,19.8,1272,1158,105,34,9,4,80,20,47,20,14,0,997,9,34,Matches
Milton Casco,ar ARG,DF,34.0,19.7,1410,1197,209,12,0,3,48,197,0,0,0,0,1116,4,27,Matches
Enzo Díaz,ar ARG,DF,27.0,20.8,1186,1049,135,22,0,18,43,113,0,0,0,0,969,2,21,Matches
Leandro González Pirez,ar ARG,DF,30.0,19.6,1177,1124,49,45,1,11,1,4,0,0,0,0,1021,4,8,Matches
Rodrigo Aliendro,ar ARG,MF,31.0,18.0,1119,1091,27,18,2,8,7,6,0,0,0,0,961,1,18,Matches
Enzo Pérez,ar ARG,MF,36.0,17.0,1300,1237,60,57,5,6,2,3,0,0,0,0,1147,3,10,Matches
Ezequiel Barco,ar ARG,"FW,MF",23.0,16.7,1047,971,73,22,8,3,48,15,35,19,8,0,891,3,11,Matches
Lucas Beltrán,ar ARG,FW,21.0,15.2,475,453,19,1,2,3,12,4,0,0,0,0,337,3,26,Matches
Nicolás De La Cruz,uy URU,"MF,FW",25.0,12.2,847,753,92,46,2,4,49,11,35,15,15,0,681,2,24,Matches
Pablo Solari,ar ARG,"FW,MF",21.0,13.6,461,448,12,0,1,2,48,11,1,0,1,0,297,1,30,Matches
Paulo Díaz,cl CHI,DF,28.0,12.7,955,923,31,26,0,22,3,5,0,0,0,0,861,1,7,Matches
José Paradela,ar ARG,"MF,FW",24.0,11.4,524,486,37,6,3,4,52,8,23,9,11,0,400,1,10,Matches
Robert Rojas,py PAR,DF,26.0,9.7,516,444,72,11,0,2,15,61,0,0,0,0,387,0,16,Matches
Marcelo Herrera,ar ARG,DF,24.0,9.3,568,460,102,8,0,2,35,94,0,0,0,0,423,6,13,Matches
Miguel Borja,co COL,FW,30.0,9.1,178,165,12,1,0,3,4,0,0,0,0,0,112,1,8,Matches
Salomón Rondón,ve VEN,FW,33.0,8.7,208,193,12,0,0,0,7,0,0,0,0,0,140,3,11,Matches
Agustín Palavecino,ar ARG,"MF,FW",26.0,8.7,543,481,58,29,2,6,39,11,18,3,11,1,401,4,14,Matches
Emanuel Mammana,ar ARG,DF,26.0,6.0,368,347,19,14,0,2,1,5,0,0,0,0,321,2,1,Matches
Jonatan Maidana,ar ARG,DF,37.0,5.1,255,253,2,1,0,0,0,1,0,0,0,0,230,0,2,Matches
Elías Gómez,ar ARG,"DF,FW",28.0,4.8,229,188,41,5,0,2,13,36,0,0,0,0,171,0,10,Matches
Matías Kranevitter,ar ARG,MF,29.0,4.1,220,207,13,13,0,0,0,0,0,0,0,0,185,0,4,Matches
Santiago Simón,ar ARG,"MF,FW",20.0,3.1,196,191,5,1,1,0,10,4,0,0,0,0,145,0,7,Matches
Ezequiel Centurión,ar ARG,GK,25.0,1.0,36,24,12,1,0,0,0,0,0,0,0,0,33,0,0,Matches
Matías Suárez,ar ARG,"FW,MF",34.0,2.0,52,50,0,0,0,0,3,0,0,0,0,0,35,2,0,Matches
Franco Alfonso,ar ARG,"FW,MF",20.0,0.9,46,43,3,0,0,0,2,3,0,0,0,0,38,0,2,Matches
Claudio Echeverri,ar ARG,"MF,DF",17.0,0.8,48,45,3,0,0,0,2,1,1,0,1,0,41,0,0,Matches
Bruno Zuculini,ar ARG,MF,29.0,0.2,9,9,0,0,0,0,0,0,0,0,0,0,9,0,0,Matches
Héctor David Martínez,py PAR,DF,25.0,0.1,9,9,0,0,0,0,0,0,0,0,0,0,8,0,0,Matches
Squad Total,,,29.4,27.0,15901,14419,1428,423,36,105,524,613,160,66,61,1,12897,54,314,
Opponent Total,,,26.9,27.0,8848,7470,1329,348,8,75,426,547,110,27,56,0,5926,49,279,
