Player,Nation,Pos,Age,MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,Per 90 Minutes_xG,Per 90 Minutes_xAG,Per 90 Minutes_xG+xAG,Per 90 Minutes_npxG,Per 90 Minutes_npxG+xAG,Matches
Franco Armani,ar ARG,GK,36.0,26,26,2340.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
Ignacio Fernández,ar ARG,"MF,FW",33.0,24,22,1786.0,19.8,5.0,4.0,9.0,5.0,0.0,0.0,4.0,0.0,3.9,3.9,3.7,7.7,44.0,186.0,171.0,0.25,0.2,0.45,0.25,0.45,0.19,0.18,0.38,0.19,0.38,Matches
Milton Casco,ar ARG,DF,34.0,22,21,1774.0,19.7,0.0,4.0,4.0,0.0,0.0,0.0,3.0,0.0,0.9,0.9,1.5,2.4,32.0,144.0,100.0,0.0,0.2,0.2,0.0,0.2,0.04,0.07,0.12,0.04,0.12,Matches
Enzo Díaz,ar ARG,DF,27.0,22,20,1869.0,20.8,0.0,2.0,2.0,0.0,0.0,0.0,7.0,0.0,0.6,0.6,1.5,2.1,47.0,103.0,122.0,0.0,0.1,0.1,0.0,0.1,0.03,0.07,0.1,0.03,0.1,Matches
Leandro González Pirez,ar ARG,DF,30.0,20,20,1767.0,19.6,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,0.4,1.4,7.0,38.0,0.0,0.05,0.05,0.1,0.05,0.1,0.05,0.02,0.07,0.05,0.07,Matches
Rodrigo Aliendro,ar ARG,MF,31.0,21,20,1621.0,18.0,1.0,1.0,2.0,1.0,0.0,0.0,3.0,0.0,1.9,1.9,2.1,3.9,22.0,123.0,51.0,0.06,0.06,0.11,0.06,0.11,0.1,0.12,0.22,0.1,0.22,Matches
Enzo Pérez,ar ARG,MF,36.0,20,19,1528.0,17.0,0.0,1.0,1.0,0.0,0.0,0.0,7.0,0.0,0.8,0.8,1.4,2.1,12.0,150.0,15.0,0.0,0.06,0.06,0.0,0.06,0.04,0.08,0.12,0.04,0.12,Matches
Ezequiel Barco,ar ARG,"FW,MF",23.0,25,16,1504.0,16.7,5.0,3.0,8.0,1.0,4.0,4.0,2.0,0.0,6.5,3.3,3.5,6.9,101.0,109.0,131.0,0.3,0.18,0.48,0.06,0.24,0.39,0.21,0.6,0.2,0.41,Matches
Lucas Beltrán,ar ARG,FW,21.0,25,16,1371.0,15.2,12.0,3.0,15.0,9.0,3.0,3.0,1.0,0.0,7.9,5.5,4.6,10.2,28.0,34.0,152.0,0.79,0.2,0.98,0.59,0.79,0.52,0.3,0.82,0.36,0.67,Matches
Nicolás De La Cruz,uy URU,"MF,FW",25.0,17,15,1097.0,12.2,4.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,2.6,2.6,2.5,5.0,39.0,92.0,52.0,0.33,0.0,0.33,0.33,0.33,0.21,0.2,0.41,0.21,0.41,Matches
Pablo Solari,ar ARG,"FW,MF",21.0,21,13,1228.0,13.6,5.0,7.0,12.0,5.0,0.0,0.0,5.0,0.0,4.7,4.7,3.3,8.0,47.0,39.0,181.0,0.37,0.51,0.88,0.37,0.88,0.34,0.24,0.59,0.34,0.59,Matches
Paulo Díaz,cl CHI,DF,28.0,14,13,1140.0,12.7,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.5,0.5,0.4,0.8,9.0,54.0,2.0,0.08,0.0,0.08,0.08,0.08,0.04,0.03,0.06,0.04,0.06,Matches
José Paradela,ar ARG,"MF,FW",24.0,20,13,1025.0,11.4,2.0,1.0,3.0,2.0,0.0,0.0,4.0,1.0,3.5,3.5,1.0,4.6,33.0,54.0,89.0,0.18,0.09,0.26,0.18,0.26,0.31,0.09,0.4,0.31,0.4,Matches
Robert Rojas,py PAR,DF,26.0,14,10,871.0,9.7,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.2,0.2,0.3,0.5,16.0,40.0,28.0,0.1,0.0,0.1,0.1,0.1,0.03,0.03,0.06,0.03,0.06,Matches
Marcelo Herrera,ar ARG,DF,24.0,12,10,834.0,9.3,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.3,0.3,1.0,1.3,8.0,46.0,70.0,0.0,0.11,0.11,0.0,0.11,0.04,0.11,0.14,0.04,0.14,Matches
Miguel Borja,co COL,FW,30.0,21,9,818.0,9.1,5.0,1.0,6.0,3.0,2.0,2.0,2.0,0.0,4.9,3.4,0.5,3.9,8.0,16.0,65.0,0.55,0.11,0.66,0.33,0.44,0.54,0.06,0.6,0.37,0.43,Matches
Salomón Rondón,ve VEN,FW,33.0,17,8,787.0,8.7,4.0,0.0,4.0,3.0,1.0,1.0,1.0,0.0,4.1,3.3,0.6,4.0,7.0,13.0,61.0,0.46,0.0,0.46,0.34,0.34,0.47,0.07,0.54,0.38,0.45,Matches
Agustín Palavecino,ar ARG,"MF,FW",26.0,21,6,785.0,8.7,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.7,1.7,1.0,2.7,26.0,74.0,57.0,0.11,0.0,0.11,0.11,0.11,0.21,0.13,0.33,0.21,0.33,Matches
Emanuel Mammana,ar ARG,DF,26.0,7,5,541.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,4.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
Jonatan Maidana,ar ARG,DF,37.0,6,5,455.0,5.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.0,0.1,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
Elías Gómez,ar ARG,"DF,FW",28.0,5,5,432.0,4.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.1,0.0,0.1,10.0,15.0,13.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,Matches
